Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,139.797642,[304  44] ; [ 59 103],[247.69411765 100.30588235] ; [115.30588235  46.69411765],1
n6,1,0.0,39.904315,[299  47] ; [100  62],[271.75984252  74.24015748] ; [127.24015748  34.75984252],1
p10,1,5e-06,20.947366,[271  71] ; [95 64],[249.84431138  92.15568862] ; [116.15568862  42.84431138],1
p9,1,8.3e-05,15.479507,[277  63] ; [104  55],[259.5991984  80.4008016] ; [121.4008016  37.5991984],1
a8,1,0.000108,14.999766,[ 43 275] ; [  3 145],[ 31.39055794 286.60944206] ; [ 14.60944206 133.39055794],1
p4,1,0.000188,13.950786,[191 154] ; [ 60 100],[171.47524752 173.52475248] ; [79.52475248 80.47524752],1
v1,1,0.000215,13.69427,[174 167] ; [ 53 106],[154.814 186.186] ; [72.186 86.814],1
p11,1,0.000405,12.509078,[271  77] ; [102  60],[254.51764706  93.48235294] ; [118.48235294  43.51764706],1
u1,1,0.00189,9.653467,[ 56 292] ; [ 10 152],[ 45.03529412 302.96470588] ; [ 20.96470588 141.03529412],0
a2,1,0.002587,9.078167,[ 83 265] ; [ 20 142],[ 70.28235294 277.71764706] ; [ 32.71764706 129.28235294],0
s6,1,0.004215,8.188776,[189 151] ; [67 93],[174.08 165.92] ; [81.92 78.08],0
p2,1,0.005606,7.672874,[282  62] ; [113  46],[270.13916501  73.86083499] ; [124.86083499  34.13916501],0
a6,1,0.011722,6.352424,[248  98] ; [98 64],[235.66141732 110.33858268] ; [110.33858268  51.66141732],0
a4,1,0.012454,6.245002,[155 189] ; [ 54 108],[142.08695652 201.91304348] ; [66.91304348 95.08695652],0
a5,1,0.016409,5.758502,[243 104] ; [96 66],[231.10609037 115.89390963] ; [107.89390963  54.10609037],0
p5,1,0.021838,5.258679,[ 30 315] ; [  5 155],[ 23.91089109 321.08910891] ; [ 11.08910891 148.91089109],0
p3,1,0.023298,5.146164,[152 192] ; [ 54 107],[140.32475248 203.67524752] ; [65.67524752 95.32475248],0
p7,1,0.041978,4.136074,[197 140] ; [78 82],[186.46881288 150.53118712] ; [88.53118712 71.46881288],0
n2,1,0.045182,4.011844,[65 17] ; [31 18],[60.09160305 21.90839695] ; [35.90839695 13.09160305],0
p6,1,0.052426,3.762116,[102 238] ; [ 34 123],[ 93.03822938 246.96177062] ; [ 42.96177062 114.03822938],0
v3,1,0.062966,3.457473,[120 218] ; [ 41 111],[111.05714286 226.94285714] ; [ 49.94285714 102.05714286],0
n1,1,0.076877,3.129723,[33 47] ; [13 37],[28.30769231 51.69230769] ; [17.69230769 32.30769231],0
s4,1,0.100323,2.700406,[ 46 295] ; [ 31 131],[ 52.20079523 288.79920477] ; [ 24.79920477 137.20079523],0
p1,1,0.124584,2.358724,[ 31 315] ; [  8 151],[ 26.72079208 319.27920792] ; [ 12.27920792 146.72079208],0
a1,1,0.129724,2.295801,[ 19 329] ; [  4 158],[ 15.69411765 332.30588235] ; [  7.30588235 154.69411765],0
d2,1,0.137313,2.207819,[151 192] ; [ 60 102],[143.31287129 199.68712871] ; [67.68712871 94.31287129],0
s1,1,0.149346,2.078913,[ 10 331] ; [  9 153],[ 12.88071571 328.11928429] ; [  6.11928429 155.88071571],0
p12,1,0.162227,1.953341,[ 18 326] ; [  4 156],[ 15.01587302 328.98412698] ; [  6.98412698 153.01587302],0
a3,1,0.179852,1.798848,[229 116] ; [97 64],[222.27272727 122.72727273] ; [103.72727273  57.27272727],0
s7,1,0.187372,1.738159,[ 92 240] ; [ 34 120],[ 86.07407407 245.92592593] ; [ 39.92592593 114.07407407],0
p8,1,0.196224,1.670261,[160 180] ; [65 94],[153.30661323 186.69338677] ; [71.69338677 87.30661323],0
r4,1,0.214413,1.541376,[308  40] ; [137  25],[303.64705882  44.35294118] ; [141.35294118  20.64705882],0
v4,1,0.265388,1.240429,[326  21] ; [146  14],[323.04536489  23.95463511] ; [148.95463511  11.04536489],0
b2,1,0.33383,0.933984,[ 64 128] ; [21 56],[ 60.66914498 131.33085502] ; [24.33085502 52.66914498],0
b3,1,0.33383,0.933984,[ 64 128] ; [21 56],[ 60.66914498 131.33085502] ; [24.33085502 52.66914498],0
s2,1,0.37364,0.791523,[121 224] ; [ 50 111],[116.59090909 228.40909091] ; [ 54.40909091 106.59090909],0
d4,1,0.375917,0.784012,[264  80] ; [130  32],[267.85770751  76.14229249] ; [126.14229249  35.85770751],0
u3,1,0.449218,0.572625,[61 58] ; [36 27],[63.42307692 55.57692308] ; [33.57692308 29.42307692],0
u2,1,0.498483,0.458164,[56 61] ; [34 30],[58.17679558 58.82320442] ; [31.82320442 32.17679558],0
d5,1,0.552798,0.352328,[267  80] ; [120  41],[264.3484252  82.6515748] ; [122.6515748  38.3484252],0
s3,1,0.564462,0.332037,[147 195] ; [64 95],[144.03592814 197.96407186] ; [66.96407186 92.03592814],0
r1,1,0.606859,0.264775,[268  79] ; [121  40],[265.71456693  81.28543307] ; [123.28543307  37.71456693],0
d1,1,0.622407,0.242499,[180 168] ; [80 82],[177.41176471 170.58823529] ; [82.58823529 79.41176471],0
b1,1,0.627919,0.234893,[128 220] ; [ 56 106],[125.55294118 222.44705882] ; [ 58.44705882 103.55294118],0
r3,1,0.679546,0.170638,[318  27] ; [151  11],[319.14201183  25.85798817] ; [149.85798817  12.14201183],0
d3,1,0.711671,0.136614,[230 115] ; [110  51],[231.81818182 113.18181818] ; [108.18181818  52.81818182],0
b5,1,0.714993,0.133341,[210 138] ; [95 67],[208.11764706 139.88235294] ; [96.88235294 65.11764706],0
u4,1,0.770477,0.085118,[  3 345] ; [  1 161],[  2.72941176 345.27058824] ; [  1.27058824 160.72941176],0
v2,1,0.770513,0.085092,[168 165] ; [76 79],[166.5 166.5] ; [77.5 77.5],0
n3,1,0.806033,0.060293,[59 22] ; [34 14],[58.39534884 22.60465116] ; [34.60465116 13.39534884],0
b4,1,0.815779,0.054278,[210 138] ; [96 66],[208.8 139.2] ; [97.2 64.8],0
s5,1,0.8942,0.017687,[ 85 254] ; [ 38 117],[ 84.40688259 254.59311741] ; [ 38.59311741 116.40688259],0
a7,1,0.913618,0.011767,[252  94] ; [118  43],[252.50493097  93.49506903] ; [117.49506903  43.50493097],0
