Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.640333,[70  4] ; [8 8],[64.13333333  9.86666667] ; [13.86666667  2.13333333],1
s3,1,0.000565,11.888703,[56 18] ; [ 5 11],[50.15555556 23.84444444] ; [10.84444444  5.15555556],1
r3,1,0.001958,9.588433,[69  4] ; [11  5],[65.61797753  7.38202247] ; [14.38202247  1.61797753],0
s2,1,0.005045,7.863306,[58 16] ; [7 9],[53.44444444 20.55555556] ; [11.55555556  4.44444444],0
r2,1,0.007982,7.037529,[72  2] ; [12  3],[69.84269663  4.15730337] ; [14.15730337  0.84269663],0
d5,1,0.009689,6.691229,[62 11] ; [9 7],[58.23595506 14.76404494] ; [12.76404494  3.23595506],0
v2,1,0.015753,5.830228,[42 30] ; [ 4 12],[37.63636364 34.36363636] ; [8.36363636 7.63636364],0
r1,1,0.037403,4.331985,[65  8] ; [11  5],[62.33707865 10.66292135] ; [13.66292135  2.33707865],0
s5,1,0.044528,4.036418,[36 35] ; [ 3 11],[32.57647059 38.42352941] ; [6.42352941 7.57647059],0
b1,1,0.055162,3.677178,[47 27] ; [ 6 10],[43.57777778 30.42222222] ; [9.42222222 6.57777778],0
p7,1,0.055617,3.663495,[37 35] ; [ 4 12],[33.54545455 38.45454545] ; [7.45454545 8.54545455],0
d2,1,0.145378,2.120087,[42 31] ; [ 6 10],[39.37078652 33.62921348] ; [8.62921348 7.37078652],0
v3,1,0.160315,1.971251,[26 44] ; [ 3 13],[23.60465116 46.39534884] ; [ 5.39534884 10.60465116],0
v4,1,0.181103,1.788553,[71  3] ; [14  2],[69.88888889  4.11111111] ; [15.11111111  0.88888889],0
d1,1,0.210256,1.569664,[45 29] ; [7 9],[42.75555556 31.24444444] ; [9.24444444 6.75555556],0
u2,1,0.221099,1.497222,[10  6] ; [2 4],[8.72727273 7.27272727] ; [3.27272727 2.72727273],0
a6,1,0.230108,1.440195,[43 30] ; [12  4],[45.11235955 27.88764045] ; [9.88764045 6.11235955],0
p9,1,0.236605,1.400705,[59 13] ; [11  5],[57.27272727 14.72727273] ; [12.72727273  3.27272727],0
b3,1,0.241318,1.37288,[15 29] ; [4 3],[16.39215686 27.60784314] ; [2.60784314 4.39215686],0
b2,1,0.241318,1.37288,[15 29] ; [4 3],[16.39215686 27.60784314] ; [2.60784314 4.39215686],0
s8,1,0.266116,1.236657,[48 26] ; [8 8],[46.04444444 27.95555556] ; [9.95555556 6.04444444],0
n1,1,0.34092,0.906969,[16 15] ; [5 2],[17.13157895 13.86842105] ; [3.86842105 3.13157895],0
n2,1,0.343641,0.896802,[21 10] ; [6 1],[22.02631579  8.97368421] ; [4.97368421 2.02631579],0
a3,1,0.396344,0.719391,[57 17] ; [10  5],[55.70786517 18.29213483] ; [11.29213483  3.70786517],0
v1,1,0.454335,0.559815,[40 34] ; [7 9],[38.64444444 35.35555556] ; [8.35555556 7.64444444],0
p8,1,0.473104,0.514717,[25 48] ; [7 9],[26.24719101 46.75280899] ; [ 5.75280899 10.24719101],0
b4,1,0.487271,0.482547,[44 30] ; [8 8],[42.75555556 31.24444444] ; [9.24444444 6.75555556],0
p10,1,0.497128,0.461062,[47 25] ; [9 7],[45.81818182 26.18181818] ; [10.18181818  5.81818182],0
u3,1,0.525718,0.402661,[11  6] ; [3 3],[10.34782609  6.65217391] ; [3.65217391 2.34782609],0
s1,1,0.551606,0.354449,[ 8 63] ; [ 1 15],[ 7.34482759 63.65517241] ; [ 1.65517241 14.34482759],0
p2,1,0.564673,0.331677,[56 18] ; [11  5],[55.08888889 18.91111111] ; [11.91111111  4.08888889],0
p5,1,0.581352,0.304054,[ 8 66] ; [ 1 15],[ 7.4 66.6] ; [ 1.6 14.4],0
a4,1,0.581352,0.304054,[38 36] ; [7 9],[37. 37.] ; [8. 8.],0
p6,1,0.582253,0.302606,[31 42] ; [8 8],[31.98876404 41.01123596] ; [7.01123596 8.98876404],0
n5,1,0.585873,0.296836,[49 23] ; [12  4],[49.90909091 22.09090909] ; [11.09090909  4.90909091],0
p4,1,0.621873,0.243243,[42 32] ; [8 8],[41.11111111 32.88888889] ; [8.88888889 7.11111111],0
a7,1,0.647523,0.209037,[55 19] ; [11  5],[54.26666667 19.73333333] ; [11.73333333  4.26666667],0
d3,1,0.682371,0.16747,[51 22] ; [12  4],[51.6741573 21.3258427] ; [11.3258427  4.6741573],0
b5,1,0.691531,0.157433,[47 27] ; [11  5],[47.68888889 26.31111111] ; [10.31111111  5.68888889],0
n4,1,0.692903,0.155961,[53 19] ; [11  5],[52.36363636 19.63636364] ; [11.63636364  4.36363636],0
a2,1,0.705065,0.143256,[22 52] ; [ 4 12],[21.37777778 52.62222222] ; [ 4.62222222 11.37777778],0
u1,1,0.732373,0.116944,[20 54] ; [ 5 11],[20.55555556 53.44444444] ; [ 4.44444444 11.55555556],0
a5,1,0.818248,0.052807,[53 21] ; [11  5],[52.62222222 21.37777778] ; [11.37777778  4.62222222],0
n3,1,0.839318,0.041114,[19 12] ; [4 3],[18.76315789 12.23684211] ; [4.23684211 2.76315789],0
n6,1,0.849695,0.035913,[56 16] ; [12  3],[56.27586207 15.72413793] ; [11.72413793  3.27586207],0
s4,1,0.862,0.030217,[17 57] ; [ 4 12],[17.26666667 56.73333333] ; [ 3.73333333 12.26666667],0
p3,1,0.891465,0.018619,[31 43] ; [7 9],[31.24444444 42.75555556] ; [6.75555556 9.24444444],0
a1,1,0.941261,0.00543,[ 5 69] ; [ 1 15],[ 4.93333333 69.06666667] ; [ 1.06666667 14.93333333],0
d4,1,0.968531,0.001556,[59 14] ; [13  3],[59.05617978 13.94382022] ; [12.94382022  3.05617978],0
