Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.2e-05,19.2,[30 24] ; [18 72],[18. 36.] ; [30. 60.],1
p3,1,3.7e-05,17.043991,[28 27] ; [17 75],[16.83673469 38.16326531] ; [28.16326531 63.83673469],1
p6,1,0.000369,12.685085,[22 32] ; [13 77],[13.125 40.875] ; [21.875 68.125],1
p7,1,0.000977,10.869992,[35 19] ; [32 56],[25.47887324 28.52112676] ; [41.52112676 46.47887324],1
p10,1,0.001148,10.572138,[41 13] ; [43 46],[31.72027972 22.27972028] ; [52.27972028 36.72027972],0
n6,1,0.004201,8.194802,[46  9] ; [55 35],[38.31034483 16.68965517] ; [62.68965517 27.31034483],0
a5,1,0.005625,7.666765,[32 23] ; [32 60],[23.94557823 31.05442177] ; [40.05442177 51.94557823],0
a7,1,0.006968,7.281127,[38 17] ; [42 49],[30.1369863 24.8630137] ; [49.8630137 41.1369863],0
v3,1,0.024553,5.05516,[22 33] ; [20 69],[16.04166667 38.95833333] ; [25.95833333 63.04166667],0
p5,1,0.02888,4.774756,[ 8 47] ; [ 4 88],[ 4.48979592 50.51020408] ; [ 7.51020408 84.48979592],0
p9,1,0.037622,4.322043,[41 13] ; [53 37],[35.25 18.75] ; [58.75 31.25],0
r4,1,0.042045,4.133405,[44 11] ; [59 33],[38.53741497 16.46258503] ; [64.46258503 27.53741497],0
s5,1,0.043707,4.067848,[15 38] ; [13 77],[10.37762238 42.62237762] ; [17.62237762 72.37762238],0
s6,1,0.049293,3.865347,[28 24] ; [34 58],[22.38888889 29.61111111] ; [39.61111111 52.38888889],0
p2,1,0.049435,3.860504,[40 15] ; [52 40],[34.42176871 20.57823129] ; [57.57823129 34.42176871],0
p12,1,0.049517,3.857747,[ 5 48] ; [ 2 90],[ 2.55862069 50.44137931] ; [ 4.44137931 87.55862069],0
v2,1,0.053019,3.743316,[25 30] ; [25 60],[19.64285714 35.35714286] ; [30.35714286 54.64285714],0
p1,1,0.056447,3.638818,[ 9 46] ; [ 6 86],[ 5.6122449 49.3877551] ; [ 9.3877551 82.6122449],0
s7,1,0.06829,3.323643,[15 39] ; [13 73],[10.8 43.2] ; [17.2 68.8],0
b5,1,0.089102,2.890531,[36 19] ; [47 45],[31.05442177 23.94557823] ; [51.94557823 40.05442177],0
v4,1,0.114561,2.490143,[49  6] ; [71 19],[45.51724138  9.48275862] ; [74.48275862 15.51724138],0
d4,1,0.135186,2.231919,[22 33] ; [48 43],[26.36986301 28.63013699] ; [43.63013699 47.36986301],0
s4,1,0.139566,2.182743,[ 6 48] ; [19 73],[ 9.24657534 44.75342466] ; [15.75342466 76.24657534],0
p11,1,0.143864,2.136131,[40 15] ; [56 36],[35.91836735 19.08163265] ; [60.08163265 31.91836735],0
n4,1,0.144159,2.132997,[38 16] ; [53 38],[33.88965517 20.11034483] ; [57.11034483 33.88965517],0
r1,1,0.150245,2.069763,[38 17] ; [52 39],[33.90410959 21.09589041] ; [56.09589041 34.90410959],0
r3,1,0.154118,2.031013,[48  7] ; [70 20],[44.75862069 10.24137931] ; [73.24137931 16.75862069],0
a6,1,0.163861,1.938226,[34 21] ; [46 46],[29.93197279 25.06802721] ; [50.06802721 41.93197279],0
r2,1,0.272995,1.201636,[48  7] ; [73 18],[45.58219178  9.41780822] ; [75.41780822 15.58219178],0
s2,1,0.430023,0.622761,[19 35] ; [26 64],[16.875 37.125] ; [28.125 61.875],0
b4,1,0.44823,0.575124,[34 21] ; [51 41],[31.80272109 23.19727891] ; [53.19727891 38.80272109],0
b3,1,0.492704,0.470615,[ 7 19] ; [19 36],[ 8.34567901 17.65432099] ; [17.65432099 37.34567901],0
b2,1,0.492704,0.470615,[ 7 19] ; [19 36],[ 8.34567901 17.65432099] ; [17.65432099 37.34567901],0
u3,1,0.533039,0.388595,[11 18] ; [23 28],[12.325 16.675] ; [21.675 29.325],0
n3,1,0.533389,0.387931,[5 4] ; [24 12],[5.8 3.2] ; [23.2 12.8],0
d3,1,0.553127,0.351746,[20 35] ; [38 54],[21.70068027 33.29931973] ; [36.29931973 55.70068027],0
u2,1,0.588324,0.292969,[14 15] ; [21 29],[12.84810127 16.15189873] ; [22.15189873 27.84810127],0
a1,1,0.615712,0.251941,[ 3 52] ; [ 7 85],[ 3.7414966 51.2585034] ; [ 6.2585034 85.7414966],0
a8,1,0.637334,0.222246,[ 4 46] ; [ 9 77],[ 4.77941176 45.22058824] ; [ 8.22058824 77.77941176],0
s3,1,0.654829,0.199867,[21 30] ; [41 50],[22.26760563 28.73239437] ; [39.73239437 51.26760563],0
a3,1,0.665862,0.18648,[26 28] ; [40 50],[24.75 29.25] ; [41.25 48.75],0
s1,1,0.682021,0.167859,[ 4 50] ; [ 5 83],[ 3.42253521 50.57746479] ; [ 5.57746479 82.42253521],0
n5,1,0.685548,0.163947,[36 18] ; [57 33],[34.875 19.125] ; [58.125 31.875],0
