Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,38.729167,[12 24] ; [84 12],[26.18181818  9.81818182] ; [69.81818182 26.18181818],1
d3,1,0.0,38.410676,[ 6 30] ; [73 23],[21.54545455 14.45454545] ; [57.45454545 38.54545455],1
d1,1,0.0,36.523437,[ 2 34] ; [62 34],[17.45454545 18.54545455] ; [46.54545455 49.45454545],1
a3,1,0.0002,13.831224,[13 22] ; [69 26],[22.07692308 12.92307692] ; [59.92307692 35.07692308],1
d2,1,0.000502,12.106707,[ 5 31] ; [45 51],[13.63636364 22.36363636] ; [36.36363636 59.63636364],1
a5,1,0.001443,10.150064,[16 20] ; [71 25],[23.72727273 12.27272727] ; [63.27272727 32.72727273],0
a7,1,0.006674,7.358796,[20 16] ; [76 20],[26.18181818  9.81818182] ; [69.81818182 26.18181818],0
p2,1,0.018164,5.580277,[25 10] ; [85 11],[29.38931298  5.61068702] ; [80.61068702 15.38931298],0
p1,1,0.021062,5.321637,[ 7 28] ; [ 6 89],[ 3.5 31.5] ; [ 9.5 85.5],0
r1,1,0.0262,4.942768,[22 14] ; [76 19],[26.93129771  9.06870229] ; [71.06870229 23.93129771],0
r2,1,0.050582,3.822072,[31  5] ; [91  4],[33.52671756  2.47328244] ; [88.47328244  6.52671756],0
v2,1,0.057572,3.605991,[12 22] ; [50 42],[16.73015873 17.26984127] ; [45.26984127 46.73015873],0
r3,1,0.068228,3.325143,[32  4] ; [93  3],[34.09090909  1.90909091] ; [90.90909091  5.09090909],0
a2,1,0.091759,2.843239,[ 3 33] ; [20 76],[ 6.27272727 29.72727273] ; [16.72727273 79.27272727],0
b5,1,0.141299,2.163757,[19 17] ; [64 32],[22.63636364 13.36363636] ; [60.36363636 35.63636364],0
a4,1,0.142398,2.151856,[ 8 27] ; [35 61],[11.48854962 23.51145038] ; [31.51145038 64.48854962],0
v1,1,0.152491,2.047157,[12 23] ; [45 48],[15.5859375 19.4140625] ; [41.4140625 51.5859375],0
b4,1,0.165612,1.92222,[15 21] ; [53 43],[18.54545455 17.45454545] ; [49.45454545 46.54545455],0
