Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.3e-05,16.743887,[42 11] ; [15 25],[32.48387097 20.51612903] ; [24.51612903 15.48387097],1
s6,1,6.3e-05,16.00436,[34 18] ; [ 9 30],[24.57142857 27.42857143] ; [18.42857143 20.57142857],1
d1,1,0.000128,14.676468,[25 28] ; [ 4 36],[16.52688172 36.47311828] ; [12.47311828 27.52688172],1
d5,1,0.000139,14.513649,[40 13] ; [14 25],[31.10869565 21.89130435] ; [22.89130435 16.10869565],1
d4,1,0.001752,9.793061,[41 11] ; [19 21],[33.91304348 18.08695652] ; [26.08695652 13.91304348],0
u3,1,0.002292,9.3,[21  9] ; [10 22],[15. 15.] ; [16. 16.],0
s7,1,0.009509,6.724646,[20 25] ; [ 7 32],[14.46428571 30.53571429] ; [12.53571429 26.46428571],0
s8,1,0.010844,6.490784,[19 34] ; [ 5 35],[13.67741935 39.32258065] ; [10.32258065 29.67741935],0
s3,1,0.021259,5.305394,[30 22] ; [13 26],[24.57142857 27.42857143] ; [18.42857143 20.57142857],0
a3,1,0.024057,5.090498,[22 29] ; [ 8 31],[17. 34.] ; [13. 26.],0
r2,1,0.028185,4.816731,[45  7] ; [27 13],[40.69565217 11.30434783] ; [31.30434783  8.69565217],0
s2,1,0.035485,4.421705,[26 27] ; [11 29],[21.08602151 31.91397849] ; [15.91397849 24.08602151],0
a7,1,0.049901,3.844777,[34 19] ; [17 22],[29.38043478 23.61956522] ; [21.61956522 17.38043478],0
v4,1,0.052065,3.773679,[45  7] ; [28 12],[41.26086957 10.73913043] ; [31.73913043  8.26086957],0
a1,1,0.085903,2.94952,[ 1 52] ; [ 4 36],[ 2.84946237 50.15053763] ; [ 2.15053763 37.84946237],0
r3,1,0.094973,2.78799,[40 11] ; [25 15],[36.42857143 14.57142857] ; [28.57142857 11.42857143],0
s1,1,0.099726,2.709926,[ 6 45] ; [ 1 39],[ 3.92307692 47.07692308] ; [ 3.07692308 36.92307692],0
b4,1,0.119308,2.426379,[35 18] ; [20 20],[31.34408602 21.65591398] ; [23.65591398 16.34408602],0
p1,1,0.11976,2.420452,[ 8 45] ; [ 2 38],[ 5.69892473 47.30107527] ; [ 4.30107527 35.69892473],0
u2,1,0.123001,2.37869,[17 12] ; [12 19],[14.01666667 14.98333333] ; [14.98333333 16.01666667],0
