Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.004625,8.02057,[ 7 32] ; [15 15],[12.43478261 26.56521739] ; [ 9.56521739 20.43478261],0
u2,1,0.028887,4.774306,[11  1] ; [5 5],[8.72727273 3.27272727] ; [7.27272727 2.72727273],0
a7,1,0.040574,4.193732,[34  5] ; [20 10],[30.52173913  8.47826087] ; [23.47826087  6.52173913],0
s8,1,0.06402,3.430061,[11 28] ; [15 15],[14.69565217 24.30434783] ; [11.30434783 18.69565217],0
n1,1,0.070645,3.267974,[ 1 14] ; [2 3],[ 2.25 12.75] ; [0.75 4.25],0
p6,1,0.070755,3.265429,[ 6 31] ; [10 18],[ 9.10769231 27.89230769] ; [ 6.89230769 21.10769231],0
p10,1,0.081221,3.040298,[28 10] ; [16 14],[24.58823529 13.41176471] ; [19.41176471 10.58823529],0
s6,1,0.123192,2.376266,[26 12] ; [15 15],[22.91176471 15.08823529] ; [18.08823529 11.91176471],0
s5,1,0.152276,2.049299,[14 24] ; [ 6 23],[11.34328358 26.65671642] ; [ 8.65671642 20.34328358],0
p12,1,0.156122,2.011394,[ 5 33] ; [ 1 29],[ 3.35294118 34.64705882] ; [ 2.64705882 27.35294118],0
r4,1,0.167753,1.902906,[32  7] ; [28  2],[33.91304348  5.08695652] ; [26.08695652  3.91304348],0
p9,1,0.169,1.891791,[28  9] ; [18 12],[25.40298507 11.59701493] ; [20.59701493  9.40298507],0
s7,1,0.176022,1.830897,[12 26] ; [13 14],[14.61538462 23.38461538] ; [10.38461538 16.61538462],0
p2,1,0.194732,1.681452,[25 13] ; [24  6],[27.38235294 10.61764706] ; [21.61764706  8.38235294],0
b5,1,0.21444,1.541197,[23 16] ; [22  8],[25.43478261 13.56521739] ; [19.56521739 10.43478261],0
d4,1,0.25439,1.299035,[35  4] ; [24  6],[33.34782609  5.65217391] ; [25.65217391  4.34782609],0
u1,1,0.26216,1.257314,[ 6 33] ; [ 2 28],[ 4.52173913 34.47826087] ; [ 3.47826087 26.52173913],0
