Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000161,14.240213,[95 20] ; [10 12],[88.13868613 26.86131387] ; [16.86131387  5.13868613],1
p7,1,0.000388,12.58995,[107   8] ; [14  7],[102.31617647  12.68382353] ; [18.68382353  2.31617647],1
p3,1,0.000512,12.070153,[89 26] ; [ 9 13],[82.26277372 32.73722628] ; [15.73722628  6.26277372],1
p2,1,0.002578,9.084094,[105  10] ; [15  7],[100.72992701  14.27007299] ; [19.27007299  2.72992701],0
p8,1,0.0041,8.238854,[91 24] ; [11 11],[85.62043796 29.37956204] ; [16.37956204  5.62043796],0
a4,1,0.022606,5.198524,[67 48] ; [ 7 15],[62.11678832 52.88321168] ; [11.88321168 10.11678832],0
p1,1,0.02465,5.048295,[18 96] ; [ 8 14],[21.79411765 92.20588235] ; [ 4.20588235 17.79411765],0
p5,1,0.032991,4.546256,[36 79] ; [ 2 20],[31.89781022 83.10218978] ; [ 6.10218978 15.89781022],0
d5,1,0.049332,3.864008,[101  13] ; [16  6],[98.07352941 15.92647059] ; [18.92647059  3.07352941],0
a5,1,0.054118,3.709069,[98 17] ; [15  7],[94.8540146 20.1459854] ; [18.1459854  3.8540146],0
d1,1,0.061514,3.496075,[81 34] ; [11 11],[77.22627737 37.77372263] ; [14.77372263  7.22627737],0
v3,1,0.06302,3.456059,[52 62] ; [ 5 16],[48.13333333 65.86666667] ; [ 8.86666667 12.13333333],0
n1,1,0.075425,3.160816,[12 13] ; [6 1],[14.0625 10.9375] ; [3.9375 3.0625],0
p11,1,0.093671,2.810125,[96 19] ; [15  7],[93.17518248 21.82481752] ; [17.82481752  4.17518248],0
b5,1,0.09376,2.808611,[56 59] ; [15  7],[59.59854015 55.40145985] ; [11.40145985 10.59854015],0
a7,1,0.120683,2.408438,[82 33] ; [12 10],[78.90510949 36.09489051] ; [15.09489051  6.90510949],0
r3,1,0.140479,2.172702,[111   3] ; [20  2],[109.80882353   4.19117647] ; [21.19117647  0.80882353],0
d4,1,0.151292,2.059176,[101  13] ; [17  5],[98.91176471 15.08823529] ; [19.08823529  2.91176471],0
s4,1,0.211044,1.564253,[37 76] ; [ 4 17],[34.57462687 78.42537313] ; [ 6.42537313 14.57462687],0
s8,1,0.211778,1.559231,[73 42] ; [17  5],[75.54744526 39.45255474] ; [14.45255474  7.54744526],0
s1,1,0.238546,1.389166,[  4 111] ; [ 2 20],[  5.03649635 109.96350365] ; [ 0.96350365 21.03649635],0
a2,1,0.274545,1.193895,[34 81] ; [ 4 18],[31.89781022 83.10218978] ; [ 6.10218978 15.89781022],0
a8,1,0.279404,1.169988,[13 96] ; [ 4 15],[14.4765625 94.5234375] ; [ 2.5234375 16.4765625],0
n6,1,0.297195,1.086738,[106   8] ; [19  3],[104.77941176   9.22058824] ; [20.22058824  1.77941176],0
b4,1,0.300777,1.070747,[76 39] ; [12 10],[73.86861314 41.13138686] ; [14.13138686  7.86861314],0
s2,1,0.306451,1.045909,[88 27] ; [19  3],[89.81751825 25.18248175] ; [17.18248175  4.81751825],0
b1,1,0.342032,0.902802,[45 70] ; [11 11],[47.00729927 67.99270073] ; [ 8.99270073 13.00729927],0
v1,1,0.379492,0.772347,[79 36] ; [13  9],[77.22627737 37.77372263] ; [14.77372263  7.22627737],0
a1,1,0.387817,0.745775,[ 12 103] ; [ 1 21],[ 10.91240876 104.08759124] ; [ 2.08759124 19.91240876],0
r1,1,0.415954,0.661719,[97 18] ; [17  5],[95.69343066 19.30656934] ; [18.30656934  3.69343066],0
u1,1,0.431603,0.618506,[30 85] ; [ 4 18],[28.54014599 86.45985401] ; [ 5.45985401 16.54014599],0
d2,1,0.456597,0.554225,[58 57] ; [13  9],[59.59854015 55.40145985] ; [11.40145985 10.59854015],0
n5,1,0.482964,0.492164,[96 19] ; [17  5],[94.8540146 20.1459854] ; [18.1459854  3.8540146],0
s3,1,0.491306,0.473665,[79 36] ; [16  5],[80.33088235 34.66911765] ; [14.66911765  6.33088235],0
s6,1,0.521894,0.410149,[103  11] ; [18  3],[102.17777778  11.82222222] ; [18.82222222  2.17777778],0
n4,1,0.685131,0.164407,[98 17] ; [18  4],[97.37226277 17.62773723] ; [18.62773723  3.37226277],0
b2,1,0.700566,0.147884,[31 38] ; [9 9],[31.72413793 37.27586207] ; [8.27586207 9.72413793],0
b3,1,0.700566,0.147884,[31 38] ; [9 9],[31.72413793 37.27586207] ; [8.27586207 9.72413793],0
a3,1,0.781852,0.076677,[90 25] ; [17  4],[90.47794118 24.52205882] ; [16.52205882  4.47794118],0
n3,1,0.797923,0.065555,[15  9] ; [4 3],[14.70967742  9.29032258] ; [4.29032258 2.70967742],0
p12,1,0.798041,0.065476,[19 96] ; [ 3 18],[18.60294118 96.39705882] ; [ 3.39705882 17.60294118],0
v4,1,0.806794,0.059811,[111   4] ; [21  1],[110.80291971   4.19708029] ; [21.19708029  0.80291971],0
s7,1,0.838763,0.041403,[82 27] ; [17  5],[82.3740458 26.6259542] ; [16.6259542  5.3740458],0
v2,1,0.841957,0.039757,[66 49] ; [11  9],[65.59259259 49.40740741] ; [11.40740741  8.59259259],0
p9,1,0.895666,0.017197,[109   6] ; [21  1],[109.12408759   5.87591241] ; [20.87591241  1.12408759],0
a6,1,0.988541,0.000206,[71 44] ; [13  8],[71.02941176 43.97058824] ; [12.97058824  8.02941176],0
u2,1,1.0,0.0,[15 10] ; [3 2],[15. 10.] ; [3. 2.],0
