Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,30.029623,[ 75 166] ; [34 12],[ 91.52961672 149.47038328] ; [17.47038328 28.52961672],1
p1,1,1e-06,25.186081,[ 14 234] ; [14 35],[ 23.38047138 224.61952862] ; [ 4.61952862 44.38047138],1
p8,1,1e-06,23.880269,[126 116] ; [44  5],[141.37457045 100.62542955] ; [28.62542955 20.37457045],1
p4,1,2e-06,22.26746,[142 103] ; [45  3],[156.36518771  88.63481229] ; [30.63481229 17.36518771],1
p12,1,5e-05,16.461573,[ 23 223] ; [15 34],[ 31.68813559 214.31186441] ; [ 6.31186441 42.68813559],1
p6,1,0.000199,13.836473,[ 82 160] ; [30 18],[ 93.46206897 148.53793103] ; [18.53793103 29.46206897],1
p3,1,0.000373,12.66364,[129 119] ; [39 10],[140.28282828 107.71717172] ; [27.71717172 21.28282828],1
b5,1,0.005344,7.759274,[155  94] ; [20 29],[146.22483221 102.77516779] ; [28.77516779 20.22483221],0
a1,1,0.005847,7.596915,[ 16 233] ; [ 9 40],[ 20.88926174 228.11073826] ; [ 4.11073826 44.88926174],0
p10,1,0.006087,7.524431,[202  43] ; [47  1],[208.20819113  36.79180887] ; [40.79180887  7.20819113],0
p7,1,0.017713,5.624338,[159  82] ; [40  8],[165.94809689  75.05190311] ; [33.05190311 14.94809689],0
v1,1,0.026388,4.930392,[161  85] ; [40  9],[167.61355932  78.38644068] ; [33.38644068 15.61355932],0
p9,1,0.027824,4.838967,[204  39] ; [47  2],[208.88013699  34.11986301] ; [42.11986301  6.88013699],0
s7,1,0.028711,4.784879,[133 102] ; [34 12],[139.66192171  95.33807829] ; [27.33807829 18.66192171],0
a6,1,0.029112,4.761007,[176  72] ; [27 22],[169.50841751  78.49158249] ; [33.49158249 15.50841751],0
a2,1,0.038584,4.279077,[ 77 172] ; [ 8 41],[ 71.02348993 177.97651007] ; [13.97651007 35.02348993],0
s6,1,0.041621,4.150532,[165  77] ; [39  8],[170.82352941  71.17647059] ; [33.17647059 13.82352941],0
s8,1,0.047972,3.910983,[131 115] ; [33 15],[137.2244898 108.7755102] ; [26.7755102 21.2244898],0
n5,1,0.069847,3.286608,[194  53] ; [44  5],[198.60135135  48.39864865] ; [39.39864865  9.60135135],0
n4,1,0.075843,3.151813,[202  46] ; [45  4],[206.24915825  41.75084175] ; [40.75084175  8.24915825],0
p11,1,0.08231,3.018685,[197  52] ; [44  5],[201.37248322  47.62751678] ; [39.62751678  9.37248322],0
