Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,25.20233,[87 16] ; [ 9 16],[77.25 25.75] ; [18.75  6.25],1
s7,1,0.00016,14.248437,[59 40] ; [ 4 20],[50.70731707 48.29268293] ; [12.29268293 11.70731707],1
p2,1,0.000478,12.199014,[86 16] ; [13 12],[79.51181102 22.48818898] ; [19.48818898  5.51181102],1
n6,1,0.000581,11.835293,[89 14] ; [14 11],[82.8828125 20.1171875] ; [20.1171875  4.8828125],1
p9,1,0.000966,10.89082,[89 13] ; [14 10],[83.38095238 18.61904762] ; [19.61904762  4.38095238],1
p10,1,0.00133,10.300454,[85 16] ; [13 11],[79.184 21.816] ; [18.816  5.184],0
s8,1,0.001762,9.782436,[57 47] ; [ 5 20],[49.98449612 54.01550388] ; [12.01550388 12.98449612],0
d2,1,0.001847,9.696153,[61 43] ; [ 6 19],[54.01550388 49.98449612] ; [12.98449612 12.01550388],0
v3,1,0.00511,7.840019,[62 40] ; [ 7 17],[55.85714286 46.14285714] ; [13.14285714 10.85714286],0
p3,1,0.009671,6.694438,[58 44] ; [ 7 18],[52.20472441 49.79527559] ; [12.79527559 12.20472441],0
p8,1,0.013367,6.119814,[59 40] ; [ 8 17],[53.49193548 45.50806452] ; [13.50806452 11.49193548],0
p11,1,0.019439,5.461542,[85 19] ; [15 10],[80.62015504 23.37984496] ; [19.37984496  5.62015504],0
v1,1,0.020362,5.380558,[73 28] ; [12 13],[68.13492063 32.86507937] ; [16.86507937  8.13492063],0
d1,1,0.020872,5.33741,[60 44] ; [ 8 17],[54.82170543 49.17829457] ; [13.17829457 11.82170543],0
d4,1,0.039244,4.250256,[89 15] ; [17  8],[85.45736434 18.54263566] ; [20.54263566  4.45736434],0
r4,1,0.077063,3.125769,[90 14] ; [18  7],[87.06976744 16.93023256] ; [20.93023256  4.06976744],0
p7,1,0.07783,3.109644,[74 26] ; [14 11],[70.4 29.6] ; [17.6  7.4],0
r1,1,0.08462,2.973851,[80 24] ; [15 10],[76.58914729 27.41085271] ; [18.41085271  6.58914729],0
p6,1,0.088779,2.896384,[39 60] ; [ 5 19],[35.41463415 63.58536585] ; [ 8.58536585 15.41463415],0
r3,1,0.106115,2.61114,[100   4] ; [22  3],[98.35658915  5.64341085] ; [23.64341085  1.35658915],0
a3,1,0.118779,2.433342,[82 22] ; [16  9],[79.00775194 24.99224806] ; [18.99224806  6.00775194],0
n3,1,0.123819,2.368333,[18  2] ; [6 3],[16.55172414  3.44827586] ; [7.44827586 1.55172414],0
p4,1,0.148597,2.086594,[60 40] ; [11 14],[56.8 43.2] ; [14.2 10.8],0
a4,1,0.162263,1.953005,[45 59] ; [ 7 18],[41.92248062 62.07751938] ; [10.07751938 14.92248062],0
s3,1,0.168339,1.897677,[57 46] ; [10 15],[53.9140625 49.0859375] ; [13.0859375 11.9140625],0
a5,1,0.197789,1.658629,[76 28] ; [15 10],[73.36434109 30.63565891] ; [17.63565891  7.36434109],0
p5,1,0.215365,1.534991,[13 90] ; [ 1 24],[11.265625 91.734375] ; [ 2.734375 22.265625],0
s6,1,0.227944,1.453643,[64 37] ; [12 12],[61.408 39.592] ; [14.592  9.408],0
a8,1,0.236268,1.402724,[12 87] ; [ 1 24],[10.37903226 88.62096774] ; [ 2.62096774 22.37903226],0
d5,1,0.303772,1.057562,[88 16] ; [19  6],[86.26356589 17.73643411] ; [20.73643411  4.26356589],0
u2,1,0.337904,0.918367,[11 10] ; [3 6],[ 9.8 11.2] ; [4.2 4.8],0
r2,1,0.343553,0.897129,[90 10] ; [24  1],[91.2  8.8] ; [22.8  2.2],0
b5,1,0.430734,0.620843,[45 59] ; [13 12],[46.75968992 57.24031008] ; [11.24031008 13.75968992],0
d3,1,0.454955,0.558277,[46 58] ; [ 9 16],[44.34108527 59.65891473] ; [10.65891473 14.34108527],0
u3,1,0.456996,0.553243,[ 9 13] ; [5 4],[ 9.93548387 12.06451613] ; [4.06451613 4.93548387],0
b4,1,0.467233,0.528512,[54 50] ; [15 10],[55.62790698 48.37209302] ; [13.37209302 11.62790698],0
s2,1,0.540044,0.375459,[57 47] ; [12 13],[55.62790698 48.37209302] ; [13.37209302 11.62790698],0
s1,1,0.541725,0.372352,[  2 101] ; [ 1 24],[  2.4140625 100.5859375] ; [ 0.5859375 24.4140625],0
s5,1,0.558946,0.341532,[41 58] ; [ 8 15],[39.76229508 59.23770492] ; [ 9.23770492 13.76229508],0
a2,1,0.611236,0.258379,[ 7 97] ; [ 1 24],[ 6.4496124 97.5503876] ; [ 1.5503876 23.4496124],0
v4,1,0.61569,0.251972,[94  9] ; [22  3],[93.34375  9.65625] ; [22.65625  2.34375],0
a1,1,0.677967,0.172424,[ 6 98] ; [ 2 23],[ 6.4496124 97.5503876] ; [ 1.5503876 23.4496124],0
a6,1,0.679885,0.170255,[37 67] ; [10 15],[37.89147287 66.10852713] ; [ 9.10852713 15.89147287],0
n1,1,0.700472,0.147981,[ 7 12] ; [4 5],[ 7.46428571 11.53571429] ; [3.53571429 5.46428571],0
n2,1,0.705591,0.14272,[14  5] ; [8 2],[14.4137931  4.5862069] ; [7.5862069 2.4137931],0
b1,1,0.733731,0.115713,[46 58] ; [12 13],[46.75968992 57.24031008] ; [11.24031008 13.75968992],0
s4,1,0.742237,0.10817,[14 90] ; [ 4 21],[14.51162791 89.48837209] ; [ 3.48837209 21.51162791],0
b2,1,0.837254,0.042192,[33 43] ; [4 6],[32.69767442 43.30232558] ; [4.30232558 5.69767442],0
b3,1,0.837254,0.042192,[33 43] ; [4 6],[32.69767442 43.30232558] ; [4.30232558 5.69767442],0
p1,1,0.863291,0.029648,[ 5 99] ; [ 1 24],[ 4.8372093 99.1627907] ; [ 1.1627907 23.8372093],0
p12,1,0.871723,0.026073,[ 5 96] ; [ 1 23],[ 4.848 96.152] ; [ 1.152 22.848],0
