Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,89.274966,[ 2 42] ; [195  57],[29.28378378 14.71621622] ; [167.71621622  84.28378378],1
d5,1,0.0,67.090213,[19 25] ; [231  21],[37.16216216  6.83783784] ; [212.83783784  39.16216216],1
d3,1,0.0,41.271662,[14 30] ; [199  53],[31.66216216 12.33783784] ; [181.33783784  70.66216216],1
d2,1,0.0,25.727142,[ 8 36] ; [150 102],[23.48648649 20.51351351] ; [134.51351351 117.48648649],1
a4,1,0.000175,14.084132,[10 34] ; [134 117],[21.4779661 22.5220339] ; [122.5220339 128.4779661],1
p2,1,0.000235,13.529852,[31 13] ; [226  24],[38.46258503  5.53741497] ; [218.53741497  31.46258503],1
s8,1,0.00038,12.62833,[14 30] ; [151  98],[24.778157 19.221843] ; [140.221843 108.778157],1
u1,1,0.000841,11.14919,[ 1 43] ; [ 62 190],[ 9.36486486 34.63513514] ; [ 53.63513514 198.36486486],1
r3,1,0.001532,10.039948,[39  5] ; [246   5],[42.50847458  1.49152542] ; [242.49152542   8.50847458],0
v4,1,0.004858,7.931458,[40  4] ; [246   4],[42.80272109  1.19727891] ; [243.19727891   6.80272109],0
a3,1,0.008839,6.85514,[28 16] ; [203  47],[34.57142857  9.42857143] ; [196.42857143  53.57142857],0
p1,1,0.009283,6.767626,[11 33] ; [ 27 224],[ 5.66779661 38.33220339] ; [ 32.33220339 218.66779661],0
a2,1,0.012746,6.204014,[ 5 39] ; [ 74 178],[11.74324324 32.25675676] ; [ 67.25675676 184.74324324],0
s2,1,0.013014,6.167235,[17 27] ; [147 103],[24.54421769 19.45578231] ; [139.45578231 110.54421769],0
a5,1,0.016561,5.742352,[29 15] ; [206  46],[34.93243243  9.06756757] ; [200.06756757  51.93243243],0
v1,1,0.03986,4.223817,[24 19] ; [178  71],[29.74657534 13.25342466] ; [172.25342466  76.74657534],0
n6,1,0.057985,3.594089,[36  8] ; [228  22],[39.51020408  4.48979592] ; [224.48979592  25.51020408],0
