Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.000348,12.795054,[ 5 92] ; [15 46],[12.27848101 84.72151899] ; [ 7.72151899 53.27848101],1
s7,1,0.000839,11.152498,[24 77] ; [33 35],[34.06508876 66.93491124] ; [22.93491124 45.06508876],1
s8,1,0.002234,9.346948,[21 85] ; [28 40],[29.85057471 76.14942529] ; [19.14942529 48.85057471],0
p2,1,0.007953,7.044133,[65 43] ; [54 14],[73.02272727 34.97727273] ; [45.97727273 22.02272727],0
b5,1,0.032626,4.565286,[64 44] ; [51 17],[70.56818182 37.43181818] ; [44.43181818 23.56818182],0
b1,1,0.045448,4.001931,[58 50] ; [26 42],[51.54545455 56.45454545] ; [32.45454545 35.54545455],0
a3,1,0.048678,3.886438,[59 49] ; [46 20],[65.17241379 42.82758621] ; [39.82758621 26.17241379],0
u4,1,0.053965,3.713784,[  1 107] ; [ 4 64],[  3.06818182 104.93181818] ; [ 1.93181818 66.06818182],0
s3,1,0.05577,3.658899,[44 63] ; [37 29],[50.0982659 56.9017341] ; [30.9017341 35.0982659],0
d3,1,0.084734,2.971674,[60 48] ; [46 21],[65.41714286 42.58285714] ; [40.58285714 26.41714286],0
p6,1,0.087283,2.923785,[24 81] ; [23 43],[28.85964912 76.14035088] ; [18.14035088 47.85964912],0
n5,1,0.101147,2.687364,[54 54] ; [42 25],[59.24571429 48.75428571] ; [36.75428571 30.24571429],0
s6,1,0.104805,2.630857,[49 57] ; [40 28],[54.2183908 51.7816092] ; [34.7816092 33.2183908],0
p11,1,0.167397,1.906097,[52 56] ; [40 28],[56.45454545 51.54545455] ; [35.54545455 32.45454545],0
a4,1,0.178047,1.813847,[42 66] ; [33 34],[46.28571429 61.71428571] ; [28.71428571 38.28571429],0
s2,1,0.189953,1.717982,[33 72] ; [28 40],[37.02312139 67.97687861] ; [23.97687861 44.02312139],0
u3,1,0.21536,1.535026,[30 19] ; [10 12],[27.6056338 21.3943662] ; [12.3943662  9.6056338],0
d1,1,0.222725,1.486727,[47 61] ; [36 32],[50.93181818 57.06818182] ; [32.06818182 35.93181818],0
r3,1,0.232864,1.423284,[95 12] ; [64  4],[97.21714286  9.78285714] ; [61.78285714  6.21714286],0
u2,1,0.249824,1.324288,[25 22] ; [ 8 13],[22.80882353 24.19117647] ; [10.19117647 10.80882353],0
s5,1,0.255664,1.292085,[17 87] ; [15 49],[19.80952381 84.19047619] ; [12.19047619 51.80952381],0
n1,1,0.281828,1.158254,[14 26] ; [13 14],[16.11940299 23.88059701] ; [10.88059701 16.11940299],0
b2,1,0.313359,1.016464,[18 48] ; [17 30],[20.44247788 45.55752212] ; [14.55752212 32.44247788],0
b3,1,0.313359,1.016464,[18 48] ; [17 30],[20.44247788 45.55752212] ; [14.55752212 32.44247788],0
p12,1,0.31887,0.993577,[  1 106] ; [ 2 66],[  1.83428571 105.16571429] ; [ 1.16571429 66.83428571],0
d4,1,0.337909,0.918347,[76 31] ; [52 15],[78.71264368 28.28735632] ; [49.28735632 17.71264368],0
s4,1,0.366104,0.816847,[18 88] ; [ 8 59],[15.93063584 90.06936416] ; [10.06936416 56.93063584],0
p8,1,0.393407,0.728384,[32 76] ; [24 43],[34.56 73.44] ; [21.44 45.56],0
n3,1,0.420994,0.64754,[25 13] ; [21  7],[26.48484848 11.51515152] ; [19.51515152  8.48484848],0
a2,1,0.422288,0.64394,[20 88] ; [16 52],[22.09090909 85.90909091] ; [13.90909091 54.09090909],0
n6,1,0.438029,0.60144,[73 35] ; [49 18],[75.29142857 32.70857143] ; [46.70857143 20.29142857],0
a1,1,0.447304,0.577473,[  5 103] ; [ 5 63],[  6.13636364 101.86363636] ; [ 3.86363636 64.13636364],0
r1,1,0.475031,0.51025,[80 28] ; [47 21],[77.93181818 30.06818182] ; [49.06818182 18.93181818],0
