Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000168,14.15643,[60  7] ; [24 17],[52.11111111 14.88888889] ; [31.88888889  9.11111111],1
r4,1,0.000718,11.442948,[51 16] ; [18 23],[42.80555556 24.19444444] ; [26.19444444 14.80555556],1
p9,1,0.000919,10.984569,[50 16] ; [17 22],[42.11428571 23.88571429] ; [24.88571429 14.11428571],1
s6,1,0.002766,8.955448,[38 27] ; [11 28],[30.625 34.375] ; [18.375 20.625],0
r2,1,0.004432,8.09763,[57  9] ; [25 15],[51.05660377 14.94339623] ; [30.94339623  9.05660377],0
v4,1,0.005228,7.798825,[59  7] ; [27 13],[53.54716981 12.45283019] ; [32.45283019  7.54716981],0
p10,1,0.010306,6.581197,[44 22] ; [16 23],[37.71428571 28.28571429] ; [22.28571429 16.71428571],0
n6,1,0.028466,4.799605,[49 17] ; [22 19],[43.79439252 22.20560748] ; [27.20560748 13.79439252],0
p8,1,0.028564,4.793701,[30 36] ; [10 31],[24.6728972 41.3271028] ; [15.3271028 25.6728972],0
p6,1,0.043475,4.076847,[23 41] ; [ 7 33],[18.46153846 45.53846154] ; [11.53846154 28.46153846],0
n2,1,0.058253,3.586439,[18  5] ; [9 9],[15.14634146  7.85365854] ; [11.85365854  6.14634146],0
p7,1,0.066513,3.367039,[39 25] ; [17 23],[34.46153846 29.53846154] ; [21.53846154 18.46153846],0
d5,1,0.092025,2.838588,[34 33] ; [14 27],[29.77777778 37.22222222] ; [18.22222222 22.77777778],0
a4,1,0.098907,2.723084,[17 50] ; [ 5 36],[13.64814815 53.35185185] ; [ 8.35185185 32.64814815],0
v1,1,0.121816,2.393819,[32 35] ; [13 27],[28.17757009 38.82242991] ; [16.82242991 23.17757009],0
u2,1,0.128805,2.306843,[21 16] ; [11 18],[17.93939394 19.06060606] ; [14.06060606 14.93939394],0
a3,1,0.129926,2.293384,[30 37] ; [12 28],[26.29906542 40.70093458] ; [15.70093458 24.29906542],0
n3,1,0.162305,1.952617,[14  9] ; [ 7 11],[11.7804878 11.2195122] ; [9.2195122 8.7804878],0
s5,1,0.169109,1.890822,[19 44] ; [ 7 32],[16.05882353 46.94117647] ; [ 9.94117647 29.05882353],0
n1,1,0.191556,1.70561,[11 12] ; [ 5 13],[ 8.97560976 14.02439024] ; [ 7.02439024 10.97560976],0
b1,1,0.195876,1.672858,[29 38] ; [23 18],[32.25925926 34.74074074] ; [19.74074074 21.25925926],0
r1,1,0.230011,1.440795,[39 28] ; [19 22],[35.98148148 31.01851852] ; [22.01851852 18.98148148],0
v2,1,0.233597,1.418824,[26 35] ; [12 27],[23.18 37.82] ; [14.82 24.18],0
a1,1,0.298459,1.081065,[ 2 65] ; [ 3 38],[ 3.10185185 63.89814815] ; [ 1.89814815 39.10185185],0
s4,1,0.323113,0.976306,[15 52] ; [ 6 35],[13.02777778 53.97222222] ; [ 7.97222222 33.02777778],0
b5,1,0.375218,0.786312,[35 32] ; [25 16],[37.22222222 29.77777778] ; [22.77777778 18.22222222],0
u3,1,0.383916,0.758124,[18 19] ; [11 18],[16.25757576 20.74242424] ; [12.74242424 16.25757576],0
s2,1,0.42188,0.645073,[26 40] ; [13 28],[24.05607477 41.94392523] ; [14.94392523 26.05607477],0
p5,1,0.439869,0.596623,[ 5 60] ; [ 5 36],[ 6.13207547 58.86792453] ; [ 3.86792453 37.13207547],0
p4,1,0.441422,0.592584,[31 34] ; [16 24],[29.0952381 35.9047619] ; [17.9047619 22.0952381],0
d3,1,0.553813,0.35053,[25 42] ; [13 28],[23.57407407 43.42592593] ; [14.42592593 26.57407407],0
s1,1,0.557727,0.343655,[ 3 62] ; [ 3 38],[ 3.67924528 61.32075472] ; [ 2.32075472 38.67924528],0
b3,1,0.578052,0.309395,[ 9 32] ; [ 7 18],[ 9.93939394 31.06060606] ; [ 6.06060606 18.93939394],0
b2,1,0.578052,0.309395,[ 9 32] ; [ 7 18],[ 9.93939394 31.06060606] ; [ 6.06060606 18.93939394],0
d2,1,0.618085,0.248568,[21 46] ; [11 30],[19.85185185 47.14814815] ; [12.14814815 28.85185185],0
s8,1,0.6516,0.203889,[19 48] ; [10 31],[17.99074074 49.00925926] ; [11.00925926 29.99074074],0
n4,1,0.662002,0.191101,[43 24] ; [28 13],[44.0462963 22.9537037] ; [26.9537037 14.0462963],0
p2,1,0.662594,0.190388,[43 23] ; [25 16],[41.94392523 24.05607477] ; [26.05607477 14.94392523],0
v3,1,0.681655,0.168269,[14 51] ; [10 30],[14.85714286 50.14285714] ; [ 9.14285714 30.85714286],0
u1,1,0.723287,0.125365,[ 1 66] ; [ 1 40],[ 1.24074074 65.75925926] ; [ 0.75925926 40.24074074],0
b4,1,0.736128,0.113559,[37 30] ; [24 17],[37.84259259 29.15740741] ; [23.15740741 17.84259259],0
p3,1,0.741563,0.108758,[18 48] ; [10 31],[17.27102804 48.72897196] ; [10.72897196 30.27102804],0
n5,1,0.742055,0.108328,[44 21] ; [29 12],[44.76415094 20.23584906] ; [28.23584906 12.76415094],0
a8,1,0.798851,0.064941,[ 6 58] ; [ 3 35],[ 5.64705882 58.35294118] ; [ 3.35294118 34.64705882],0
p12,1,0.818829,0.052465,[ 4 62] ; [ 2 38],[ 3.73584906 62.26415094] ; [ 2.26415094 37.73584906],0
s3,1,0.863185,0.029695,[33 32] ; [21 19],[33.42857143 31.57142857] ; [20.57142857 19.42857143],0
p1,1,0.889177,0.019417,[ 6 61] ; [ 4 37],[ 6.2037037 60.7962963] ; [ 3.7962963 37.2037037],0
s7,1,0.895512,0.017248,[21 45] ; [11 25],[20.70588235 45.29411765] ; [11.29411765 24.70588235],0
d4,1,0.940454,0.00558,[34 33] ; [20 20],[33.81308411 33.18691589] ; [20.18691589 19.81308411],0
a6,1,0.948707,0.004138,[20 47] ; [12 29],[19.85185185 47.14814815] ; [12.14814815 28.85185185],0
d1,1,0.988896,0.000194,[13 54] ; [ 8 33],[13.02777778 53.97222222] ; [ 7.97222222 33.02777778],0
