Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000976,10.872251,[19 91] ; [12 13],[25.25925926 84.74074074] ; [ 5.74074074 19.25925926],1
s5,1,0.004047,8.262529,[17 92] ; [10 14],[22.12781955 86.87218045] ; [ 4.87218045 19.12781955],0
s2,1,0.006291,7.465101,[35 78] ; [15 10],[40.94202899 72.05797101] ; [ 9.05797101 15.94202899],0
p6,1,0.008379,6.950577,[ 10 103] ; [ 7 18],[13.92028986 99.07971014] ; [ 3.07971014 21.92028986],0
p8,1,0.009209,6.781798,[ 13 101] ; [ 8 17],[17.22302158 96.77697842] ; [ 3.77697842 21.22302158],0
v4,1,0.027379,4.866761,[81 32] ; [24  2],[85.35971223 27.64028777] ; [19.64028777  6.35971223],0
s8,1,0.029956,4.711803,[28 85] ; [12 14],[32.51798561 80.48201439] ; [ 7.48201439 18.51798561],0
s6,1,0.045625,3.995403,[47 65] ; [16  9],[51.50364964 60.49635036] ; [11.49635036 13.50364964],0
r3,1,0.08912,2.890204,[82 31] ; [23  3],[85.35971223 27.64028777] ; [19.64028777  6.35971223],0
v2,1,0.091384,2.849818,[39 65] ; [14 11],[42.72868217 61.27131783] ; [10.27131783 14.72868217],0
s3,1,0.101313,2.684759,[40 70] ; [14 12],[43.67647059 66.32352941] ; [10.32352941 15.67647059],0
v1,1,0.166892,1.91064,[36 77] ; [12 14],[39.02158273 73.97841727] ; [ 8.97841727 17.02158273],0
r4,1,0.182088,1.780496,[72 42] ; [20  6],[74.91428571 39.08571429] ; [17.08571429  8.91428571],0
b3,1,0.195284,1.677297,[27 43] ; [ 4 14],[24.65909091 45.34090909] ; [ 6.34090909 11.65909091],0
b2,1,0.195284,1.677297,[27 43] ; [ 4 14],[24.65909091 45.34090909] ; [ 6.34090909 11.65909091],0
d5,1,0.199343,1.647179,[72 41] ; [20  6],[74.79136691 38.20863309] ; [17.20863309  8.79136691],0
b1,1,0.22118,1.4967,[59 55] ; [10 16],[56.18571429 57.81428571] ; [12.81428571 13.18571429],0
n3,1,0.227375,1.457204,[25 23] ; [6 2],[26.57142857 21.42857143] ; [4.42857143 3.57142857],0
n5,1,0.227652,1.455472,[71 42] ; [13 13],[68.28776978 44.71223022] ; [15.71223022 10.28776978],0
n4,1,0.262782,1.254039,[70 43] ; [13 13],[67.47482014 45.52517986] ; [15.52517986 10.47482014],0
p10,1,0.2806,1.164183,[51 60] ; [15 11],[53.47445255 57.52554745] ; [12.52554745 13.47445255],0
a1,1,0.289577,1.121587,[ 12 102] ; [ 1 25],[ 10.58571429 103.41428571] ; [ 2.41428571 23.58571429],0
a6,1,0.293054,1.105538,[65 48] ; [12 14],[62.5971223 50.4028777] ; [14.4028777 11.5971223],0
p5,1,0.297323,1.086163,[  4 109] ; [ 2 22],[  4.94890511 108.05109489] ; [ 1.05109489 22.94890511],0
a8,1,0.319765,0.989909,[11 99] ; [ 1 25],[  9.70588235 100.29411765] ; [ 2.29411765 23.70588235],0
p11,1,0.342036,0.902787,[54 60] ; [15 11],[56.18571429 57.81428571] ; [12.81428571 13.18571429],0
a7,1,0.342698,0.900311,[68 45] ; [13 13],[65.84892086 47.15107914] ; [15.15107914 10.84892086],0
p9,1,0.352717,0.86366,[55 52] ; [16 10],[57.12030075 49.87969925] ; [13.87969925 12.12030075],0
a4,1,0.360712,0.835414,[45 67] ; [13 13],[47.07246377 64.92753623] ; [10.92753623 15.07246377],0
p1,1,0.399599,0.709534,[ 10 104] ; [ 1 25],[  8.95714286 105.04285714] ; [ 2.04285714 23.95714286],0
a5,1,0.43448,0.610817,[65 49] ; [17  9],[66.77142857 47.22857143] ; [15.22857143 10.77142857],0
d2,1,0.444398,0.584901,[51 61] ; [14 12],[52.75362319 59.24637681] ; [12.24637681 13.75362319],0
d1,1,0.447973,0.575776,[52 62] ; [14 12],[53.74285714 60.25714286] ; [12.25714286 13.74285714],0
n2,1,0.465976,0.531501,[33 19] ; [4 4],[32.06666667 19.93333333] ; [4.93333333 3.06666667],0
r2,1,0.475158,0.509956,[91 19] ; [23  3],[92.20588235 17.79411765] ; [21.79411765  4.20588235],0
u3,1,0.524758,0.404532,[21 22] ; [6 4],[21.90566038 21.09433962] ; [5.09433962 4.90566038],0
d4,1,0.530703,0.393046,[80 33] ; [20  6],[81.29496403 31.70503597] ; [18.70503597  7.29496403],0
s7,1,0.632142,0.229167,[35 73] ; [ 9 15],[36. 72.] ; [ 8. 16.],0
p12,1,0.642929,0.214931,[  7 106] ; [ 1 25],[  6.50359712 106.49640288] ; [ 1.49640288 24.50359712],0
u1,1,0.669617,0.182051,[ 14 100] ; [ 4 22],[14.65714286 99.34285714] ; [ 3.34285714 22.65714286],0
b4,1,0.706596,0.1417,[66 48] ; [14 12],[65.14285714 48.85714286] ; [14.85714286 11.14285714],0
d3,1,0.793871,0.068271,[62 51] ; [15 11],[62.5971223 50.4028777] ; [14.4028777 11.5971223],0
n6,1,0.807611,0.059297,[71 42] ; [17  9],[71.53956835 41.46043165] ; [16.46043165  9.53956835],0
u2,1,0.810445,0.057529,[22 21] ; [5 4],[22.32692308 20.67307692] ; [4.67307692 4.32692308],0
s4,1,0.854526,0.033616,[20 93] ; [ 5 21],[20.32374101 92.67625899] ; [ 4.67625899 21.32374101],0
a3,1,0.859918,0.031145,[71 41] ; [16 10],[70.60869565 41.39130435] ; [16.39130435  9.60869565],0
n1,1,0.869447,0.027015,[24 28] ; [3 4],[23.79661017 28.20338983] ; [3.20338983 3.79661017],0
s1,1,0.881953,0.02205,[ 10 102] ; [ 2 23],[  9.81021898 102.18978102] ; [ 2.18978102 22.81021898],0
a2,1,0.913467,0.011808,[23 91] ; [ 5 21],[22.8 91.2] ; [ 5.2 20.8],0
v3,1,0.955931,0.003054,[33 72] ; [ 8 17],[33.11538462 71.88461538] ; [ 7.88461538 17.11538462],0
r1,1,0.96916,0.001495,[70 43] ; [16 10],[69.91366906 43.08633094] ; [16.08633094  9.91366906],0
b5,1,0.984951,0.000356,[66 48] ; [15 11],[65.95714286 48.04285714] ; [15.04285714 10.95714286],0
