Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.012369,6.257142,[ 8 70] ; [ 7 15],[11.7 66.3] ; [ 3.3 18.7],0
d5,1,0.02243,5.212138,[47 31] ; [19  3],[51.48 26.52] ; [14.52  7.48],0
r2,1,0.031632,4.618348,[37 35] ; [17  5],[41.36170213 30.63829787] ; [12.63829787  9.36170213],0
v2,1,0.035413,4.425143,[24 51] ; [12  9],[28.125 46.875] ; [ 7.875 13.125],0
s7,1,0.042794,4.103536,[16 56] ; [ 9 11],[19.56521739 52.43478261] ; [ 5.43478261 14.56521739],0
a2,1,0.046532,3.962228,[ 6 72] ; [ 5 17],[ 8.58 69.42] ; [ 2.42 19.58],0
v4,1,0.074713,3.176323,[39 37] ; [16  6],[42.65306122 33.34693878] ; [12.34693878  9.65306122],0
s6,1,0.121382,2.399395,[25 53] ; [11 11],[28.08 49.92] ; [ 7.92 14.08],0
u3,1,0.137409,2.20674,[ 7 26] ; [3 3],[ 8.46153846 24.53846154] ; [1.53846154 4.46153846],0
p6,1,0.14426,2.131922,[ 8 67] ; [ 5 17],[10.05154639 64.94845361] ; [ 2.94845361 19.05154639],0
n1,1,0.195355,1.676768,[ 9 25] ; [6 7],[10.85106383 23.14893617] ; [4.14893617 8.85106383],0
d3,1,0.197082,1.663866,[37 40] ; [14  8],[39.66666667 37.33333333] ; [11.33333333 10.66666667],0
s5,1,0.201963,1.628123,[16 60] ; [ 2 20],[13.95918367 62.04081633] ; [ 4.04081633 17.95918367],0
d4,1,0.206079,1.598758,[52 26] ; [17  4],[54.36363636 23.63636364] ; [14.63636364  6.36363636],0
u2,1,0.210447,1.568349,[10 22] ; [3 2],[11.24324324 20.75675676] ; [1.75675676 3.24324324],0
d1,1,0.215523,1.533935,[31 47] ; [12 10],[33.54 44.46] ; [ 9.46 12.54],0
a3,1,0.249446,1.326402,[45 31] ; [16  6],[47.30612245 28.69387755] ; [13.69387755  8.30612245],0
n4,1,0.284619,1.144901,[47 31] ; [16  6],[49.14 28.86] ; [13.86  8.14],0
v1,1,0.294894,1.097143,[23 52] ; [ 9 12],[25. 50.] ; [ 7. 14.],0
p9,1,0.309945,1.03091,[38 36] ; [14  8],[40.08333333 33.91666667] ; [11.91666667 10.08333333],0
a1,1,0.312354,1.020696,[ 8 70] ; [ 4 18],[ 9.36 68.64] ; [ 2.64 19.36],0
s1,1,0.318829,0.993743,[ 3 75] ; [ 2 20],[ 3.9 74.1] ; [ 1.1 20.9],0
d2,1,0.319767,0.989899,[31 46] ; [11 10],[33. 44.] ; [ 9. 12.],0
a6,1,0.33424,0.932401,[37 41] ; [13  9],[39. 39.] ; [11. 11.],0
n6,1,0.36078,0.835178,[40 36] ; [14  8],[41.87755102 34.12244898] ; [12.12244898  9.87755102],0
p11,1,0.389334,0.741021,[31 47] ; [11 11],[32.76 45.24] ; [ 9.24 12.76],0
p1,1,0.389569,0.740285,[ 6 72] ; [ 3 19],[ 7.02 70.98] ; [ 1.98 20.02],0
a4,1,0.439369,0.597929,[28 49] ; [10 12],[29.55555556 47.44444444] ; [ 8.44444444 13.55555556],0
b5,1,0.450982,0.568182,[39 39] ; [13  9],[40.56 37.44] ; [11.44 10.56],0
s4,1,0.452432,0.564552,[12 66] ; [ 2 20],[10.92 67.08] ; [ 3.08 18.92],0
p4,1,0.469372,0.523453,[20 58] ; [ 4 18],[18.72 59.28] ; [ 5.28 16.72],0
r1,1,0.537953,0.379346,[23 55] ; [ 8 14],[24.18 53.82] ; [ 6.82 15.18],0
n3,1,0.538869,0.37764,[17 16] ; [8 5],[17.93478261 15.06521739] ; [7.06521739 5.93478261],0
a7,1,0.54026,0.375057,[35 43] ; [11 10],[36.24242424 41.75757576] ; [ 9.75757576 11.24242424],0
n5,1,0.541378,0.372992,[47 30] ; [15  7],[48.22222222 28.77777778] ; [13.77777778  8.22222222],0
r3,1,0.562084,0.336109,[38 38] ; [12  9],[39.17525773 36.82474227] ; [10.82474227 10.17525773],0
s2,1,0.564363,0.332206,[20 58] ; [ 7 15],[21.06 56.94] ; [ 5.94 16.06],0
b1,1,0.593507,0.2849,[44 34] ; [11 11],[42.9 35.1] ; [12.1  9.9],0
s3,1,0.644654,0.212706,[27 49] ; [ 9 13],[27.91836735 48.08163265] ; [ 8.08163265 13.91836735],0
b2,1,0.661286,0.191965,[18 31] ; [4 5],[18.5862069 30.4137931] ; [3.4137931 5.5862069],0
b3,1,0.661286,0.191965,[18 31] ; [4 5],[18.5862069 30.4137931] ; [3.4137931 5.5862069],0
p3,1,0.662613,0.190365,[15 62] ; [ 5 16],[15.71428571 61.28571429] ; [ 4.28571429 16.71428571],0
b4,1,0.693427,0.1554,[46 32] ; [14  8],[46.8 31.2] ; [13.2  8.8],0
p7,1,0.773504,0.082826,[21 57] ; [ 5 16],[20.48484848 57.51515152] ; [ 5.51515152 15.48484848],0
n2,1,0.813473,0.055672,[17 17] ; [7 6],[17.36170213 16.63829787] ; [6.63829787 6.36170213],0
p10,1,0.914224,0.011602,[36 41] ; [10 12],[35.77777778 41.22222222] ; [10.22222222 11.77777778],0
p2,1,0.943819,0.004966,[41 36] ; [11 10],[40.85714286 36.14285714] ; [11.14285714  9.85714286],0
a5,1,0.953651,0.003378,[42 36] ; [12 10],[42.12 35.88] ; [11.88 10.12],0
