Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.2e-05,16.781984,[17  2] ; [26 45],[9.07777778 9.92222222] ; [33.92222222 37.07777778],1
s7,1,0.001308,10.330829,[10  7] ; [13 53],[ 4.71084337 12.28915663] ; [18.28915663 47.71084337],0
p3,1,0.002774,8.950325,[11  7] ; [17 53],[ 5.72727273 12.27272727] ; [22.27272727 47.72727273],0
s8,1,0.002814,8.924071,[11  8] ; [16 55],[ 5.7 13.3] ; [21.3 49.7],0
s3,1,0.006279,7.46851,[15  4] ; [31 40],[9.71111111 9.28888889] ; [36.28888889 34.71111111],0
s2,1,0.006451,7.419707,[13  6] ; [24 47],[ 7.81111111 11.18888889] ; [29.18888889 41.81111111],0
p10,1,0.010884,6.484211,[15  3] ; [35 35],[10.22727273  7.77272727] ; [39.77272727 30.22727273],0
d1,1,0.01297,6.1732,[13  6] ; [26 45],[ 8.23333333 10.76666667] ; [30.76666667 40.23333333],0
s4,1,0.0144,5.988445,[ 7 12] ; [ 9 62],[ 3.37777778 15.62222222] ; [12.62222222 58.37777778],0
n5,1,0.019359,5.46877,[ 1 18] ; [22 47],[ 4.96590909 14.03409091] ; [18.03409091 50.96590909],0
p9,1,0.040652,4.190476,[15  3] ; [40 30],[11.25  6.75] ; [43.75 26.25],0
p6,1,0.055139,3.677885,[ 7 10] ; [13 55],[ 4. 13.] ; [16. 52.],0
b5,1,0.064573,3.415864,[ 7 12] ; [43 28],[10.55555556  8.44444444] ; [39.44444444 31.55555556],0
b2,1,0.065154,3.401081,[6 6] ; [ 9 31],[3.46153846 8.53846154] ; [11.53846154 28.46153846],0
b3,1,0.065154,3.401081,[6 6] ; [ 9 31],[3.46153846 8.53846154] ; [11.53846154 28.46153846],0
d5,1,0.084407,2.977936,[16  3] ; [45 26],[12.87777778  6.12222222] ; [48.12222222 22.87777778],0
n3,1,0.089,2.892361,[5 5] ; [19  5],[7.05882353 2.94117647] ; [16.94117647  7.05882353],0
