Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.020921,5.333333,[5 1] ; [1 5],[3. 3.] ; [3. 3.],0
r1,1,0.029178,4.757056,[24  3] ; [7 5],[21.46153846  5.53846154] ; [9.53846154 2.46153846],0
s3,1,0.039229,4.250906,[13 14] ; [10  2],[15.92307692 11.07692308] ; [7.07692308 4.92307692],0
v2,1,0.060082,3.535125,[17 11] ; [3 8],[14.35897436 13.64102564] ; [5.64102564 5.35897436],0
p5,1,0.065986,3.380141,[10 17] ; [ 1 11],[ 7.61538462 19.38461538] ; [3.38461538 8.61538462],0
s2,1,0.074791,3.174603,[15 13] ; [10  2],[17.5 10.5] ; [7.5 4.5],0
p3,1,0.096012,2.770563,[15 13] ; [3 9],[12.6 15.4] ; [5.4 6.6],0
r4,1,0.117601,2.44898,[26  2] ; [9 3],[24.5  3.5] ; [10.5  1.5],0
v3,1,0.118574,2.436052,[14 13] ; [3 9],[11.76923077 15.23076923] ; [5.23076923 6.76923077],0
b1,1,0.142724,2.148338,[14 14] ; [3 9],[11.9 16.1] ; [5.1 6.9],0
a5,1,0.184797,1.758616,[18 10] ; [5 7],[16.1 11.9] ; [6.9 5.1],0
a7,1,0.192884,1.695447,[20  8] ; [6 6],[18.2  9.8] ; [7.8 4.2],0
b4,1,0.204894,1.607143,[15 13] ; [9 3],[16.8 11.2] ; [7.2 4.8],0
a6,1,0.267142,1.231361,[17 11] ; [5 7],[15.4 12.6] ; [6.6 5.4],0
u2,1,0.310596,1.028139,[4 8] ; [4 3],[5.05263158 6.94736842] ; [2.94736842 4.05263158],0
p6,1,0.331569,0.942761,[14 14] ; [4 8],[12.6 15.4] ; [5.4 6.6],0
r3,1,0.357527,0.846561,[26  2] ; [10  2],[25.2  2.8] ; [10.8  1.2],0
n6,1,0.357527,0.846561,[26  2] ; [10  2],[25.2  2.8] ; [10.8  1.2],0
p12,1,0.357527,0.846561,[ 2 26] ; [ 2 10],[ 2.8 25.2] ; [ 1.2 10.8],0
a3,1,0.369074,0.806779,[16 12] ; [5 7],[14.7 13.3] ; [6.3 5.7],0
v1,1,0.38536,0.753532,[11 17] ; [3 9],[ 9.8 18.2] ; [4.2 7.8],0
p7,1,0.392176,0.732184,[19  8] ; [10  2],[20.07692308  6.92307692] ; [8.92307692 3.07692308],0
d3,1,0.425556,0.634921,[ 8 20] ; [ 2 10],[ 7. 21.] ; [3. 9.],0
a4,1,0.425556,0.634921,[ 6 22] ; [4 8],[ 7. 21.] ; [3. 9.],0
n5,1,0.439506,0.597572,[23  5] ; [11  1],[23.8  4.2] ; [10.2  1.8],0
b5,1,0.442631,0.589453,[13 15] ; [4 8],[11.9 16.1] ; [5.1 6.9],0
p4,1,0.529895,0.394593,[17 11] ; [6 6],[16.1 11.9] ; [6.9 5.1],0
p8,1,0.616573,0.250714,[18  9] ; [7 5],[17.30769231  9.69230769] ; [7.69230769 4.30769231],0
p2,1,0.643615,0.214046,[22  5] ; [9 3],[21.46153846  5.53846154] ; [9.53846154 2.46153846],0
n4,1,0.643615,0.214046,[22  5] ; [9 3],[21.46153846  5.53846154] ; [9.53846154 2.46153846],0
p1,1,0.691694,0.157258,[ 6 21] ; [ 2 10],[ 5.53846154 21.46153846] ; [2.46153846 9.53846154],0
u3,1,0.763573,0.090476,[6 6] ; [4 3],[6.31578947 5.68421053] ; [3.68421053 3.31578947],0
d5,1,0.78146,0.07696,[13 15] ; [5 7],[12.6 15.4] ; [5.4 6.6],0
s1,1,0.791857,0.069643,[ 3 24] ; [ 1 11],[ 2.76923077 24.23076923] ; [ 1.23076923 10.76923077],0
p11,1,0.804228,0.061444,[22  6] ; [9 3],[21.7  6.3] ; [9.3 2.7],0
d2,1,0.81668,0.053739,[ 8 20] ; [3 9],[ 7.7 20.3] ; [3.3 8.7],0
p10,1,0.849679,0.035921,[21  5] ; [10  2],[21.21052632  4.78947368] ; [9.78947368 2.21052632],0
s7,1,0.886436,0.020396,[18  6] ; [8 3],[17.82857143  6.17142857] ; [8.17142857 2.82857143],0
p9,1,0.889381,0.019345,[22  5] ; [10  2],[22.15384615  4.84615385] ; [9.84615385 2.15384615],0
u1,1,0.895778,0.01716,[ 2 26] ; [ 1 11],[ 2.1 25.9] ; [ 0.9 11.1],0
s8,1,0.914958,0.011404,[14 13] ; [6 6],[13.84615385 13.15384615] ; [6.15384615 5.84615385],0
n3,1,1.0,0.0,[5 1] ; [5 1],[5. 1.] ; [5. 1.],0
