Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,6.9e-05,15.844142,[20 13] ; [ 6 33],[11.91666667 21.08333333] ; [14.08333333 24.91666667],1
v1,1,0.002497,9.142991,[24  9] ; [14 24],[17.66197183 15.33802817] ; [20.33802817 17.66197183],0
p8,1,0.006693,7.35362,[27  6] ; [20 19],[21.54166667 11.45833333] ; [25.45833333 13.54166667],0
r1,1,0.020261,5.389277,[29  4] ; [25 14],[24.75  8.25] ; [29.25  9.75],0
s3,1,0.023064,5.163692,[28  5] ; [23 15],[23.70422535  9.29577465] ; [27.29577465 10.70422535],0
r4,1,0.026329,4.934266,[31  2] ; [29 10],[27.5  5.5] ; [32.5  6.5],0
a5,1,0.026764,4.905984,[26  7] ; [21 18],[21.54166667 11.45833333] ; [25.45833333 13.54166667],0
r3,1,0.044752,4.027972,[32  1] ; [32  7],[29.33333333  3.66666667] ; [34.66666667  4.33333333],0
s4,1,0.057905,3.596404,[ 4 29] ; [12 27],[ 7.33333333 25.66666667] ; [ 8.66666667 30.33333333],0
a6,1,0.080929,3.046154,[22 11] ; [18 21],[18.33333333 14.66666667] ; [21.66666667 17.33333333],0
n5,1,0.11259,2.517483,[30  3] ; [30  9],[27.5  5.5] ; [32.5  6.5],0
s5,1,0.122005,2.391396,[15 17] ; [11 27],[11.88571429 20.11428571] ; [14.11428571 23.88571429],0
a7,1,0.132264,2.265734,[25  8] ; [23 16],[22. 11.] ; [26. 13.],0
s8,1,0.169231,1.889747,[23 10] ; [21 18],[20.16666667 12.83333333] ; [23.83333333 15.16666667],0
s6,1,0.219064,1.51049,[27  6] ; [27 12],[24.75  8.25] ; [29.25  9.75],0
u1,1,0.228327,1.451255,[ 3 30] ; [ 1 38],[ 1.83333333 31.16666667] ; [ 2.16666667 36.83333333],0
v4,1,0.242577,1.365557,[31  1] ; [35  4],[29.74647887  2.25352113] ; [36.25352113  2.74647887],0
p3,1,0.252221,1.310961,[18 15] ; [16 23],[15.58333333 17.41666667] ; [18.41666667 20.58333333],0
d3,1,0.266715,1.233566,[17 16] ; [15 24],[14.66666667 18.33333333] ; [17.33333333 21.66666667],0
p7,1,0.278378,1.174991,[24  9] ; [23 15],[21.84507042 11.15492958] ; [25.15492958 12.84507042],0
p2,1,0.278855,1.17266,[30  3] ; [32  7],[28.41666667  4.58333333] ; [33.58333333  5.41666667],0
p6,1,0.309121,1.034428,[17 16] ; [15 23],[14.87323944 18.12676056] ; [17.12676056 20.87323944],0
p10,1,0.397195,0.7168,[28  5] ; [30  9],[26.58333333  6.41666667] ; [31.41666667  7.58333333],0
b4,1,0.453162,0.562731,[19 14] ; [19 20],[17.41666667 15.58333333] ; [20.58333333 18.41666667],0
n3,1,0.45675,0.553846,[4 1] ; [8 5],[3.33333333 1.66666667] ; [8.66666667 4.33333333],0
n6,1,0.464349,0.535391,[29  4] ; [31  7],[27.88732394  5.11267606] ; [32.11267606  5.88732394],0
s2,1,0.46875,0.524922,[23 10] ; [24 15],[21.54166667 11.45833333] ; [25.45833333 13.54166667],0
d2,1,0.488197,0.480497,[10 23] ; [ 9 30],[ 8.70833333 24.29166667] ; [10.29166667 28.70833333],0
b2,1,0.491407,0.473443,[11 15] ; [11 10],[12.17021277 13.82978723] ; [ 9.82978723 11.17021277],0
b3,1,0.491407,0.473443,[11 15] ; [11 10],[12.17021277 13.82978723] ; [ 9.82978723 11.17021277],0
p11,1,0.49474,0.4662,[26  7] ; [28 11],[24.75  8.25] ; [29.25  9.75],0
d1,1,0.509857,0.43436,[ 3 30] ; [ 2 37],[ 2.29166667 30.70833333] ; [ 2.70833333 36.29166667],0
u2,1,0.521245,0.411429,[7 3] ; [8 6],[6.25 3.75] ; [8.75 5.25],0
b5,1,0.548706,0.35964,[18 15] ; [24 15],[19.25 13.75] ; [22.75 16.25],0
n1,1,0.598725,0.276923,[3 2] ; [6 7],[2.5 2.5] ; [6.5 6.5],0
a3,1,0.615847,0.251748,[23 10] ; [25 14],[22. 11.] ; [26. 13.],0
a2,1,0.615847,0.251748,[ 3 30] ; [ 5 34],[ 3.66666667 29.33333333] ; [ 4.33333333 34.66666667],0
n4,1,0.659281,0.194398,[26  7] ; [29 10],[25.20833333  7.79166667] ; [29.79166667  9.20833333],0
p5,1,0.713883,0.13443,[ 5 28] ; [ 7 31],[ 5.57746479 27.42253521] ; [ 6.42253521 31.57746479],0
a8,1,0.727289,0.121615,[ 5 26] ; [ 5 33],[ 4.49275362 26.50724638] ; [ 5.50724638 32.49275362],0
a4,1,0.803352,0.062007,[ 6 27] ; [ 8 31],[ 6.41666667 26.58333333] ; [ 7.58333333 31.41666667],0
p12,1,0.856577,0.032665,[ 3 30] ; [ 3 35],[ 2.78873239 30.21126761] ; [ 3.21126761 34.78873239],0
d4,1,0.873932,0.025175,[18 15] ; [22 17],[18.33333333 14.66666667] ; [21.66666667 17.33333333],0
b1,1,0.873932,0.025175,[15 18] ; [17 22],[14.66666667 18.33333333] ; [17.33333333 21.66666667],0
p4,1,0.920728,0.009904,[19 14] ; [22 17],[18.79166667 14.20833333] ; [22.20833333 16.79166667],0
u3,1,0.939491,0.005762,[7 3] ; [10  4],[7.08333333 2.91666667] ; [9.91666667 4.08333333],0
p1,1,0.941965,0.0053,[ 7 26] ; [ 8 31],[ 6.875 26.125] ; [ 8.125 30.875],0
p9,1,0.978146,0.00075,[28  5] ; [33  6],[27.95833333  5.04166667] ; [33.04166667  5.95833333],0
