Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,36.131795,[28 48] ; [243  90],[50.35696822 25.64303178] ; [220.64303178 112.35696822],1
s5,1,0.0,35.53033,[10 65] ; [168 160],[33.12655087 41.87344913] ; [144.87344913 183.12655087],1
s6,1,0.0,29.909949,[49 27] ; [303  36],[64.4626506 11.5373494] ; [287.5373494  51.4626506],1
s8,1,4e-06,21.19069,[30 48] ; [229 115],[47.87203791 30.12796209] ; [211.12796209 132.87203791],1
p4,1,0.000294,13.111237,[35 42] ; [232 112],[48.83372922 28.16627078] ; [218.16627078 125.83372922],1
v4,1,0.001735,9.811047,[69  8] ; [335   9],[73.89073634  3.10926366] ; [330.10926366  13.89073634],0
p12,1,0.005469,7.71734,[ 2 75] ; [ 48 297],[ 9.12322275 67.87677725] ; [ 40.87677725 304.12322275],0
p9,1,0.006419,7.428634,[68 10] ; [330  16],[73.21698113  4.78301887] ; [324.78301887  21.21698113],0
v1,1,0.010728,6.509829,[32 43] ; [196 137],[41.91176471 33.08823529] ; [186.08823529 146.91176471],0
d4,1,0.012174,6.285419,[59 19] ; [299  45],[66.17061611 11.82938389] ; [291.82938389  52.17061611],0
a5,1,0.019313,5.472917,[50 28] ; [266  80],[58.13207547 19.86792453] ; [257.86792453  88.13207547],0
a3,1,0.019334,5.47104,[51 27] ; [269  76],[59.0070922 18.9929078] ; [260.9929078  84.0070922],0
d1,1,0.020844,5.339775,[41 37] ; [230 116],[49.85377358 28.14622642] ; [221.14622642 124.85377358],0
d5,1,0.027983,4.829098,[57 21] ; [288  56],[63.76777251 14.23222749] ; [281.23222749  62.76777251],0
u1,1,0.031409,4.630487,[ 8 70] ; [ 72 274],[14.71698113 63.28301887] ; [ 65.28301887 280.71698113],0
s4,1,0.03247,4.573534,[10 68] ; [ 82 261],[17.04513064 60.95486936] ; [ 74.95486936 268.04513064],0
p6,1,0.03426,4.481693,[23 54] ; [147 195],[31.24105012 45.75894988] ; [138.75894988 203.24105012],0
r1,1,0.05839,3.582535,[58 19] ; [291  54],[63.68009479 13.31990521] ; [285.31990521  59.68009479],0
a4,1,0.058903,3.568011,[28 50] ; [165 181],[35.50471698 42.49528302] ; [157.49528302 188.50471698],0
a2,1,0.074555,3.17977,[14 64] ; [ 96 250],[20.23584906 57.76415094] ; [ 89.76415094 256.23584906],0
v3,1,0.091599,2.84604,[26 52] ; [145 186],[32.61124694 45.38875306] ; [138.38875306 192.61124694],0
u3,1,0.103117,2.656655,[14 13] ; [52 23],[17.47058824  9.52941176] ; [48.52941176 26.47058824],0
d2,1,0.109256,2.564956,[34 44] ; [185 160],[40.38297872 37.61702128] ; [178.61702128 166.38297872],0
a6,1,0.109499,2.561433,[59 19] ; [228 116],[53.04739336 24.95260664] ; [233.95260664 110.04739336],0
a7,1,0.128336,2.312516,[51 27] ; [255  90],[56.42553191 21.57446809] ; [249.57446809  95.42553191],0
u2,1,0.149705,2.075255,[13 14] ; [48 27],[16.14705882 10.85294118] ; [44.85294118 30.14705882],0
n6,1,0.183902,1.765805,[64 14] ; [300  42],[67.6 10.4] ; [296.4  45.6],0
p7,1,0.19885,1.6508,[47 28] ; [234  99],[51.65441176 23.34558824] ; [229.34558824 103.65441176],0
b4,1,0.201793,1.629352,[51 27] ; [199 147],[45.99056604 32.00943396] ; [204.00943396 141.99056604],0
a8,1,0.244834,1.352542,[ 8 68] ; [ 51 272],[11.23809524 64.76190476] ; [ 47.76190476 275.23809524],0
a1,1,0.247316,1.3384,[ 2 76] ; [ 20 326],[ 4.04716981 73.95283019] ; [ 17.95283019 328.04716981],0
r4,1,0.2687,1.223373,[70  8] ; [323  23],[72.29716981  5.70283019] ; [320.70283019  25.29716981],0
v2,1,0.310429,1.028848,[39 35] ; [194 134],[42.89054726 31.10945274] ; [190.10945274 137.89054726],0
d3,1,0.332239,0.940149,[52 26] ; [249  96],[55.5035461 22.4964539] ; [245.4964539  99.5035461],0
p1,1,0.338899,0.914593,[ 5 73] ; [ 34 310],[ 7.20853081 70.79146919] ; [ 31.79146919 312.20853081],0
u4,1,0.3614,0.833022,[ 1 77] ; [ 11 335],[ 2.20754717 75.79245283] ; [  9.79245283 336.20754717],0
p3,1,0.376464,0.782216,[39 39] ; [191 153],[42.51184834 35.48815166] ; [187.48815166 156.51184834],0
p5,1,0.405377,0.69232,[ 8 70] ; [ 47 294],[10.23866348 67.76133652] ; [ 44.76133652 296.23866348],0
n1,1,0.469802,0.522441,[5 9] ; [31 36],[6.22222222 7.77777778] ; [29.77777778 37.22222222],0
b1,1,0.485053,0.48748,[28 50] ; [139 207],[30.72169811 47.27830189] ; [136.27830189 209.72169811],0
r3,1,0.555182,0.348115,[75  3] ; [335   9],[75.78199052  2.21800948] ; [334.21800948   9.78199052],0
b5,1,0.566892,0.327911,[43 35] ; [203 143],[45.25471698 32.74528302] ; [200.74528302 145.25471698],0
p2,1,0.584475,0.299056,[66 12] ; [300  45],[67.4893617 10.5106383] ; [298.5106383  46.4893617],0
n5,1,0.597437,0.278879,[60 17] ; [278  67],[61.67298578 15.32701422] ; [276.32701422  68.67298578],0
p8,1,0.942579,0.005188,[43 35] ; [187 155],[42.71428571 35.28571429] ; [187.28571429 154.71428571],0
p11,1,0.960979,0.002394,[66 12] ; [292  54],[65.85849057 12.14150943] ; [292.14150943  53.85849057],0
n2,1,0.967691,0.001641,[12  2] ; [58 10],[11.95121951  2.04878049] ; [58.04878049  9.95121951],0
n4,1,0.978504,0.000726,[63 15] ; [279  67],[62.91509434 15.08490566] ; [279.08490566  66.91509434],0
r2,1,0.98648,0.000287,[75  2] ; [333   9],[74.97852029  2.02147971] ; [333.02147971   8.97852029],0
n3,1,0.993027,7.6e-05,[10  3] ; [53 16],[9.98780488 3.01219512] ; [53.01219512 15.98780488],0
b2,1,0.994998,3.9e-05,[18 29] ; [ 83 134],[17.98106061 29.01893939] ; [ 83.01893939 133.98106061],0
b3,1,0.994998,3.9e-05,[18 29] ; [ 83 134],[17.98106061 29.01893939] ; [ 83.01893939 133.98106061],0
