Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,62.397213,[ 2 49] ; [125  64],[26.9875 24.0125] ; [100.0125  88.9875],1
d3,1,0.0,58.016262,[ 9 40] ; [145  44],[31.70588235 17.29411765] ; [122.29411765  66.70588235],1
d5,1,0.0,49.244098,[18 32] ; [160  29],[37.23849372 12.76150628] ; [140.76150628  48.23849372],1
r1,1,4e-06,21.400569,[22 29] ; [145  44],[35.4875 15.5125] ; [131.5125  57.4875],1
a3,1,0.000277,13.217395,[25 26] ; [141  46],[35.57142857 15.42857143] ; [130.42857143  56.57142857],1
d2,1,0.000284,13.170239,[10 41] ; [90 98],[21.33891213 29.66108787] ; [ 78.66108787 109.33891213],1
p1,1,0.000837,11.156336,[10 40] ; [ 10 179],[ 4.18410042 45.81589958] ; [ 15.81589958 173.18410042],1
a5,1,0.00259,9.07563,[25 26] ; [135  54],[34. 17.] ; [126.  63.],0
r4,1,0.006691,7.354214,[35 16] ; [161  28],[41.65  9.35] ; [154.35  34.65],0
u1,1,0.021599,5.277786,[ 1 50] ; [ 25 164],[ 5.525 45.475] ; [ 20.475 168.525],0
u2,1,0.023527,5.12918,[ 8 18] ; [28 20],[12.64864865 13.35135135] ; [23.35135135 24.64864865],0
p10,1,0.027199,4.878156,[38 12] ; [166  22],[42.85714286  7.14285714] ; [161.14285714  26.85714286],0
s8,1,0.038559,4.280192,[ 6 45] ; [ 48 141],[11.475 39.525] ; [ 42.525 146.475],0
s7,1,0.049314,3.86464,[ 6 40] ; [ 49 133],[11.09649123 34.90350877] ; [ 43.90350877 138.09649123],0
b1,1,0.055508,3.66677,[25 26] ; [ 65 124],[19.125 31.875] ; [ 70.875 118.125],0
a6,1,0.063617,3.440492,[28 23] ; [130  59],[33.575 17.425] ; [124.425  64.575],0
r3,1,0.075336,3.162761,[43  7] ; [177  12],[46.0251046  3.9748954] ; [173.9748954  15.0251046],0
u3,1,0.075473,3.159793,[ 9 17] ; [27 21],[12.64864865 13.35135135] ; [23.35135135 24.64864865],0
a4,1,0.092892,2.823529,[16 35] ; [ 84 105],[21.25 29.75] ; [ 78.75 110.25],0
r2,1,0.10333,2.653385,[43  8] ; [171  15],[46.05063291  4.94936709] ; [167.94936709  18.05063291],0
a7,1,0.127986,2.316769,[31 19] ; [138  51],[35.35564854 14.64435146] ; [133.64435146  55.35564854],0
v2,1,0.128754,2.307464,[21 27] ; [102  80],[25.66956522 22.33043478] ; [97.33043478 84.66956522],0
n3,1,0.166932,1.910278,[11  1] ; [29 11],[9.23076923 2.76923077] ; [30.76923077  9.23076923],0
s2,1,0.176511,1.826755,[ 7 44] ; [ 42 146],[10.45606695 40.54393305] ; [ 38.54393305 149.45606695],0
n5,1,0.187479,1.737317,[40 11] ; [129  58],[36.21428571 14.78571429] ; [132.78571429  54.21428571],0
a2,1,0.196713,1.666612,[ 6 45] ; [ 37 152],[ 9.1375 41.8625] ; [ 33.8625 155.1375],0
a8,1,0.198955,1.650031,[ 3 43] ; [ 23 148],[ 5.51152074 40.48847926] ; [ 20.48847926 150.51152074],0
s5,1,0.22021,1.503002,[ 4 47] ; [ 26 155],[ 6.59482759 44.40517241] ; [ 23.40517241 157.59482759],0
v4,1,0.233838,1.417361,[44  6] ; [176  13],[46.0251046  3.9748954] ; [173.9748954  15.0251046],0
n4,1,0.27798,1.176941,[33 18] ; [137  52],[36.125 14.875] ; [133.875  55.125],0
s1,1,0.292072,1.110044,[ 2 48] ; [  3 185],[ 1.05042017 48.94957983] ; [  3.94957983 184.05042017],0
p4,1,0.315144,1.008993,[22 29] ; [95 91],[25.17721519 25.82278481] ; [91.82278481 94.17721519],0
n2,1,0.361094,0.834085,[10  2] ; [28 12],[8.76923077 3.23076923] ; [29.23076923 10.76923077],0
b4,1,0.368511,0.808678,[25 26] ; [106  83],[27.8375 23.1625] ; [103.1625  85.8375],0
p2,1,0.425674,0.634598,[39 11] ; [155  32],[40.92827004  9.07172996] ; [153.07172996  33.92827004],0
p11,1,0.443465,0.587299,[40 11] ; [157  32],[41.8625  9.1375] ; [155.1375  33.8625],0
s4,1,0.475444,0.509295,[ 3 48] ; [ 17 172],[ 4.25 46.75] ; [ 15.75 173.25],0
b5,1,0.480291,0.498203,[33 18] ; [112  77],[30.8125 20.1875] ; [114.1875  74.8125],0
n1,1,0.483756,0.490385,[3 9] ; [14 25],[4. 8.] ; [13. 26.],0
a1,1,0.489599,0.477408,[ 3 48] ; [  7 182],[ 2.125 48.875] ; [  7.875 181.125],0
p3,1,0.564873,0.331337,[24 27] ; [ 80 108],[22.19246862 28.80753138] ; [ 81.80753138 106.19246862],0
n6,1,0.605525,0.266743,[39 12] ; [150  38],[40.33054393 10.66945607] ; [148.66945607  39.33054393],0
p7,1,0.63842,0.220814,[27 22] ; [110  77],[28.44491525 20.55508475] ; [108.55508475  78.44491525],0
p12,1,0.640148,0.218549,[ 2 49] ; [  5 182],[ 1.5 49.5] ; [  5.5 181.5],0
v3,1,0.708819,0.139459,[17 33] ; [ 66 113],[18.12227074 31.87772926] ; [ 64.87772926 114.12227074],0
p5,1,0.717452,0.130947,[ 3 47] ; [ 14 173],[ 3.58649789 46.41350211] ; [ 13.41350211 173.58649789],0
b3,1,0.722722,0.1259,[11 17] ; [49 65],[11.83098592 16.16901408] ; [48.16901408 65.83098592],0
b2,1,0.722722,0.1259,[11 17] ; [49 65],[11.83098592 16.16901408] ; [48.16901408 65.83098592],0
p6,1,0.792619,0.069122,[15 35] ; [ 52 133],[14.25531915 35.74468085] ; [ 52.74468085 132.25531915],0
s3,1,0.916437,0.011009,[13 37] ; [ 50 137],[13.29113924 36.70886076] ; [ 49.70886076 137.29113924],0
v1,1,0.922666,0.009424,[24 27] ; [88 96],[24.30638298 26.69361702] ; [87.69361702 96.30638298],0
p8,1,0.925231,0.008807,[25 24] ; [94 93],[24.70762712 24.29237288] ; [94.29237288 92.70762712],0
