Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.607166,[36  9] ; [ 7 22],[26.14864865 18.85135135] ; [16.85135135 12.14864865],1
r3,1,0.000325,12.921243,[38  7] ; [13 16],[31.01351351 13.98648649] ; [19.98648649  9.01351351],1
v3,1,0.00168,9.869627,[17 25] ; [ 2 27],[11.23943662 30.76056338] ; [ 7.76056338 21.23943662],0
r2,1,0.005466,7.71846,[39  5] ; [17 11],[34.22222222  9.77777778] ; [21.77777778  6.22222222],0
v4,1,0.007988,7.036111,[36  7] ; [16 13],[31.05555556 11.94444444] ; [20.94444444  8.05555556],0
v1,1,0.038924,4.264186,[18 27] ; [ 5 24],[13.98648649 31.01351351] ; [ 9.01351351 19.98648649],0
a4,1,0.040844,4.182487,[18 26] ; [ 5 23],[14.05555556 29.94444444] ; [ 8.94444444 19.05555556],0
a6,1,0.04801,3.90965,[13 32] ; [15 14],[17.02702703 27.97297297] ; [10.97297297 18.02702703],0
a5,1,0.050321,3.830736,[26 19] ; [10 19],[21.89189189 23.10810811] ; [14.10810811 14.89189189],0
a3,1,0.05958,3.549028,[24 21] ; [ 9 20],[20.06756757 24.93243243] ; [12.93243243 16.06756757],0
s8,1,0.079846,3.068036,[12 32] ; [ 3 26],[ 9.04109589 34.95890411] ; [ 5.95890411 23.04109589],0
s1,1,0.095365,2.781398,[ 7 37] ; [ 1 28],[ 4.82191781 39.17808219] ; [ 3.17808219 25.82191781],0
p11,1,0.112182,2.523205,[24 21] ; [10 19],[20.67567568 24.32432432] ; [13.32432432 15.67567568],0
p10,1,0.119642,2.422007,[11 33] ; [ 3 26],[ 8.43835616 35.56164384] ; [ 5.56164384 23.43835616],0
a1,1,0.131434,2.27549,[ 1 44] ; [ 3 26],[ 2.43243243 42.56756757] ; [ 1.56756757 27.43243243],0
s4,1,0.138506,2.194483,[ 6 38] ; [ 8 21],[ 8.43835616 35.56164384] ; [ 5.56164384 23.43835616],0
u3,1,0.145946,2.114122,[11 10] ; [ 6 14],[ 8.70731707 12.29268293] ; [ 8.29268293 11.70731707],0
p2,1,0.160074,1.973526,[23 22] ; [10 19],[20.06756757 24.93243243] ; [12.93243243 16.06756757],0
s7,1,0.227748,1.454871,[13 28] ; [ 5 22],[10.85294118 30.14705882] ; [ 7.14705882 19.85294118],0
d5,1,0.237136,1.397542,[28 17] ; [14 15],[25.54054054 19.45945946] ; [16.45945946 12.54054054],0
v2,1,0.243332,1.361186,[16 27] ; [ 7 22],[13.73611111 29.26388889] ; [ 9.26388889 19.73611111],0
n4,1,0.276592,1.183759,[29 16] ; [15 14],[26.75675676 18.24324324] ; [17.24324324 11.75675676],0
d1,1,0.300215,1.073237,[16 29] ; [ 7 22],[13.98648649 31.01351351] ; [ 9.01351351 19.98648649],0
b1,1,0.321931,0.981084,[27 18] ; [14 15],[24.93243243 20.06756757] ; [16.06756757 12.93243243],0
u2,1,0.342178,0.902256,[11  9] ; [ 8 12],[ 9.5 10.5] ; [ 9.5 10.5],0
d4,1,0.36361,0.825385,[26 18] ; [14 15],[24.10958904 19.89041096] ; [15.89041096 13.10958904],0
p8,1,0.396922,0.71763,[10 35] ; [ 9 20],[11.55405405 33.44594595] ; [ 7.44594595 21.55405405],0
s3,1,0.422766,0.642612,[22 23] ; [11 17],[20.34246575 24.65753425] ; [12.65753425 15.34246575],0
n2,1,0.456057,0.555556,[10  5] ; [8 7],[9. 6.] ; [9. 6.],0
b4,1,0.482984,0.492118,[27 18] ; [15 14],[25.54054054 19.45945946] ; [16.45945946 12.54054054],0
n6,1,0.482984,0.492118,[27 18] ; [15 14],[25.54054054 19.45945946] ; [16.45945946 12.54054054],0
s2,1,0.506882,0.440499,[17 27] ; [ 9 20],[15.67123288 28.32876712] ; [10.32876712 18.67123288],0
p6,1,0.507073,0.440102,[ 9 35] ; [ 4 24],[ 7.94444444 36.05555556] ; [ 5.05555556 22.94444444],0
d3,1,0.553061,0.351862,[17 28] ; [ 9 20],[15.81081081 29.18918919] ; [10.18918919 18.81081081],0
p7,1,0.665112,0.187374,[22 22] ; [13 16],[21.09589041 22.90410959] ; [13.90410959 15.09589041],0
s5,1,0.669843,0.181786,[11 33] ; [ 6 23],[10.24657534 33.75342466] ; [ 6.75342466 22.24657534],0
p4,1,0.699795,0.148685,[14 30] ; [ 8 21],[13.26027397 30.73972603] ; [ 8.73972603 20.26027397],0
n3,1,0.704738,0.14359,[7 6] ; [7 8],[6.5 6.5] ; [7.5 7.5],0
