Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,22.717893,[ 2 20] ; [19  5],[10.04347826 11.95652174] ; [10.95652174 13.04347826],1
p11,1,0.001208,10.478306,[ 6 16] ; [18  6],[11.47826087 10.52173913] ; [12.52173913 11.47826087],0
r3,1,0.003925,8.31802,[ 9 13] ; [19  4],[13.68888889  8.31111111] ; [14.31111111  8.68888889],0
s8,1,0.027755,4.843252,[ 1 21] ; [ 7 17],[ 3.82608696 18.17391304] ; [ 4.17391304 19.82608696],0
r4,1,0.027755,4.843252,[ 1 21] ; [ 7 17],[ 3.82608696 18.17391304] ; [ 4.17391304 19.82608696],0
p2,1,0.040844,4.182488,[ 9 13] ; [17  7],[12.43478261  9.56521739] ; [13.56521739 10.43478261],0
p4,1,0.055587,3.664392,[ 5 17] ; [12 12],[ 8.13043478 13.86956522] ; [ 8.86956522 15.13043478],0
a5,1,0.06424,3.42439,[ 6 16] ; [13 11],[ 9.08695652 12.91304348] ; [ 9.91304348 14.08695652],0
n5,1,0.080766,3.049412,[10 12] ; [17  7],[12.91304348  9.08695652] ; [14.08695652  9.91304348],0
s4,1,0.12713,2.327199,[ 4 18] ; [ 1 23],[ 2.39130435 19.60869565] ; [ 2.60869565 21.39130435],0
v3,1,0.155022,2.022129,[ 2 20] ; [ 6 18],[ 3.82608696 18.17391304] ; [ 4.17391304 19.82608696],0
p7,1,0.171066,1.873574,[ 5 17] ; [10 14],[ 7.17391304 14.82608696] ; [ 7.82608696 16.17391304],0
n6,1,0.180503,1.793478,[11 11] ; [16  7],[13.2  8.8] ; [13.8  9.2],0
d3,1,0.225932,1.466291,[ 8 14] ; [13 11],[10.04347826 11.95652174] ; [10.95652174 13.04347826],0
d4,1,0.250234,1.321994,[13  9] ; [18  6],[14.82608696  7.17391304] ; [16.17391304  7.82608696],0
s5,1,0.268046,1.226718,[ 2 20] ; [ 5 19],[ 3.34782609 18.65217391] ; [ 3.65217391 20.34782609],0
v1,1,0.276718,1.183137,[ 5 17] ; [ 9 15],[ 6.69565217 15.30434783] ; [ 7.30434783 16.69565217],0
a3,1,0.300146,1.073546,[ 9 12] ; [14 10],[10.73333333 10.26666667] ; [12.26666667 11.73333333],0
u2,1,0.305319,1.050816,[5 8] ; [6 4],[6.2173913 6.7826087] ; [4.7826087 5.2173913],0
s6,1,0.330592,0.946579,[ 7 15] ; [11 13],[ 8.60869565 13.39130435] ; [ 9.39130435 14.60869565],0
s7,1,0.333002,0.93719,[ 3 17] ; [ 6 16],[ 4.28571429 15.71428571] ; [ 4.71428571 17.28571429],0
p5,1,0.338851,0.914773,[ 1 21] ; [ 3 21],[ 1.91304348 20.08695652] ; [ 2.08695652 21.91304348],0
v4,1,0.3824,0.762971,[10 12] ; [14 10],[11.47826087 10.52173913] ; [12.52173913 11.47826087],0
s2,1,0.382942,0.761236,[ 4 18] ; [ 7 17],[ 5.26086957 16.73913043] ; [ 5.73913043 18.26086957],0
