Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,3e-06,21.960234,[30  7] ; [ 2 14],[22.33962264 14.66037736] ; [9.66037736 6.33962264],1
d5,1,2.6e-05,17.724543,[36  1] ; [8 8],[30.71698113  6.28301887] ; [13.28301887  2.71698113],1
d4,1,0.000127,14.684671,[36  1] ; [9 7],[31.41509434  5.58490566] ; [13.58490566  2.41509434],1
a5,1,0.004594,8.03264,[32  5] ; [8 8],[27.9245283  9.0754717] ; [12.0754717  3.9245283],0
s3,1,0.012305,6.266323,[24 13] ; [ 4 11],[19.92307692 17.07692308] ; [8.07692308 6.92307692],0
a4,1,0.014325,5.997662,[25 12] ; [ 5 11],[20.94339623 16.05660377] ; [9.05660377 6.94339623],0
s8,1,0.014325,5.997662,[25 12] ; [ 5 11],[20.94339623 16.05660377] ; [9.05660377 6.94339623],0
a3,1,0.021111,5.317591,[30  7] ; [8 8],[26.52830189 10.47169811] ; [11.47169811  4.52830189],0
b3,1,0.040181,4.210218,[10 14] ; [6 1],[12.38709677 11.61290323] ; [3.61290323 3.38709677],0
b2,1,0.040181,4.210218,[10 14] ; [6 1],[12.38709677 11.61290323] ; [3.61290323 3.38709677],0
u1,1,0.060788,3.515755,[11 26] ; [ 1 15],[ 8.37735849 28.62264151] ; [ 3.62264151 12.37735849],0
s2,1,0.066431,3.369087,[25 12] ; [6 9],[22.05769231 14.94230769] ; [8.94230769 6.05769231],0
p2,1,0.089193,2.888884,[31  6] ; [10  6],[28.62264151  8.37735849] ; [12.37735849  3.62264151],0
a6,1,0.1241,2.364792,[22 15] ; [13  3],[24.43396226 12.56603774] ; [10.56603774  5.43396226],0
d3,1,0.1573,1.999991,[28  9] ; [9 7],[25.83018868 11.16981132] ; [11.16981132  4.83018868],0
p1,1,0.171228,1.872155,[ 8 29] ; [ 1 15],[ 6.28301887 30.71698113] ; [ 2.71698113 13.28301887],0
n2,1,0.179712,1.8,[11  4] ; [1 2],[10.  5.] ; [2. 1.],0
n5,1,0.228716,1.448829,[29  8] ; [10  6],[27.22641509  9.77358491] ; [11.77358491  4.22641509],0
s7,1,0.254838,1.296587,[23 13] ; [7 8],[21.17647059 14.82352941] ; [8.82352941 6.17647059],0
