Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4.4e-05,16.704425,[ 9 24] ; [32 11],[17.80263158 15.19736842] ; [23.19736842 19.80263158],1
p8,1,0.000155,14.309423,[15 19] ; [41  8],[22.93975904 11.06024096] ; [33.06024096 15.93975904],1
d1,1,0.002051,9.503442,[16 18] ; [39 10],[22.53012048 11.46987952] ; [32.46987952 16.53012048],0
p7,1,0.002061,9.494786,[22 12] ; [45  4],[27.44578313  6.55421687] ; [39.55421687  9.44578313],0
b3,1,0.019352,5.46939,[ 2 21] ; [10 17],[ 5.52 17.48] ; [ 6.48 20.52],0
b2,1,0.019352,5.46939,[ 2 21] ; [10 17],[ 5.52 17.48] ; [ 6.48 20.52],0
p4,1,0.024025,5.092856,[25  9] ; [45  4],[28.6746988  5.3253012] ; [41.3253012  7.6746988],0
d4,1,0.024025,5.092856,[25  9] ; [45  4],[28.6746988  5.3253012] ; [41.3253012  7.6746988],0
p10,1,0.025325,5.00153,[24 10] ; [44  5],[27.85542169  6.14457831] ; [40.14457831  8.85542169],0
s6,1,0.026209,4.942181,[26  8] ; [44  3],[29.38271605  4.61728395] ; [40.61728395  6.38271605],0
p1,1,0.033744,4.507612,[ 1 33] ; [ 9 40],[ 4.09638554 29.90361446] ; [ 5.90361446 43.09638554],0
s7,1,0.049598,3.854981,[17 15] ; [35 12],[21.06329114 10.93670886] ; [30.93670886 16.06329114],0
p9,1,0.051634,3.787604,[25  9] ; [44  5],[28.26506024  5.73493976] ; [40.73493976  8.26506024],0
n6,1,0.068141,3.327239,[31  3] ; [37 12],[27.85542169  6.14457831] ; [40.14457831  8.85542169],0
n3,1,0.068628,3.315527,[8 1] ; [5 5],[6.15789474 2.84210526] ; [6.84210526 3.15789474],0
d3,1,0.074341,3.184468,[21 13] ; [39 10],[24.57831325  9.42168675] ; [35.42168675 13.57831325],0
p5,1,0.099006,2.721476,[ 2 32] ; [ 9 40],[ 4.5060241 29.4939759] ; [ 6.4939759 42.5060241],0
d2,1,0.142896,2.146497,[16 18] ; [31 18],[19.25301205 14.74698795] ; [27.74698795 21.25301205],0
s2,1,0.150526,2.066917,[20 13] ; [37 12],[22.93902439 10.06097561] ; [34.06097561 14.93902439],0
a4,1,0.152499,2.047072,[14 20] ; [28 21],[17.20481928 16.79518072] ; [24.79518072 24.20481928],0
r1,1,0.154869,2.023626,[24 10] ; [41  8],[26.62650602  7.37349398] ; [38.37349398 10.62650602],0
v4,1,0.183782,1.766774,[30  4] ; [47  2],[31.54216867  2.45783133] ; [45.45783133  3.54216867],0
s1,1,0.183782,1.766774,[ 4 30] ; [ 2 47],[ 2.45783133 31.54216867] ; [ 3.54216867 45.45783133],0
