Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,36.225,[56 59] ; [ 14 101],[35. 80.] ; [35. 80.],1
v1,1,1.2e-05,19.0923,[72 41] ; [40 75],[55.50877193 57.49122807] ; [56.49122807 58.50877193],1
d1,1,0.001326,10.305385,[78 40] ; [53 64],[65.7787234 52.2212766] ; [65.2212766 51.7787234],0
n3,1,0.00287,8.888164,[25  4] ; [19 18],[19.33333333  9.66666667] ; [24.66666667 12.33333333],0
a5,1,0.014678,5.954757,[90 28] ; [72 45],[81.34468085 36.65531915] ; [80.65531915 36.34468085],0
r3,1,0.015537,5.854532,[114   3] ; [104  12],[109.46781116   7.53218884] ; [108.53218884   7.46781116],0
r1,1,0.017783,5.617404,[94 23] ; [78 39],[86. 31.] ; [86. 31.],0
s4,1,0.024199,5.080342,[ 11 106] ; [23 93],[17.07296137 99.92703863] ; [16.92703863 99.07296137],0
a7,1,0.025507,4.989103,[94 23] ; [79 38],[86.5 30.5] ; [86.5 30.5],0
p12,1,0.031095,4.647728,[ 11 107] ; [  3 112],[  7.09012876 110.90987124] ; [  6.90987124 108.09012876],0
d5,1,0.044952,4.020432,[101  17] ; [88 29],[94.90212766 23.09787234] ; [94.09787234 22.90212766],0
s6,1,0.045211,4.010757,[76 40] ; [61 55],[68.5 47.5] ; [68.5 47.5],0
s8,1,0.063367,3.446987,[45 71] ; [32 85],[38.33476395 77.66523605] ; [38.66523605 78.33476395],0
n2,1,0.079457,3.075975,[23  5] ; [23 14],[19.81538462  8.18461538] ; [26.18461538 10.81538462],0
p11,1,0.097033,2.753639,[92 26] ; [80 37],[86.36595745 31.63404255] ; [85.63404255 31.36595745],0
r4,1,0.108022,2.582919,[103  15] ; [93 24],[98.41702128 19.58297872] ; [97.58297872 19.41702128],0
d2,1,0.131947,2.269448,[59 57] ; [48 69],[53.27038627 62.72961373] ; [53.72961373 63.27038627],0
d4,1,0.141962,2.156559,[98 19] ; [89 28],[93.5 23.5] ; [93.5 23.5],0
r2,1,0.149033,2.082124,[111   7] ; [103  13],[107.91452991  10.08547009] ; [106.08547009   9.91452991],0
a3,1,0.156663,2.006143,[82 36] ; [71 46],[76.82553191 41.17446809] ; [76.17446809 40.82553191],0
n4,1,0.168262,1.898361,[92 26] ; [82 35],[87.37021277 30.62978723] ; [86.62978723 30.37021277],0
p4,1,0.170188,1.881286,[63 55] ; [52 65],[57.74468085 60.25531915] ; [57.25531915 59.74468085],0
b3,1,0.217392,1.521507,[26 40] ; [18 44],[22.6875 43.3125] ; [21.3125 40.6875],0
b2,1,0.217392,1.521507,[26 40] ; [18 44],[22.6875 43.3125] ; [21.3125 40.6875],0
p9,1,0.240381,1.378355,[99 17] ; [93 24],[95.58798283 20.41201717] ; [96.41201717 20.58798283],0
b1,1,0.248413,1.332205,[35 83] ; [43 74],[39.16595745 78.83404255] ; [38.83404255 78.16595745],0
d3,1,0.250889,1.318349,[82 36] ; [73 44],[77.82978723 40.17021277] ; [77.17021277 39.82978723],0
p5,1,0.292099,1.10992,[  6 112] ; [ 10 107],[  8.03404255 109.96595745] ; [  7.96595745 109.03404255],0
s7,1,0.324953,0.968908,[47 63] ; [41 72],[43.40807175 66.59192825] ; [44.59192825 68.40807175],0
s2,1,0.359226,0.840596,[57 57] ; [51 65],[53.53043478 60.46956522] ; [54.46956522 61.53043478],0
n6,1,0.371758,0.797779,[98 20] ; [91 25],[95.30769231 22.69230769] ; [93.69230769 22.30769231],0
p6,1,0.373201,0.792979,[23 93] ; [18 99],[20.41201717 95.58798283] ; [20.58798283 96.41201717],0
a6,1,0.382738,0.761888,[81 37] ; [74 43],[77.82978723 40.17021277] ; [77.17021277 39.82978723],0
p1,1,0.449104,0.572911,[  8 110] ; [ 11 105],[  9.58119658 108.41880342] ; [  9.41880342 106.58119658],0
v4,1,0.47214,0.516964,[108  10] ; [109   7],[109.42735043   8.57264957] ; [107.57264957   8.42735043],0
u2,1,0.487108,0.482908,[20 16] ; [22 24],[18.43902439 17.56097561] ; [23.56097561 22.43902439],0
a2,1,0.506204,0.441907,[22 96] ; [18 99],[20.08510638 97.91489362] ; [19.91489362 97.08510638],0
p10,1,0.549273,0.358621,[89 28] ; [85 32],[87. 30.] ; [87. 30.],0
u4,1,0.566199,0.329084,[  2 116] ; [  1 116],[  1.50638298 116.49361702] ; [  1.49361702 115.50638298],0
a1,1,0.566199,0.329084,[  2 116] ; [  1 116],[  1.50638298 116.49361702] ; [  1.49361702 115.50638298],0
n1,1,0.567188,0.327411,[11 17] ; [12 25],[ 9.90769231 18.09230769] ; [13.09230769 23.90769231],0
u1,1,0.591325,0.288279,[ 18 100] ; [ 15 102],[ 16.57021277 101.42978723] ; [ 16.42978723 100.57021277],0
p8,1,0.597029,0.279499,[37 80] ; [33 83],[35.15021459 81.84978541] ; [34.84978541 81.15021459],0
p3,1,0.64389,0.213691,[41 77] ; [37 79],[39.33333333 78.66666667] ; [38.66666667 77.33333333],0
s3,1,0.795393,0.067243,[58 57] ; [61 56],[58.98706897 56.01293103] ; [60.01293103 56.98706897],0
u3,1,0.816213,0.054018,[21 15] ; [28 18],[21.51219512 14.48780488] ; [27.48780488 18.51219512],0
b4,1,0.853141,0.034267,[75 43] ; [73 44],[74.31489362 43.68510638] ; [73.68510638 43.31489362],0
a8,1,0.919921,0.010107,[11 92] ; [12 96],[11.22748815 91.77251185] ; [11.77251185 96.22748815],0
b5,1,0.926962,0.008403,[78 40] ; [78 39],[78.33191489 39.66808511] ; [77.66808511 39.33191489],0
a4,1,0.956001,0.003044,[49 69] ; [49 68],[49.20851064 68.79148936] ; [48.79148936 68.20851064],0
s5,1,0.998882,2e-06,[27 82] ; [28 85],[27.0045045 81.9954955] ; [27.9954955 85.0045045],0
n5,1,1.0,0.0,[82 35] ; [82 35],[82. 35.] ; [82. 35.],0
