Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.541814,[1 6] ; [97 16],[5.71666667 1.28333333] ; [92.28333333 20.71666667],1
v4,1,0.000252,13.395292,[4 3] ; [107   6],[6.475 0.525] ; [104.525   8.475],1
n6,1,0.000427,12.409009,[1 5] ; [89 23],[4.57627119 1.42372881] ; [85.42372881 26.57627119],1
d5,1,0.000494,12.13813,[2 5] ; [93 19],[5.58823529 1.41176471] ; [89.41176471 22.58823529],1
a5,1,0.002449,9.178255,[1 6] ; [79 34],[4.66666667 2.33333333] ; [75.33333333 37.66666667],0
a1,1,0.003191,8.695189,[2 5] ; [  4 109],[0.35 6.65] ; [  5.65 107.35],0
a7,1,0.006155,7.504288,[2 5] ; [85 27],[5.11764706 1.88235294] ; [81.88235294 30.11764706],0
a6,1,0.009323,6.759858,[1 6] ; [72 41],[4.25833333 2.74166667] ; [68.74166667 44.25833333],0
s6,1,0.016226,5.778247,[2 5] ; [79 31],[4.84615385 2.15384615] ; [76.15384615 33.84615385],0
r3,1,0.018709,5.528481,[4 3] ; [99 13],[6.05882353 0.94117647] ; [96.94117647 15.05882353],0
d1,1,0.01971,5.437415,[1 6] ; [67 46],[3.96666667 3.03333333] ; [64.03333333 48.96666667],0
n4,1,0.032185,4.588624,[2 5] ; [77 36],[4.60833333 2.39166667] ; [74.39166667 38.60833333],0
n3,1,0.034338,4.477808,[1 3] ; [28  9],[2.82926829 1.17073171] ; [26.17073171 10.82926829],0
d2,1,0.036941,4.353108,[1 6] ; [62 51],[3.675 3.325] ; [59.325 53.675],0
n5,1,0.039197,4.2523,[2 5] ; [75 37],[4.52941176 2.47058824] ; [72.47058824 39.52941176],0
v2,1,0.045834,3.987672,[1 6] ; [58 51],[3.56034483 3.43965517] ; [55.43965517 53.56034483],0
d3,1,0.100739,2.693808,[3 4] ; [80 31],[4.92372881 2.07627119] ; [78.07627119 32.92372881],0
s5,1,0.114653,2.488889,[1 6] ; [47 58],[3. 4.] ; [45. 60.],0
p9,1,0.122881,2.380216,[5 2] ; [101  11],[6.23529412 0.76470588] ; [99.76470588 12.23529412],0
p3,1,0.159595,1.978059,[1 6] ; [46 66],[2.76470588 4.23529412] ; [44.23529412 67.76470588],0
r1,1,0.160796,1.966725,[4 3] ; [90 23],[5.48333333 1.51666667] ; [88.51666667 24.48333333],0
s3,1,0.161345,1.961578,[2 5] ; [63 50],[3.79166667 3.20833333] ; [61.20833333 51.79166667],0
p6,1,0.17749,1.818519,[1 6] ; [45 68],[2.68333333 4.31666667] ; [43.31666667 69.68333333],0
n2,1,0.209284,1.576373,[2 2] ; [29  8],[3.02439024 0.97560976] ; [27.97560976  9.02439024],0
b5,1,0.268623,1.223767,[3 4] ; [72 41],[4.375 2.625] ; [70.625 42.375],0
s1,1,0.33006,0.948661,[1 6] ; [  6 106],[0.41176471 6.58823529] ; [  6.58823529 105.41176471],0
a4,1,0.34488,0.892205,[2 5] ; [53 60],[3.20833333 3.79166667] ; [51.79166667 61.20833333],0
s2,1,0.392065,0.732527,[3 4] ; [67 46],[4.08333333 2.91666667] ; [65.91666667 47.08333333],0
u2,1,0.452497,0.564389,[2 1] ; [15 19],[1.37837838 1.62162162] ; [15.62162162 18.37837838],0
b4,1,0.476187,0.507583,[3 4] ; [64 49],[3.90833333 3.09166667] ; [63.09166667 49.90833333],0
a3,1,0.488209,0.480471,[4 3] ; [78 34],[4.82352941 2.17647059] ; [77.17647059 34.82352941],0
p7,1,0.502482,0.449691,[3 4] ; [62 49],[3.8559322 3.1440678] ; [61.1440678 49.8559322],0
s4,1,0.52915,0.396024,[1 6] ; [28 85],[1.69166667 5.30833333] ; [27.30833333 85.69166667],0
b2,1,0.620576,0.245059,[1 4] ; [15 34],[1.48148148 3.51851852] ; [14.51851852 34.48148148],0
b3,1,0.620576,0.245059,[1 4] ; [15 34],[1.48148148 3.51851852] ; [14.51851852 34.48148148],0
p8,1,0.646943,0.209776,[2 5] ; [42 71],[2.56666667 4.43333333] ; [41.43333333 71.56666667],0
p4,1,0.663565,0.189222,[4 3] ; [55 58],[3.44166667 3.55833333] ; [55.55833333 57.44166667],0
v1,1,0.663565,0.189222,[4 3] ; [55 58],[3.44166667 3.55833333] ; [55.55833333 57.44166667],0
v3,1,0.667666,0.184344,[2 5] ; [41 71],[2.52941176 4.47058824] ; [40.47058824 71.52941176],0
u3,1,0.68583,0.163636,[2 1] ; [18 15],[1.66666667 1.33333333] ; [18.33333333 14.66666667],0
p2,1,0.745814,0.105082,[5 2] ; [86 26],[5.35294118 1.64705882] ; [85.64705882 26.35294118],0
s8,1,0.835077,0.043345,[3 4] ; [53 60],[3.26666667 3.73333333] ; [52.73333333 60.26666667],0
s7,1,0.873558,0.025326,[3 3] ; [56 49],[3.18918919 2.81081081] ; [55.81081081 49.18918919],0
