Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,33.402036,[39  1] ; [20 31],[25.93406593 14.06593407] ; [33.06593407 17.93406593],1
d2,1,0.0,32.986425,[33  6] ; [12 39],[19.5 19.5] ; [25.5 25.5],1
d3,1,0.0,28.626328,[32  8] ; [12 39],[19.34065934 20.65934066] ; [24.65934066 26.34065934],1
d4,1,1e-06,25.249924,[39  1] ; [25 26],[28.13186813 11.86813187] ; [35.86813187 15.13186813],1
a4,1,2e-06,22.773279,[28 12] ; [10 40],[16.88888889 23.11111111] ; [21.11111111 28.88888889],1
a5,1,0.000141,14.487721,[33  8] ; [21 30],[24.06521739 16.93478261] ; [29.93478261 21.06521739],1
a2,1,0.000336,12.858908,[13 28] ; [ 2 49],[ 6.68478261 34.31521739] ; [ 8.31521739 42.68478261],1
u1,1,0.000982,10.861799,[10 31] ; [ 1 50],[ 4.90217391 36.09782609] ; [ 6.09782609 44.90217391],1
a3,1,0.00173,9.815839,[31 10] ; [21 28],[23.68888889 17.31111111] ; [28.31111111 20.68888889],0
p4,1,0.039092,4.256843,[14 27] ; [ 8 43],[ 9.80434783 31.19565217] ; [12.19565217 38.80434783],0
a7,1,0.046453,3.9651,[25 16] ; [20 30],[20.27472527 20.72527473] ; [24.72527473 25.27472527],0
s7,1,0.080043,3.064026,[12 25] ; [ 8 41],[ 8.60465116 28.39534884] ; [11.39534884 37.60465116],0
n2,1,0.141533,2.161217,[11 14] ; [12  6],[13.37209302 11.62790698] ; [9.62790698 8.37209302],0
p9,1,0.163254,1.943827,[11 28] ; [ 8 42],[ 8.3258427 30.6741573] ; [10.6741573 39.3258427],0
p7,1,0.170333,1.880013,[ 7 33] ; [15 35],[ 9.77777778 30.22222222] ; [12.22222222 37.77777778],0
a6,1,0.173781,1.850019,[23 17] ; [22 29],[19.78021978 20.21978022] ; [25.21978022 25.78021978],0
u3,1,0.200679,1.637427,[7 3] ; [14 16],[5.25 4.75] ; [15.75 14.25],0
a8,1,0.222994,1.485,[ 2 38] ; [ 6 42],[ 3.63636364 36.36363636] ; [ 4.36363636 43.63636364],0
r3,1,0.259381,1.272059,[30 11] ; [31 19],[27.48351648 13.51648352] ; [33.51648352 16.48351648],0
v3,1,0.265844,1.238067,[ 9 29] ; [17 32],[11.35632184 26.64367816] ; [14.64367816 34.35632184],0
n6,1,0.317859,0.997738,[25 15] ; [26 24],[22.66666667 17.33333333] ; [28.33333333 21.66666667],0
s8,1,0.323043,0.976585,[ 8 33] ; [ 6 44],[ 6.30769231 34.69230769] ; [ 7.69230769 42.30769231],0
p11,1,0.332274,0.940014,[16 25] ; [15 36],[13.81521739 27.18478261] ; [17.18478261 33.81521739],0
b3,1,0.344461,0.893757,[10 20] ; [14 17],[11.80327869 18.19672131] ; [12.19672131 18.80327869],0
b2,1,0.344461,0.893757,[10 20] ; [14 17],[11.80327869 18.19672131] ; [12.19672131 18.80327869],0
