Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5.3e-05,16.32087,[ 3 15] ; [63 30],[10.7027027  7.2972973] ; [55.2972973 37.7027027],1
p4,1,0.000137,14.546875,[ 5 13] ; [71 25],[12.  6.] ; [64. 32.],1
p7,1,0.000519,12.047619,[ 6 12] ; [69 23],[12.27272727  5.72727273] ; [62.72727273 29.27272727],1
p6,1,0.00297,8.825847,[ 2 16] ; [46 48],[ 7.71428571 10.28571429] ; [40.28571429 53.71428571],0
p3,1,0.017073,5.688834,[ 5 13] ; [56 40],[9.63157895 8.36842105] ; [51.36842105 44.63157895],0
d1,1,0.017073,5.688834,[ 5 13] ; [56 40],[9.63157895 8.36842105] ; [51.36842105 44.63157895],0
d5,1,0.017118,5.684222,[10  8] ; [78 18],[13.89473684  4.10526316] ; [74.10526316 21.89473684],0
v4,1,0.018222,5.574653,[15  3] ; [93  3],[17.05263158  0.94736842] ; [90.94736842  5.05263158],0
s7,1,0.031498,4.625607,[ 6 11] ; [60 35],[10.01785714  6.98214286] ; [55.98214286 39.01785714],0
s1,1,0.035044,4.443013,[ 3 14] ; [ 4 91],[ 1.0625 15.9375] ; [ 5.9375 89.0625],0
a6,1,0.040697,4.188567,[ 7 11] ; [62 34],[10.89473684  7.10526316] ; [58.10526316 37.89473684],0
d3,1,0.053074,3.741591,[9 9] ; [70 26],[12.47368421  5.52631579] ; [66.52631579 29.47368421],0
a2,1,0.092125,2.836837,[ 1 17] ; [22 74],[ 3.63157895 14.36842105] ; [19.36842105 76.63157895],0
d4,1,0.098237,2.733929,[11  7] ; [76 20],[13.73684211  4.26315789] ; [73.26315789 22.73684211],0
b1,1,0.10727,2.593994,[10  8] ; [34 62],[ 6.94736842 11.05263158] ; [37.05263158 58.94736842],0
v3,1,0.123611,2.370964,[ 2 15] ; [28 66],[ 4.59459459 12.40540541] ; [25.40540541 68.59459459],0
p11,1,0.129554,2.297838,[12  6] ; [79 17],[14.36842105  3.63157895] ; [76.63157895 19.36842105],0
p1,1,0.132591,2.261905,[ 3 15] ; [ 6 90],[ 1.42105263 16.57894737] ; [ 7.57894737 88.42105263],0
p12,1,0.132591,2.261905,[ 3 15] ; [ 6 90],[ 1.42105263 16.57894737] ; [ 7.57894737 88.42105263],0
p10,1,0.221742,1.493059,[13  5] ; [80 15],[14.81415929  3.18584071] ; [78.18584071 16.81415929],0
p9,1,0.222365,1.489045,[14  4] ; [84 11],[15.61061947  2.38938053] ; [82.38938053 12.61061947],0
a3,1,0.236502,1.401325,[10  8] ; [67 29],[12.15789474  5.84210526] ; [64.84210526 31.15789474],0
a7,1,0.275834,1.1875,[10  8] ; [66 30],[12.  6.] ; [64. 32.],0
r2,1,0.279212,1.170921,[15  3] ; [87  8],[16.24778761  1.75221239] ; [85.75221239  9.24778761],0
b3,1,0.316862,1.001855,[ 1 10] ; [11 38],[2.2 8.8] ; [ 9.8 39.2],0
b2,1,0.316862,1.001855,[ 1 10] ; [11 38],[2.2 8.8] ; [ 9.8 39.2],0
v2,1,0.330186,0.948169,[9 7] ; [41 54],[7.20720721 8.79279279] ; [42.79279279 52.20720721],0
s2,1,0.337685,0.919201,[10  7] ; [67 28],[11.6875  5.3125] ; [65.3125 29.6875],0
r4,1,0.342737,0.900167,[14  4] ; [83 13],[15.31578947  2.68421053] ; [81.68421053 14.31578947],0
u3,1,0.375954,0.78389,[5 3] ; [13 16],[3.89189189 4.10810811] ; [14.10810811 14.89189189],0
u1,1,0.434248,0.611436,[ 2 16] ; [18 78],[ 3.15789474 14.84210526] ; [16.84210526 79.15789474],0
n4,1,0.445664,0.581655,[13  5] ; [77 19],[14.21052632  3.78947368] ; [75.78947368 20.21052632],0
s3,1,0.446047,0.580677,[11  6] ; [70 25],[12.29464286  4.70535714] ; [68.70535714 26.29464286],0
b5,1,0.459743,0.54652,[9 9] ; [57 39],[10.42105263  7.57894737] ; [55.57894737 40.42105263],0
a5,1,0.467186,0.528624,[11  7] ; [67 29],[12.31578947  5.68421053] ; [65.68421053 30.31578947],0
n6,1,0.514192,0.425527,[17  1] ; [85 10],[16.24778761  1.75221239] ; [85.75221239  9.24778761],0
d2,1,0.586607,0.295674,[ 7 11] ; [44 52],[8.05263158 9.94736842] ; [42.94736842 53.05263158],0
a1,1,0.607053,0.264489,[ 1 17] ; [ 3 93],[ 0.63157895 17.36842105] ; [ 3.36842105 92.63157895],0
u2,1,0.663033,0.18986,[4 4] ; [12 17],[3.45945946 4.54054054] ; [12.54054054 16.45945946],0
b4,1,0.683918,0.165749,[9 9] ; [53 43],[9.78947368 8.21052632] ; [52.21052632 43.78947368],0
s8,1,0.725066,0.12369,[10  8] ; [49 47],[9.31578947 8.68421053] ; [49.68421053 46.31578947],0
n1,1,0.735785,0.113866,[3 6] ; [ 6 16],[2.61290323 6.38709677] ; [ 6.38709677 15.61290323],0
n3,1,0.770515,0.08509,[7 2] ; [16  6],[6.67741935 2.32258065] ; [16.32258065  5.67741935],0
n2,1,0.796052,0.066801,[7 2] ; [18  4],[7.25806452 1.74193548] ; [17.74193548  4.25806452],0
v1,1,0.837618,0.042001,[9 9] ; [50 45],[9.39823009 8.60176991] ; [49.60176991 45.39823009],0
r3,1,0.840941,0.040276,[16  2] ; [85  9],[16.23214286  1.76785714] ; [84.76785714  9.23214286],0
s5,1,0.867077,0.028013,[8 8] ; [46 42],[8.30769231 7.69230769] ; [45.69230769 42.30769231],0
s6,1,0.876376,0.0242,[15  3] ; [78 14],[15.21818182  2.78181818] ; [77.78181818 14.21818182],0
r1,1,0.878006,0.023562,[13  5] ; [71 25],[13.26315789  4.73684211] ; [70.73684211 25.26315789],0
a8,1,0.912959,0.011948,[ 1 16] ; [ 6 85],[ 1.10185185 15.89814815] ; [ 5.89814815 85.10185185],0
