Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.1e-05,18.130398,[68 92] ; [34  9],[80.39408867 79.60591133] ; [21.60591133 21.39408867],1
s6,1,9.3e-05,15.274659,[93 67] ; [38  4],[103.76237624  56.23762376] ; [27.23762376 14.76237624],1
s5,1,0.001043,10.750067,[ 48 113] ; [23 17],[ 56.87064677 104.12935323] ; [14.12935323 25.87064677],0
s7,1,0.008503,6.924366,[68 86] ; [27 13],[75.41237113 78.58762887] ; [19.58762887 20.41237113],0
s8,1,0.008545,6.915455,[69 93] ; [28 15],[76.65365854 85.34634146] ; [20.34634146 22.65365854],0
p6,1,0.012093,6.297192,[ 56 105] ; [24 19],[63.1372549 97.8627451] ; [16.8627451 26.1372549],0
p3,1,0.023241,5.150431,[73 87] ; [28 15],[79.60591133 80.39408867] ; [21.39408867 21.60591133],0
a7,1,0.026283,4.937276,[122  40] ; [25 18],[116.16585366  45.83414634] ; [30.83414634 12.16585366],0
s3,1,0.02781,4.839804,[86 75] ; [31 12],[92.33823529 68.66176471] ; [24.66176471 18.33823529],0
p4,1,0.035554,4.418353,[92 70] ; [32 11],[97.9902439 64.0097561] ; [26.0097561 16.9902439],0
a6,1,0.041514,4.154899,[116  45] ; [24 19],[110.49019608  50.50980392] ; [29.50980392 13.49019608],0
s1,1,0.042781,4.104046,[  6 154] ; [ 5 38],[  8.66995074 151.33004926] ; [ 2.33004926 40.66995074],0
a8,1,0.08371,2.991351,[ 16 131] ; [ 1 42],[ 13.15263158 133.84736842] ; [ 3.84736842 39.15263158],0
v1,1,0.092614,2.828347,[ 55 103] ; [21 22],[59.74129353 98.25870647] ; [16.25870647 26.74129353],0
r1,1,0.187365,1.738216,[134  27] ; [32 11],[131.00980392  29.99019608] ; [34.99019608  8.00980392],0
p8,1,0.19608,1.671337,[80 82] ; [26 17],[83.76585366 78.23414634] ; [22.23414634 20.76585366],0
p10,1,0.276066,1.186356,[123  39] ; [36  7],[125.64878049  36.35121951] ; [33.35121951  9.64878049],0
n3,1,0.281728,1.158735,[25 20] ; [12  5],[26.85483871 18.14516129] ; [10.14516129  6.85483871],0
n4,1,0.288509,1.126566,[129  33] ; [31 12],[126.43902439  35.56097561] ; [33.56097561  9.43902439],0
p1,1,0.296724,1.08886,[ 14 148] ; [ 6 37],[ 15.80487805 146.19512195] ; [ 4.19512195 38.80487805],0
b4,1,0.303328,1.059503,[97 65] ; [22 21],[94.03902439 67.96097561] ; [24.96097561 18.03902439],0
n2,1,0.341245,0.905748,[27 20] ; [12  5],[28.640625 18.359375] ; [10.359375  6.640625],0
n5,1,0.360899,0.834764,[124  38] ; [30 13],[121.69756098  40.30243902] ; [32.30243902 10.69756098],0
