Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,3e-06,21.899676,[20 61] ; [33 17],[32.77099237 48.22900763] ; [20.22900763 29.77099237],1
r3,1,0.000568,11.87816,[76  5] ; [36 14],[69.2519084 11.7480916] ; [42.7480916  7.2519084],1
p10,1,0.000626,11.69743,[57 23] ; [20 29],[47.75193798 32.24806202] ; [29.24806202 19.75193798],1
p9,1,0.000729,11.41292,[61 20] ; [22 26],[52.11627907 28.88372093] ; [30.88372093 17.11627907],1
p2,1,0.00102,10.791076,[66 14] ; [28 22],[57.84615385 22.15384615] ; [36.15384615 13.84615385],0
r4,1,0.001117,10.622615,[69 12] ; [30 20],[61.21374046 19.78625954] ; [37.78625954 12.21374046],0
v4,1,0.008518,6.921106,[74  5] ; [39 11],[69.20155039  9.79844961] ; [43.79844961  6.20155039],0
p8,1,0.011835,6.335352,[39 42] ; [13 37],[32.15267176 48.84732824] ; [19.84732824 30.15267176],0
s8,1,0.016627,5.735294,[27 54] ; [ 7 42],[21.18461538 59.81538462] ; [12.81538462 36.18461538],0
n4,1,0.018311,5.566185,[36 45] ; [12 38],[29.67938931 51.32061069] ; [18.32061069 31.67938931],0
n6,1,0.0235,5.131169,[52 29] ; [22 28],[45.75572519 35.24427481] ; [28.24427481 21.75572519],0
p7,1,0.025175,5.011814,[47 31] ; [20 30],[40.828125 37.171875] ; [26.171875 23.828125],0
a5,1,0.039259,4.249639,[49 32] ; [21 29],[43.28244275 37.71755725] ; [26.71755725 23.28244275],0
s6,1,0.043877,4.061282,[44 36] ; [18 31],[38.4496124 41.5503876] ; [23.5503876 25.4496124],0
a8,1,0.060924,3.512048,[ 8 65] ; [ 1 49],[ 5.34146341 67.65853659] ; [ 3.65853659 46.34146341],0
p6,1,0.065417,3.394436,[24 55] ; [ 8 42],[19.59689922 59.40310078] ; [12.40310078 37.59689922],0
s1,1,0.068202,3.325772,[ 3 78] ; [ 6 44],[ 5.5648855 75.4351145] ; [ 3.4351145 46.5648855],0
r1,1,0.068762,3.312325,[55 26] ; [26 24],[50.08396947 30.91603053] ; [30.91603053 19.08396947],0
r2,1,0.078866,3.088111,[70 10] ; [37 12],[66.35658915 13.64341085] ; [40.64341085  8.35658915],0
u3,1,0.119473,2.424215,[26 11] ; [11 11],[23.20338983 13.79661017] ; [13.79661017  8.20338983],0
b5,1,0.121226,2.401405,[44 37] ; [34 16],[48.22900763 32.77099237] ; [29.77099237 20.22900763],0
s7,1,0.136502,2.21695,[27 50] ; [10 35],[23.35245902 53.64754098] ; [13.64754098 31.35245902],0
s4,1,0.230888,1.435386,[14 67] ; [13 37],[16.69465649 64.30534351] ; [10.30534351 39.69465649],0
u2,1,0.26102,1.263337,[24 13] ; [11 11],[21.94915254 15.05084746] ; [13.05084746  8.94915254],0
v3,1,0.310448,1.028771,[10 70] ; [ 9 38],[11.96850394 68.03149606] ; [ 7.03149606 39.96850394],0
a7,1,0.321353,0.983432,[58 23] ; [31 18],[55.45384615 25.54615385] ; [33.54615385 15.45384615],0
p4,1,0.340146,0.90988,[36 45] ; [18 32],[33.38931298 47.61068702] ; [20.61068702 29.38931298],0
a6,1,0.354668,0.856685,[44 37] ; [23 27],[41.42748092 39.57251908] ; [25.57251908 24.42748092],0
b2,1,0.384064,0.757653,[15 34] ; [ 6 22],[13.36363636 35.63636364] ; [ 7.63636364 20.36363636],0
b3,1,0.384064,0.757653,[15 34] ; [ 6 22],[13.36363636 35.63636364] ; [ 7.63636364 20.36363636],0
p5,1,0.386856,0.7488,[ 4 76] ; [ 1 49],[ 3.07692308 76.92307692] ; [ 1.92307692 48.07692308],0
d3,1,0.422996,0.641975,[52 29] ; [28 21],[49.84615385 31.15384615] ; [30.15384615 18.84615385],0
u1,1,0.428824,0.626007,[ 6 75] ; [ 2 48],[ 4.94656489 76.05343511] ; [ 3.05343511 46.94656489],0
a2,1,0.434154,0.611685,[10 71] ; [ 4 46],[ 8.65648855 72.34351145] ; [ 5.34351145 44.65648855],0
s5,1,0.485006,0.487585,[23 56] ; [11 36],[21.31746032 57.68253968] ; [12.68253968 34.31746032],0
d1,1,0.588781,0.292253,[33 48] ; [18 32],[31.53435115 49.46564885] ; [19.46564885 30.53435115],0
s3,1,0.641711,0.216511,[36 44] ; [20 29],[34.72868217 45.27131783] ; [21.27131783 27.72868217],0
d4,1,0.742066,0.108319,[62 19] ; [37 13],[61.21374046 19.78625954] ; [37.78625954 12.21374046],0
v1,1,0.785039,0.074397,[23 57] ; [13 36],[22.3255814 57.6744186] ; [13.6744186 35.3255814],0
a1,1,0.802934,0.062276,[ 4 77] ; [ 2 48],[ 3.70992366 77.29007634] ; [ 2.29007634 47.70992366],0
n1,1,0.821098,0.051136,[ 7 18] ; [ 5 15],[ 6.66666667 18.33333333] ; [ 5.33333333 14.66666667],0
b4,1,0.823435,0.049787,[47 34] ; [30 20],[47.61068702 33.38931298] ; [29.38931298 20.61068702],0
d2,1,0.867512,0.027829,[28 53] ; [18 32],[28.44274809 52.55725191] ; [17.55725191 32.44274809],0
p3,1,0.911891,0.012244,[30 51] ; [19 31],[30.29770992 50.70229008] ; [18.70229008 31.29770992],0
a3,1,0.930923,0.007514,[44 37] ; [27 22],[44.23846154 36.76153846] ; [26.76153846 22.23846154],0
a4,1,0.937442,0.00616,[27 54] ; [17 33],[27.20610687 53.79389313] ; [16.79389313 33.20610687],0
p1,1,0.939809,0.005702,[ 5 74] ; [ 3 47],[ 4.89922481 74.10077519] ; [ 3.10077519 46.89922481],0
s2,1,0.954361,0.003275,[30 50] ; [19 31],[30.15384615 49.84615385] ; [18.84615385 31.15384615],0
n3,1,0.976305,0.000882,[17  8] ; [13  6],[17.04545455  7.95454545] ; [12.95454545  6.04545455],0
d5,1,0.988326,0.000214,[53 28] ; [32 17],[52.96153846 28.03846154] ; [32.03846154 16.96153846],0
n2,1,1.0,0.0,[15 10] ; [12  8],[15. 10.] ; [12.  8.],0
