Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.316848,[58  5] ; [42 33],[45.65217391 17.34782609] ; [54.34782609 20.65217391],1
r4,1,1.3e-05,19.017182,[51 12] ; [34 42],[38.52517986 24.47482014] ; [46.47482014 29.52517986],1
n6,1,3.1e-05,17.335375,[49 13] ; [33 42],[37.10948905 24.89051095] ; [44.89051095 30.10948905],1
p10,1,5.1e-05,16.394064,[39 24] ; [20 53],[27.33088235 35.66911765] ; [31.66911765 41.33088235],1
p9,1,0.000459,12.275499,[38 24] ; [22 49],[27.96992481 34.03007519] ; [32.03007519 38.96992481],1
v4,1,0.004936,7.902592,[53 10] ; [47 28],[45.65217391 17.34782609] ; [54.34782609 20.65217391],0
r1,1,0.009621,6.703764,[44 19] ; [36 39],[36.52173913 26.47826087] ; [43.47826087 31.52173913],0
n2,1,0.012071,6.300476,[18  4] ; [17 18],[13.50877193  8.49122807] ; [21.49122807 13.50877193],0
n3,1,0.014919,5.925974,[16  5] ; [14 19],[11.66666667  9.33333333] ; [18.33333333 14.66666667],0
b4,1,0.040023,4.216891,[40 23] ; [35 41],[33.99280576 29.00719424] ; [41.00719424 34.99280576],0
v2,1,0.047321,3.933924,[29 29] ; [24 49],[23.46564885 34.53435115] ; [29.53435115 43.46564885],0
v1,1,0.057836,3.598377,[23 39] ; [17 59],[17.97101449 44.02898551] ; [22.02898551 53.97101449],0
a1,1,0.058234,3.586976,[ 3 60] ; [11 65],[ 6.34532374 56.65467626] ; [ 7.65467626 68.34532374],0
d5,1,0.058562,3.577651,[32 31] ; [50 25],[37.43478261 25.56521739] ; [44.56521739 30.43478261],0
p8,1,0.075369,3.162035,[19 44] ; [13 62],[14.60869565 48.39130435] ; [17.39130435 57.60869565],0
p3,1,0.075608,3.156863,[21 42] ; [15 60],[16.43478261 46.56521739] ; [19.56521739 55.43478261],0
n4,1,0.081337,3.037973,[42 21] ; [39 36],[36.97826087 26.02173913] ; [44.02173913 30.97826087],0
s1,1,0.089162,2.889443,[ 4 57] ; [12 63],[ 7.17647059 53.82352941] ; [ 8.82352941 66.17647059],0
n5,1,0.094919,2.788904,[41 21] ; [39 36],[36.20437956 25.79562044] ; [43.79562044 31.20437956],0
a6,1,0.095271,2.782973,[40 23] ; [37 38],[35.15217391 27.84782609] ; [41.84782609 33.15217391],0
r2,1,0.11263,2.516923,[54  8] ; [55 17],[50.43283582 11.56716418] ; [58.56716418 13.43283582],0
p12,1,0.112651,2.516633,[ 4 59] ; [ 1 75],[ 2.26618705 60.73381295] ; [ 2.73381295 73.26618705],0
b3,1,0.116425,2.464762,[ 9 22] ; [22 25],[12.32051282 18.67948718] ; [18.67948718 28.32051282],0
b2,1,0.116425,2.464762,[ 9 22] ; [22 25],[12.32051282 18.67948718] ; [18.67948718 28.32051282],0
