Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3e-06,21.793401,[220  61] ; [72 57],[200.12682927  80.87317073] ; [91.87317073 37.12682927],1
p11,1,5e-06,21.033883,[249  33] ; [90 39],[232.59854015  49.40145985] ; [106.40145985  22.59854015],1
p5,1,8.1e-05,15.535734,[ 52 230] ; [  5 123],[ 39.20487805 242.79512195] ; [ 17.79512195 110.20487805],1
p3,1,0.000836,11.160616,[188  93] ; [64 65],[172.71219512 108.28780488] ; [79.28780488 49.71219512],1
p12,1,0.001054,10.730155,[ 35 247] ; [  3 126],[ 26.0729927 255.9270073] ; [ 11.9270073 117.0729927],0
p2,1,0.003177,8.702872,[263  18] ; [109  20],[254.95609756  26.04390244] ; [117.04390244  11.95609756],0
p6,1,0.003205,8.686979,[149 131] ; [48 80],[135.19607843 144.80392157] ; [61.80392157 66.19607843],0
p1,1,0.00794,7.047062,[ 34 245] ; [  5 124],[ 26.66911765 252.33088235] ; [ 12.33088235 116.66911765],0
n5,1,0.008619,6.900105,[224  57] ; [86 41],[213.50490196  67.49509804] ; [96.49509804 30.50490196],0
v3,1,0.035268,4.432173,[120 151] ; [41 83],[110.45822785 160.54177215] ; [50.54177215 73.45822785],0
n6,1,0.038976,4.261909,[246  31] ; [104  24],[239.38271605  37.61728395] ; [110.61728395  17.38271605],0
a2,1,0.051343,3.797058,[ 78 204] ; [48 81],[ 86.45255474 195.54744526] ; [39.54744526 89.45255474],0
n2,1,0.066544,3.366268,[36  6] ; [21 10],[32.79452055  9.20547945] ; [24.20547945  6.79452055],0
s5,1,0.076463,3.138532,[104 168] ; [37 90],[ 96.12030075 175.87969925] ; [44.87969925 82.12030075],0
v1,1,0.107727,2.587249,[165 111] ; [64 61],[157.6159601 118.3840399] ; [71.3840399 53.6159601],0
u2,1,0.111579,2.531715,[40 34] ; [20  8],[43.52941176 30.47058824] ; [16.47058824 11.52941176],0
u1,1,0.119035,2.429974,[ 59 223] ; [36 93],[ 65.18248175 216.81751825] ; [29.81751825 99.18248175],0
a8,1,0.127519,2.322454,[ 40 210] ; [26 89],[ 45.20547945 204.79452055] ; [20.79452055 94.20547945],0
b5,1,0.129576,2.297577,[175 107] ; [90 39],[181.82481752 100.17518248] ; [83.17518248 45.82481752],0
a4,1,0.166402,1.915063,[121 160] ; [65 64],[127.47804878 153.52195122] ; [58.52195122 70.47804878],0
a6,1,0.167872,1.901846,[215  65] ; [106  22],[220.29411765  59.70588235] ; [100.70588235  27.29411765],0
a1,1,0.170097,1.882086,[ 18 264] ; [  4 125],[ 15.09489051 266.90510949] ; [  6.90510949 122.09489051],0
b4,1,0.191729,1.704285,[168 114] ; [68 61],[161.9270073 120.0729927] ; [74.0729927 54.9270073],0
p10,1,0.196498,1.668211,[248  33] ; [107  21],[243.8997555  37.1002445] ; [111.1002445  16.8997555],0
r4,1,0.229065,1.446656,[265  17] ; [117  12],[262.10218978  19.89781022] ; [119.89781022   9.10218978],0
n3,1,0.242035,1.368701,[32 10] ; [27  4],[33.94520548  8.05479452] ; [25.05479452  5.94520548],0
r1,1,0.283243,1.151463,[240  39] ; [104  23],[236.39408867  42.60591133] ; [107.60591133  19.39408867],0
s3,1,0.299392,1.076901,[154 123] ; [77 49],[158.77667494 118.22332506] ; [72.22332506 53.77667494],0
v4,1,0.303978,1.056661,[273   6] ; [122   5],[271.4408867   7.5591133] ; [123.5591133   3.4408867],0
s8,1,0.342804,0.899916,[133 146] ; [55 74],[128.55882353 150.44117647] ; [59.44117647 69.55882353],0
d2,1,0.360032,0.837781,[129 152] ; [65 63],[133.28606357 147.71393643] ; [60.71393643 67.28606357],0
s1,1,0.427166,0.630516,[  7 273] ; [  5 122],[  8.25552826 271.74447174] ; [  3.74447174 123.25552826],0
s2,1,0.429194,0.625003,[143 136] ; [71 57],[146.6977887 132.3022113] ; [67.3022113 60.6977887],0
r3,1,0.429789,0.623392,[271   8] ; [126   2],[272.14496314   6.85503686] ; [124.85503686   3.14496314],0
n4,1,0.459276,0.547657,[225  57] ; [98 30],[222.16097561  59.83902439] ; [100.83902439  27.16097561],0
b1,1,0.462481,0.539882,[103 179] ; [52 77],[106.35036496 175.64963504] ; [48.64963504 80.35036496],0
p9,1,0.4678,0.527168,[250  30] ; [112  17],[247.82396088  32.17603912] ; [114.17603912  14.82396088],0
u3,1,0.50265,0.449338,[41 32] ; [19 11],[42.52427184 30.47572816] ; [17.47572816 12.52427184],0
a5,1,0.522498,0.408959,[218  64] ; [96 33],[215.44525547  66.55474453] ; [98.55474453 30.44525547],0
s4,1,0.547714,0.361428,[ 41 235] ; [ 22 106],[ 43.03960396 232.96039604] ; [ 19.96039604 108.03960396],0
n1,1,0.615794,0.251823,[11 30] ; [10 21],[11.95833333 29.04166667] ; [ 9.04166667 21.95833333],0
d1,1,0.663601,0.189179,[179 103] ; [79 50],[177.02189781 104.97810219] ; [80.97810219 48.02189781],0
s6,1,0.680647,0.169398,[196  78] ; [89 39],[194.25373134  79.74626866] ; [90.74626866 37.25373134],0
b3,1,0.702013,0.146386,[ 60 109] ; [33 54],[ 61.39453125 107.60546875] ; [31.60546875 55.39453125],0
b2,1,0.702013,0.146386,[ 60 109] ; [33 54],[ 61.39453125 107.60546875] ; [31.60546875 55.39453125],0
d5,1,0.713659,0.13465,[233  48] ; [108  20],[234.28117359  46.71882641] ; [106.71882641  21.28117359],0
a3,1,0.715538,0.132808,[208  72] ; [98 31],[209.48655257  70.51344743] ; [96.51344743 32.48655257],0
v2,1,0.811402,0.056939,[166 106] ; [76 46],[167.06598985 104.93401015] ; [74.93401015 47.06598985],0
s7,1,0.818105,0.052892,[140 125] ; [65 61],[138.93861893 126.06138107] ; [66.06138107 59.93861893],0
d4,1,0.847874,0.036799,[237  44] ; [107  21],[236.34229829  44.65770171] ; [107.65770171  20.34229829],0
u4,1,0.868003,0.027621,[  5 276] ; [  2 127],[  4.79756098 276.20243902] ; [  2.20243902 126.79756098],0
r2,1,0.978204,0.000746,[268  11] ; [120   5],[267.95049505  11.04950495] ; [120.04950495   4.95049505],0
d3,1,0.996974,1.4e-05,[219  62] ; [99 28],[219.01470588  61.98529412] ; [98.98529412 28.01470588],0
