Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,34.510434,[ 3 11] ; [99 14],[11.24409449  2.75590551] ; [90.75590551 22.24409449],1
r4,1,0.0,29.18801,[ 2 12] ; [92 21],[10.36220472  3.63779528] ; [83.63779528 29.36220472],1
r1,1,0.000222,13.632914,[ 4 10] ; [86 27],[9.92125984 4.07874016] ; [80.07874016 32.92125984],1
d1,1,0.000372,12.666018,[ 1 13] ; [65 48],[7.27559055 6.72440945] ; [58.72440945 54.27559055],1
a6,1,0.000429,12.401352,[ 3 11] ; [77 34],[8.96 5.04] ; [71.04 39.96],1
d3,1,0.000848,11.133815,[ 2 12] ; [68 43],[7.84 6.16] ; [62.16 48.84],1
r3,1,0.00533,7.763817,[7 7] ; [93 20],[11.02362205  2.97637795] ; [88.97637795 24.02362205],0
a5,1,0.010757,6.504951,[5 9] ; [79 34],[9.25984252 4.74015748] ; [74.74015748 38.25984252],0
s7,1,0.028912,4.772832,[ 2 12] ; [48 59],[5.78512397 8.21487603] ; [44.21487603 62.78512397],0
d2,1,0.034736,4.458112,[ 3 11] ; [56 53],[6.71544715 7.28455285] ; [52.28455285 56.71544715],0
a8,1,0.034922,4.449009,[4 9] ; [11 96],[ 1.625 11.375] ; [13.375 93.625],0
p11,1,0.03622,4.38671,[5 9] ; [73 40],[8.5984252 5.4015748] ; [69.4015748 43.5984252],0
p10,1,0.038637,4.276744,[4 9] ; [68 44],[7.488 5.512] ; [64.512 47.488],0
v3,1,0.046215,3.973754,[ 2 12] ; [44 61],[5.41176471 8.58823529] ; [40.58823529 64.41176471],0
v1,1,0.046371,3.968057,[ 2 12] ; [46 64],[5.41935484 8.58064516] ; [42.58064516 67.41935484],0
p9,1,0.059772,3.543687,[5 8] ; [73 39],[8.112 4.888] ; [69.888 42.112],0
a3,1,0.059772,3.543687,[5 8] ; [73 39],[8.112 4.888] ; [69.888 42.112],0
a4,1,0.062028,3.482319,[ 3 11] ; [53 58],[6.272 7.728] ; [49.728 61.272],0
a7,1,0.084219,2.981537,[6 8] ; [75 38],[8.92913386 5.07086614] ; [72.07086614 40.92913386],0
s2,1,0.104172,2.640476,[ 3 11] ; [49 62],[5.824 8.176] ; [46.176 64.824],0
s5,1,0.113389,2.50634,[ 1 13] ; [28 78],[ 3.38333333 10.61666667] ; [25.61666667 80.38333333],0
s6,1,0.128823,2.306636,[5 9] ; [64 48],[7.66666667 6.33333333] ; [61.33333333 50.66666667],0
s8,1,0.155197,2.020408,[ 3 11] ; [46 66],[5.44444444 8.55555556] ; [43.55555556 68.44444444],0
p8,1,0.171111,1.873186,[ 1 13] ; [26 87],[ 2.97637795 11.02362205] ; [24.02362205 88.97637795],0
a2,1,0.190065,1.717114,[ 1 13] ; [25 88],[ 2.86614173 11.13385827] ; [23.13385827 89.86614173],0
n3,1,0.210228,1.569859,[2 3] ; [24 11],[3.25 1.75] ; [22.75 12.25],0
v2,1,0.21161,1.560378,[4 9] ; [53 55],[6.12396694 6.87603306] ; [50.87603306 57.12396694],0
d4,1,0.217729,1.519276,[8 6] ; [81 30],[9.968 4.032] ; [79.032 31.968],0
d5,1,0.218532,1.513982,[7 7] ; [74 37],[9.072 4.928] ; [71.928 39.072],0
p3,1,0.236724,1.4,[ 3 11] ; [42 70],[5. 9.] ; [40. 72.],0
n6,1,0.239128,1.385728,[9 5] ; [87 24],[10.752  3.248] ; [85.248 25.752],0
u1,1,0.258614,1.27616,[ 1 13] ; [22 91],[ 2.53543307 11.46456693] ; [20.46456693 92.53543307],0
b4,1,0.263072,1.252518,[10  4] ; [63 50],[8.04724409 5.95275591] ; [64.95275591 48.04724409],0
