Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6e-06,20.563481,[ 51 109] ; [41 22],[66.00896861 93.99103139] ; [25.99103139 37.00896861],1
s6,1,8e-06,19.933642,[71 88] ; [49 14],[85.94594595 73.05405405] ; [34.05405405 28.94594595],1
s4,1,0.000933,10.955713,[ 24 136] ; [22 41],[ 33.0044843 126.9955157] ; [12.9955157 50.0044843],1
s7,1,0.003403,8.577478,[ 44 109] ; [30 30],[53.15492958 99.84507042] ; [20.84507042 39.15492958],0
s3,1,0.00399,8.288244,[66 91] ; [40 23],[75.64545455 81.35454545] ; [30.35454545 32.64545455],0
n4,1,0.007361,7.182608,[69 91] ; [15 48],[60.2690583 99.7309417] ; [23.7309417 39.2690583],0
d4,1,0.025659,4.978883,[124  36] ; [57  6],[129.86547085  30.13452915] ; [51.13452915 11.86547085],0
a1,1,0.028431,4.801736,[  3 157] ; [ 5 58],[  5.73991031 154.26008969] ; [ 2.26008969 60.73991031],0
p6,1,0.030795,4.664348,[ 34 122] ; [22 39],[ 40.25806452 115.74193548] ; [15.74193548 45.25806452],0
a6,1,0.032384,4.578057,[106  54] ; [32 31],[99.01345291 60.98654709] ; [38.98654709 24.01345291],0
n1,1,0.0388,4.269593,[10 36] ; [ 9 10],[13.44615385 32.55384615] ; [ 5.55384615 13.44615385],0
p10,1,0.041799,4.143311,[96 62] ; [46 15],[102.44748858  55.55251142] ; [39.55251142 21.44748858],0
b4,1,0.047237,3.936914,[94 66] ; [46 17],[100.44843049  59.55156951] ; [39.55156951 23.44843049],0
p5,1,0.05687,3.626385,[  4 155] ; [ 5 56],[  6.50454545 152.49545455] ; [ 2.49545455 58.50454545],0
d2,1,0.056907,3.625303,[ 59 101] ; [32 31],[65.29147982 94.70852018] ; [25.70852018 37.29147982],0
s8,1,0.061432,3.498293,[ 43 117] ; [25 38],[ 48.78923767 111.21076233] ; [19.21076233 43.78923767],0
u1,1,0.063432,3.445309,[ 14 146] ; [11 52],[ 17.93721973 142.06278027] ; [ 7.06278027 55.93721973],0
d5,1,0.064412,3.419966,[118  41] ; [54  9],[123.18918919  35.81081081] ; [48.81081081 14.18918919],0
p3,1,0.066216,3.374427,[ 56 104] ; [30 32],[61.98198198 98.01801802] ; [24.01801802 37.98198198],0
u2,1,0.073407,3.205137,[36 21] ; [ 9 13],[32.46835443 24.53164557] ; [12.53164557  9.46835443],0
p12,1,0.081712,3.030517,[  3 156] ; [ 4 58],[  5.0361991 153.9638009] ; [ 1.9638009 60.0361991],0
p1,1,0.101219,2.686236,[ 10 148] ; [ 8 53],[ 12.98630137 145.01369863] ; [ 5.01369863 55.98630137],0
p9,1,0.109658,2.559149,[107  51] ; [48 13],[111.82648402  46.17351598] ; [43.17351598 17.82648402],0
r3,1,0.115142,2.48219,[149  11] ; [62  1],[151.39013453   8.60986547] ; [59.60986547  3.39013453],0
s1,1,0.11804,2.443139,[  5 155] ; [ 5 58],[  7.17488789 152.82511211] ; [ 2.82511211 60.17488789],0
d1,1,0.164621,1.931255,[80 80] ; [38 25],[84.66367713 75.33632287] ; [33.33632287 29.66367713],0
a4,1,0.172505,1.861043,[ 53 107] ; [27 36],[ 57.39910314 102.60089686] ; [22.60089686 40.39910314],0
b2,1,0.196628,1.667247,[22 62] ; [14 23],[24.99173554 59.00826446] ; [11.00826446 25.99173554],0
b3,1,0.196628,1.667247,[22 62] ; [14 23],[24.99173554 59.00826446] ; [11.00826446 25.99173554],0
v1,1,0.197799,1.658551,[ 54 101] ; [27 34],[58.125 96.875] ; [22.875 38.125],0
a5,1,0.22974,1.44247,[98 62] ; [44 19],[101.88340807  58.11659193] ; [40.11659193 22.88340807],0
p4,1,0.271754,1.207871,[64 95] ; [30 32],[67.62895928 91.37104072] ; [26.37104072 35.62895928],0
b5,1,0.278582,1.173997,[99 61] ; [34 29],[95.42600897 64.57399103] ; [37.57399103 25.42600897],0
n6,1,0.29767,1.084603,[99 61] ; [43 19],[102.34234234  57.65765766] ; [39.65765766 22.34234234],0
a2,1,0.321775,0.981717,[ 22 138] ; [12 51],[ 24.39461883 135.60538117] ; [ 9.60538117 53.39461883],0
p11,1,0.328382,0.955266,[110  50] ; [39 24],[106.9058296  53.0941704] ; [42.0941704 20.9058296],0
a7,1,0.335804,0.926385,[121  38] ; [44 19],[118.17567568  40.82432432] ; [46.82432432 16.17567568],0
b1,1,0.389057,0.741887,[ 58 102] ; [19 44],[ 55.24663677 104.75336323] ; [21.75336323 41.24663677],0
a8,1,0.393471,0.728188,[ 10 139] ; [ 2 54],[  8.72195122 140.27804878] ; [ 3.27804878 52.72195122],0
u3,1,0.394748,0.724267,[37 20] ; [12 10],[35.35443038 21.64556962] ; [13.64556962  8.35443038],0
r1,1,0.503444,0.447669,[123  37] ; [45 17],[121.08108108  38.91891892] ; [46.91891892 15.08108108],0
n2,1,0.636783,0.222974,[28 17] ; [13  6],[28.828125 16.171875] ; [12.171875  6.828125],0
a3,1,0.675756,0.174943,[101  59] ; [41 21],[102.34234234  57.65765766] ; [39.65765766 22.34234234],0
v2,1,0.693275,0.155563,[76 73] ; [34 29],[77.31132075 71.68867925] ; [32.68867925 30.31132075],0
p2,1,0.719217,0.129244,[121  38] ; [45 16],[119.97272727  39.02727273] ; [46.02727273 14.97272727],0
v3,1,0.763246,0.090734,[ 43 105] ; [19 42],[ 43.90430622 104.09569378] ; [18.09569378 42.90430622],0
