Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1e-06,25.241552,[65 14] ; [ 2 11],[57.5326087 21.4673913] ; [9.4673913 3.5326087],1
r2,1,0.000148,14.393464,[76  2] ; [9 4],[72.85714286  5.14285714] ; [12.14285714  0.85714286],1
r3,1,0.002462,9.168389,[77  2] ; [10  3],[74.70652174  4.29347826] ; [12.29347826  0.70652174],0
v4,1,0.009085,6.806096,[76  3] ; [10  3],[73.84782609  5.15217391] ; [12.15217391  0.84782609],0
n6,1,0.019606,5.446621,[69 10] ; [8 5],[66.11956522 12.88043478] ; [10.88043478  2.11956522],0
s5,1,0.031108,4.646998,[40 32] ; [ 3 10],[36.42352941 35.57647059] ; [6.57647059 6.42352941],0
d4,1,0.032919,4.55,[63 15] ; [7 6],[60. 18.] ; [10.  3.],0
a6,1,0.03632,4.382032,[20 59] ; [7 6],[23.18478261 55.81521739] ; [3.81521739 9.18478261],0
d1,1,0.04325,4.085597,[48 31] ; [4 9],[44.65217391 34.34782609] ; [7.34782609 5.65217391],0
d3,1,0.044325,4.044119,[42 37] ; [ 3 10],[38.64130435 40.35869565] ; [6.35869565 6.64130435],0
p8,1,0.051508,3.791667,[57 21] ; [6 7],[54. 24.] ; [9. 4.],0
p7,1,0.06309,3.454245,[70  9] ; [9 4],[67.83695652 11.16304348] ; [11.16304348  1.83695652],0
p10,1,0.072003,3.236763,[64 13] ; [8 5],[61.6 15.4] ; [10.4  2.6],0
s6,1,0.086314,2.941811,[61 13] ; [8 5],[58.68965517 15.31034483] ; [10.31034483  2.68965517],0
b5,1,0.183946,1.76545,[33 46] ; [8 5],[35.20652174 43.79347826] ; [5.79347826 7.20652174],0
b2,1,0.204168,1.612303,[29 27] ; [3 7],[27.15151515 28.84848485] ; [4.84848485 5.15151515],0
b3,1,0.204168,1.612303,[29 27] ; [3 7],[27.15151515 28.84848485] ; [4.84848485 5.15151515],0
a5,1,0.260902,1.263963,[55 24] ; [7 6],[53.23913043 25.76086957] ; [8.76086957 4.23913043],0
n5,1,0.279567,1.169194,[63 16] ; [12  1],[64.40217391 14.59782609] ; [10.59782609  2.40217391],0
p11,1,0.279567,1.169194,[63 16] ; [12  1],[64.40217391 14.59782609] ; [10.59782609  2.40217391],0
p2,1,0.364354,0.822829,[65 14] ; [12  1],[66.11956522 12.88043478] ; [10.88043478  2.11956522],0
b1,1,0.415925,0.6618,[39 40] ; [8 5],[40.35869565 38.64130435] ; [6.64130435 6.35869565],0
a8,1,0.444936,0.58352,[12 64] ; [ 1 12],[11.1011236 64.8988764] ; [ 1.8988764 11.1011236],0
s4,1,0.477069,0.505556,[19 59] ; [ 2 11],[18. 60.] ; [ 3. 10.],0
s8,1,0.479122,0.50086,[50 28] ; [7 6],[48.85714286 29.14285714] ; [8.14285714 4.85714286],0
v2,1,0.482033,0.494261,[37 41] ; [7 5],[38.13333333 39.86666667] ; [5.86666667 6.13333333],0
d2,1,0.522129,0.409685,[44 35] ; [6 7],[42.93478261 36.06521739] ; [7.06521739 5.93478261],0
n4,1,0.559457,0.340645,[66 13] ; [10  3],[65.26086957 13.73913043] ; [10.73913043  2.26086957],0
u3,1,0.626354,0.237037,[14 13] ; [2 3],[13.5 13.5] ; [2.5 2.5],0
p3,1,0.637591,0.221906,[48 31] ; [7 6],[47.22826087 31.77173913] ; [7.77173913 5.22826087],0
p4,1,0.65418,0.20067,[56 23] ; [10  3],[56.67391304 22.32608696] ; [9.32608696 3.67391304],0
n3,1,0.656005,0.198413,[12  6] ; [4 3],[11.52  6.48] ; [4.48 2.52],0
n1,1,0.658387,0.195489,[ 9 10] ; [4 3],[9.5 9.5] ; [3.5 3.5],0
s7,1,0.688056,0.161198,[52 26] ; [8 3],[52.58426966 25.41573034] ; [7.41573034 3.58426966],0
v3,1,0.729406,0.119658,[34 44] ; [5 8],[33.42857143 44.57142857] ; [5.57142857 7.42857143],0
s2,1,0.757009,0.095735,[45 34] ; [8 5],[45.51086957 33.48913043] ; [7.48913043 5.51086957],0
a3,1,0.763761,0.090328,[52 27] ; [8 5],[51.52173913 27.47826087] ; [8.47826087 4.52173913],0
a4,1,0.797339,0.065942,[39 39] ; [6 7],[38.57142857 39.42857143] ; [6.42857143 6.57142857],0
d5,1,0.822099,0.050556,[64 14] ; [11  2],[64.28571429 13.71428571] ; [10.71428571  2.28571429],0
b4,1,0.829949,0.046125,[40 39] ; [7 6],[40.35869565 38.64130435] ; [6.64130435 6.35869565],0
p5,1,0.836796,0.042433,[14 65] ; [ 2 11],[13.73913043 65.26086957] ; [ 2.26086957 10.73913043],0
a2,1,0.853649,0.034027,[ 5 74] ; [ 1 12],[ 5.15217391 73.84782609] ; [ 0.84782609 12.15217391],0
v1,1,0.868516,0.027405,[41 37] ; [6 6],[40.73333333 37.26666667] ; [6.26666667 5.73333333],0
a1,1,0.889806,0.019196,[ 7 72] ; [ 1 12],[ 6.86956522 72.13043478] ; [ 1.13043478 11.86956522],0
p9,1,0.902662,0.014957,[67 11] ; [11  2],[66.85714286 11.14285714] ; [11.14285714  1.85714286],0
n2,1,0.908433,0.013229,[14  5] ; [5 2],[13.88461538  5.11538462] ; [5.11538462 1.88461538],0
s3,1,0.973272,0.001123,[49 30] ; [8 5],[48.94565217 30.05434783] ; [8.05434783 4.94565217],0
p12,1,0.990075,0.000155,[ 6 71] ; [ 1 12],[ 5.98888889 71.01111111] ; [ 1.01111111 11.98888889],0
