Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.01269,6.211802,[ 3 10] ; [28 17],[6.94827586 6.05172414] ; [24.05172414 20.94827586],0
s4,1,0.033538,4.518126,[ 7 16] ; [ 16 108],[ 3.59863946 19.40136054] ; [ 19.40136054 104.59863946],0
d3,1,0.036462,4.375376,[ 9 13] ; [80 44],[13.4109589  8.5890411] ; [75.5890411 48.4109589],0
p3,1,0.042397,4.119294,[ 4 19] ; [49 75],[ 8.29251701 14.70748299] ; [44.70748299 79.29251701],0
n6,1,0.060337,3.528103,[14  9] ; [98 26],[17.52380952  5.47619048] ; [94.47619048 29.52380952],0
s5,1,0.064164,3.426353,[ 3 20] ; [38 80],[ 6.68794326 16.31205674] ; [34.31205674 83.68794326],0
d1,1,0.06696,3.356012,[ 7 16] ; [64 61],[11.03378378 11.96621622] ; [59.96621622 65.03378378],0
v3,1,0.069834,3.286909,[ 4 19] ; [45 77],[ 7.77241379 15.22758621] ; [41.22758621 80.77241379],0
u1,1,0.069858,3.286364,[ 1 22] ; [ 25 100],[ 4.04054054 18.95945946] ; [ 21.95945946 103.04054054],0
s6,1,0.09808,2.736483,[10 13] ; [75 46],[13.57638889  9.42361111] ; [71.42361111 49.57638889],0
s7,1,0.112927,2.512774,[ 6 14] ; [57 59],[ 9.26470588 10.73529412] ; [53.73529412 62.26470588],0
r4,1,0.130088,2.291455,[14  9] ; [95 30],[16.93918919  6.06081081] ; [92.06081081 32.93918919],0
p6,1,0.132549,2.262398,[ 4 18] ; [42 80],[ 7.02777778 14.97222222] ; [38.97222222 83.02777778],0
r3,1,0.166887,1.910685,[14  8] ; [96 28],[16.57534247  5.42465753] ; [93.42465753 30.57534247],0
r2,1,0.170845,1.875514,[19  4] ; [112  10],[20.77931034  2.22068966] ; [110.22068966  11.77931034],0
a3,1,0.216473,1.527598,[13 10] ; [85 37],[15.54482759  7.45517241] ; [82.45517241 39.54482759],0
s8,1,0.221563,1.494221,[ 6 17] ; [49 75],[ 8.60544218 14.39455782] ; [46.39455782 77.60544218],0
d2,1,0.227216,1.458207,[ 9 14] ; [65 58],[11.65753425 11.34246575] ; [62.34246575 60.65753425],0
u3,1,0.254451,1.298701,[6 4] ; [16 24],[4.4 5.6] ; [17.6 22.4],0
a6,1,0.25782,1.280424,[11 12] ; [75 49],[13.45578231  9.54421769] ; [72.54421769 51.45578231],0
p4,1,0.273851,1.197353,[ 8 15] ; [58 65],[10.39726027 12.60273973] ; [55.60273973 67.39726027],0
p1,1,0.316969,1.001413,[ 1 22] ; [ 14 111],[ 2.33108108 20.66891892] ; [ 12.66891892 112.33108108],0
v4,1,0.319372,0.991517,[20  2] ; [103  22],[18.40816327  3.59183673] ; [104.59183673  20.40816327],0
p10,1,0.335425,0.927838,[10 12] ; [69 53],[12.06944444  9.93055556] ; [66.93055556 55.06944444],0
v2,1,0.342858,0.899715,[ 7 15] ; [52 70],[ 9.01388889 12.98611111] ; [49.98611111 72.01388889],0
a1,1,0.362045,0.830787,[ 1 22] ; [ 13 112],[ 2.17567568 20.82432432] ; [ 11.82432432 113.17567568],0
p8,1,0.362313,0.829862,[ 5 16] ; [42 82],[ 6.80689655 14.19310345] ; [40.19310345 83.80689655],0
d5,1,0.374333,0.789231,[15  8] ; [92 32],[16.7414966  6.2585034] ; [90.2585034 33.7414966],0
p2,1,0.376126,0.783325,[13 10] ; [82 42],[14.86394558  8.13605442] ; [80.13605442 43.86394558],0
d4,1,0.393056,0.729467,[14  8] ; [90 34],[15.67123288  6.32876712] ; [88.32876712 35.67123288],0
a5,1,0.403971,0.696475,[13 10] ; [82 43],[14.76351351  8.23648649] ; [80.23648649 44.76351351],0
a2,1,0.442217,0.590523,[ 4 19] ; [31 94],[ 5.43918919 17.56081081] ; [29.56081081 95.43918919],0
n2,1,0.451926,0.565817,[8 5] ; [34 13],[9.1 3.9] ; [32.9 14.1],0
p9,1,0.472572,0.515956,[12  9] ; [79 42],[13.45774648  7.54225352] ; [77.54225352 43.45774648],0
r1,1,0.472799,0.515428,[15  8] ; [90 34],[16.42857143  6.57142857] ; [88.57142857 35.42857143],0
p7,1,0.497578,0.460098,[ 9 13] ; [59 62],[10.46153846 11.53846154] ; [57.53846154 63.46153846],0
s3,1,0.518549,0.416779,[13 10] ; [61 63],[11.57823129 11.42176871] ; [62.42176871 61.57823129],0
a7,1,0.555251,0.347993,[14  9] ; [84 41],[15.22972973  7.77027027] ; [82.77027027 42.22972973],0
v1,1,0.566206,0.329073,[ 9 14] ; [57 68],[10.25675676 12.74324324] ; [55.74324324 69.25675676],0
a4,1,0.57093,0.321128,[ 9 14] ; [56 67],[10.23972603 12.76027397] ; [54.76027397 68.23972603],0
s2,1,0.592739,0.286087,[ 9 14] ; [56 68],[10.17006803 12.82993197] ; [54.82993197 69.17006803],0
s1,1,0.65151,0.204002,[ 2 20] ; [  8 116],[ 1.50684932 20.49315068] ; [  8.49315068 115.50684932],0
b4,1,0.660801,0.192551,[11 12] ; [66 59],[11.96621622 11.03378378] ; [65.03378378 59.96621622],0
n3,1,0.6915,0.157466,[7 6] ; [27 18],[7.62068966 5.37931034] ; [26.37931034 18.62068966],0
b5,1,0.797206,0.066031,[15  8] ; [78 47],[14.4527027  8.5472973] ; [78.5472973 46.4527027],0
u2,1,0.841061,0.040215,[3 7] ; [13 26],[3.26530612 6.73469388] ; [12.73469388 26.26530612],0
b2,1,0.878577,0.02334,[4 6] ; [27 45],[3.7804878 6.2195122] ; [27.2195122 44.7804878],0
b3,1,0.878577,0.02334,[4 6] ; [27 45],[3.7804878 6.2195122] ; [27.2195122 44.7804878],0
b1,1,0.906704,0.013735,[13 10] ; [69 56],[12.74324324 10.25675676] ; [69.25675676 55.74324324],0
