Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,27.201533,[ 9 42] ; [74 47],[24.61046512 26.38953488] ; [58.38953488 62.61046512],1
a3,1,1e-06,24.678585,[25 25] ; [104  17],[37.71929825 12.28070175] ; [91.28070175 29.71929825],1
d2,1,1e-06,23.83573,[ 9 42] ; [70 50],[23.56140351 27.43859649] ; [55.43859649 64.56140351],1
d1,1,2.8e-05,17.560531,[16 35] ; [80 41],[28.46511628 22.53488372] ; [67.53488372 53.46511628],1
n4,1,0.001395,10.211752,[34 17] ; [105  15],[41.45614035  9.54385965] ; [97.54385965 22.45614035],0
u1,1,0.005375,7.748601,[ 3 48] ; [29 92],[ 9.48837209 41.51162791] ; [22.51162791 98.48837209],0
p9,1,0.011495,6.387086,[37 13] ; [108  13],[42.39766082  7.60233918] ; [102.60233918  18.39766082],0
d5,1,0.01215,6.288902,[33 18] ; [98 21],[39.3 11.7] ; [91.7 27.3],0
a6,1,0.025488,4.990434,[22 29] ; [74 46],[28.63157895 22.36842105] ; [67.36842105 52.63157895],0
n6,1,0.026695,4.910427,[40 11] ; [109  11],[44.43859649  6.56140351] ; [104.56140351  15.43859649],0
s8,1,0.03749,4.328014,[26 25] ; [82 39],[32.02325581 18.97674419] ; [75.97674419 45.02325581],0
p10,1,0.039127,4.255357,[37 14] ; [103  17],[41.75438596  9.24561404] ; [98.24561404 21.75438596],0
n3,1,0.051163,3.802937,[6 9] ; [23 10],[9.0625 5.9375] ; [19.9375 13.0625],0
s6,1,0.082754,3.009975,[37 14] ; [100  19],[41.1  9.9] ; [95.9 23.1],0
n5,1,0.101628,2.679809,[36 15] ; [99 22],[40.02906977 10.97093023] ; [94.97093023 26.02906977],0
d3,1,0.102689,2.66328,[31 20] ; [88 32],[35.49122807 15.50877193] ; [83.50877193 36.49122807],0
d4,1,0.1899,1.718392,[37 14] ; [97 22],[40.2 10.8] ; [93.8 25.2],0
p11,1,0.210187,1.57014,[35 16] ; [94 27],[38.25 12.75] ; [90.75 30.25],0
p5,1,0.231245,1.433187,[ 6 43] ; [24 96],[ 8.69822485 40.30177515] ; [21.30177515 98.69822485],0
p3,1,0.235721,1.406002,[23 28] ; [66 54],[26.54385965 24.45614035] ; [62.45614035 57.54385965],0
a1,1,0.276703,1.183213,[ 1 50] ; [  7 114],[ 2.37209302 48.62790698] ; [  5.62790698 115.37209302],0
r2,1,0.352419,0.864727,[46  5] ; [113   7],[47.42105263  3.57894737] ; [111.57894737   8.42105263],0
n2,1,0.368688,0.808081,[10  5] ; [26  7],[11.25  3.75] ; [24.75  8.25],0
b5,1,0.394115,0.726208,[31 20] ; [65 56],[28.46511628 22.53488372] ; [67.53488372 53.46511628],0
b2,1,0.399803,0.708919,[11 20] ; [38 48],[12.98290598 18.01709402] ; [36.01709402 49.98290598],0
b3,1,0.399803,0.708919,[11 20] ; [38 48],[12.98290598 18.01709402] ; [36.01709402 49.98290598],0
u3,1,0.438988,0.598927,[17  9] ; [13  4],[18.13953488  7.86046512] ; [11.86046512  5.13953488],0
p6,1,0.452137,0.565289,[20 30] ; [56 65],[22.22222222 27.77777778] ; [53.77777778 67.22222222],0
r4,1,0.452152,0.56525,[42  9] ; [105  16],[43.5872093  7.4127907] ; [103.4127907  17.5872093],0
n1,1,0.498679,0.457746,[8 7] ; [21 12],[9.0625 5.9375] ; [19.9375 13.0625],0
r1,1,0.502784,0.449055,[38 13] ; [95 25],[39.66666667 11.33333333] ; [93.33333333 26.66666667],0
b4,1,0.524182,0.405657,[28 23] ; [60 61],[26.09302326 24.90697674] ; [61.90697674 59.09302326],0
v3,1,0.595163,0.282353,[13 36] ; [27 92],[11.66666667 37.33333333] ; [28.33333333 90.66666667],0
r3,1,0.604278,0.268592,[46  5] ; [112   9],[46.84883721  4.15116279] ; [111.15116279   9.84883721],0
v1,1,0.616486,0.250838,[19 32] ; [48 68],[20.46107784 30.53892216] ; [46.53892216 69.46107784],0
v4,1,0.626938,0.236236,[48  3] ; [115   5],[48.61403509  2.38596491] ; [114.38596491   5.61403509],0
a8,1,0.636994,0.222696,[ 5 40] ; [16 99],[ 5.90625 39.09375] ; [15.09375 99.90625],0
u2,1,0.663424,0.189391,[17  9] ; [10  7],[16.3255814  9.6744186] ; [10.6744186  6.3255814],0
b1,1,0.676739,0.17382,[21 30] ; [54 67],[22.23837209 28.76162791] ; [52.76162791 68.23837209],0
s4,1,0.772997,0.083207,[16 35] ; [35 85],[15.21052632 35.78947368] ; [35.78947368 84.21052632],0
p4,1,0.776921,0.080278,[33 18] ; [81 40],[33.80232558 17.19767442] ; [80.19767442 40.80232558],0
s2,1,0.829436,0.046408,[35 16] ; [81 40],[34.39534884 16.60465116] ; [81.60465116 39.39534884],0
p8,1,0.847095,0.037182,[27 24] ; [66 55],[27.5755814 23.4244186] ; [65.4244186 55.5755814],0
a7,1,0.882576,0.021817,[31 20] ; [75 46],[31.43023256 19.56976744] ; [74.56976744 46.43023256],0
s5,1,0.901668,0.015266,[20 30] ; [48 69],[20.35928144 29.64071856] ; [47.64071856 69.35928144],0
s1,1,0.911001,0.012494,[ 4 46] ; [  9 111],[ 3.82352941 46.17647059] ; [  9.17647059 110.82352941],0
s3,1,0.915733,0.011196,[37 14] ; [88 32],[37.28070175 13.71929825] ; [87.71929825 32.28070175],0
p1,1,0.971015,0.00132,[ 6 45] ; [ 14 107],[ 5.93023256 45.06976744] ; [ 14.06976744 106.93023256],0
p7,1,0.976615,0.000859,[31 18] ; [75 44],[30.91666667 18.08333333] ; [75.08333333 43.91666667],0
p2,1,0.997871,7e-06,[43  8] ; [102  19],[42.99418605  8.00581395] ; [102.00581395  18.99418605],0
