Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.008339,6.959197,[ 2 11] ; [14  9],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
b3,1,0.018678,5.531429,[1 8] ; [9 6],[3.75 5.25] ; [6.25 8.75],0
b2,1,0.018678,5.531429,[1 8] ; [9 6],[3.75 5.25] ; [6.25 8.75],0
s5,1,0.029801,4.720761,[5 7] ; [ 2 19],[2.54545455 9.45454545] ; [ 4.45454545 16.54545455],0
s4,1,0.076395,3.139971,[4 8] ; [ 2 20],[2.11764706 9.88235294] ; [ 3.88235294 18.11764706],0
n6,1,0.126645,2.333159,[7 6] ; [18  5],[9.02777778 3.97222222] ; [15.97222222  7.02777778],0
a6,1,0.137111,2.210091,[4 9] ; [13 10],[6.13888889 6.86111111] ; [10.86111111 12.13888889],0
b5,1,0.166356,1.915476,[6 7] ; [16  7],[7.94444444 5.05555556] ; [14.05555556  8.94444444],0
d4,1,0.219901,1.505017,[7 6] ; [17  6],[8.66666667 4.33333333] ; [15.33333333  7.66666667],0
r2,1,0.230744,1.436271,[10  3] ; [21  2],[11.19444444  1.80555556] ; [19.80555556  3.19444444],0
p7,1,0.27737,1.179933,[12  1] ; [18  5],[10.83333333  2.16666667] ; [19.16666667  3.83333333],0
s6,1,0.288212,1.127956,[8 4] ; [11 12],[6.51428571 5.48571429] ; [12.48571429 10.51428571],0
d5,1,0.318725,0.994171,[9 4] ; [12 11],[7.58333333 5.41666667] ; [13.41666667  9.58333333],0
s8,1,0.345976,0.888162,[5 7] ; [ 6 17],[3.77142857 8.22857143] ; [ 7.22857143 15.77142857],0
u3,1,0.390733,0.73666,[4 7] ; [5 4],[4.95 6.05] ; [4.05 4.95],0
u1,1,0.418944,0.653274,[ 1 12] ; [ 4 19],[ 1.80555556 11.19444444] ; [ 3.19444444 19.80555556],0
a8,1,0.512336,0.429293,[ 2 10] ; [ 2 20],[ 1.41176471 10.58823529] ; [ 2.58823529 19.41176471],0
n5,1,0.549495,0.358222,[6 7] ; [13 10],[6.86111111 6.13888889] ; [12.13888889 10.86111111],0
u2,1,0.581989,0.30303,[6 5] ; [6 3],[6.6 4.4] ; [5.4 3.6],0
n2,1,0.583882,0.3,[3 1] ; [7 1],[3.33333333 0.66666667] ; [6.66666667 1.33333333],0
n3,1,0.583882,0.3,[3 1] ; [7 1],[3.33333333 0.66666667] ; [6.66666667 1.33333333],0
v2,1,0.587045,0.294983,[5 8] ; [11 12],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
s7,1,0.618402,0.24812,[4 7] ; [10 12],[4.66666667 6.33333333] ; [ 9.33333333 12.66666667],0
a2,1,0.623627,0.240803,[ 1 12] ; [ 3 20],[ 1.44444444 11.55555556] ; [ 2.55555556 20.44444444],0
r4,1,0.643563,0.214113,[11  2] ; [18  5],[10.47222222  2.52777778] ; [18.52777778  4.47222222],0
p5,1,0.673911,0.177061,[ 1 12] ; [ 1 22],[ 0.72222222 12.27777778] ; [ 1.27777778 21.72222222],0
v3,1,0.678863,0.171409,[ 3 10] ; [ 4 19],[ 2.52777778 10.47222222] ; [ 4.47222222 18.52777778],0
p11,1,0.681393,0.168562,[7 6] ; [14  9],[7.58333333 5.41666667] ; [13.41666667  9.58333333],0
b4,1,0.7286,0.120401,[6 7] ; [12 11],[6.5 6.5] ; [11.5 11.5],0
a4,1,0.73549,0.11413,[3 9] ; [ 7 16],[3.42857143 8.57142857] ; [ 6.57142857 16.42857143],0
p4,1,0.769324,0.086001,[8 5] ; [13 10],[7.58333333 5.41666667] ; [13.41666667  9.58333333],0
d2,1,0.769324,0.086001,[5 8] ; [10 13],[5.41666667 7.58333333] ; [ 9.58333333 13.41666667],0
p8,1,0.769324,0.086001,[8 5] ; [13 10],[7.58333333 5.41666667] ; [13.41666667  9.58333333],0
p3,1,0.769324,0.086001,[5 8] ; [10 13],[5.41666667 7.58333333] ; [ 9.58333333 13.41666667],0
a5,1,0.769324,0.086001,[5 8] ; [10 13],[5.41666667 7.58333333] ; [ 9.58333333 13.41666667],0
b1,1,0.806179,0.060201,[9 4] ; [15  8],[8.66666667 4.33333333] ; [15.33333333  7.66666667],0
r1,1,0.806179,0.060201,[9 4] ; [15  8],[8.66666667 4.33333333] ; [15.33333333  7.66666667],0
n1,1,0.818971,0.052381,[2 2] ; [4 3],[2.18181818 1.81818182] ; [3.81818182 3.18181818],0
n4,1,0.825298,0.048724,[8 5] ; [15  8],[8.30555556 4.69444444] ; [14.69444444  8.30555556],0
d3,1,0.825298,0.048724,[8 5] ; [15  8],[8.30555556 4.69444444] ; [14.69444444  8.30555556],0
d1,1,0.825298,0.048724,[5 8] ; [ 8 15],[4.69444444 8.30555556] ; [ 8.30555556 14.69444444],0
p10,1,0.827375,0.047554,[3 9] ; [ 5 18],[2.74285714 9.25714286] ; [ 5.25714286 17.74285714],0
p1,1,0.845318,0.038062,[ 2 11] ; [ 3 20],[ 1.80555556 11.19444444] ; [ 3.19444444 19.80555556],0
s3,1,0.876681,0.02408,[7 6] ; [13 10],[7.22222222 5.77777778] ; [12.77777778 10.22222222],0
s2,1,0.876681,0.02408,[6 7] ; [10 13],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
r3,1,0.916676,0.010946,[12  1] ; [21  2],[11.91666667  1.08333333] ; [21.08333333  1.91666667],0
p2,1,0.926113,0.0086,[10  3] ; [18  5],[10.11111111  2.88888889] ; [17.88888889  5.11111111],0
v1,1,0.968457,0.001564,[5 8] ; [ 9 14],[5.05555556 7.94444444] ; [ 8.94444444 14.05555556],0
