Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1.7e-05,18.526007,[ 16 362] ; [3 5],[ 18.60621762 359.39378238] ; [0.39378238 7.60621762],1
r1,1,0.000626,11.698024,[318  62] ; [3 5],[314.3814433  65.6185567] ; [6.6185567 1.3814433],1
a5,1,0.006902,7.298221,[267 116] ; [2 6],[263.49616368 119.50383632] ; [5.50383632 2.49616368],0
a4,1,0.048691,3.885961,[182 200] ; [1 7],[179.24615385 202.75384615] ; [3.75384615 4.24615385],0
n3,1,0.073726,3.198046,[87 25] ; [1 2],[85.70434783 26.29565217] ; [2.29565217 0.70434783],0
p4,1,0.090457,2.866229,[171 210] ; [6 2],[173.35989717 207.64010283] ; [3.64010283 4.35989717],0
n2,1,0.101978,2.674332,[85 28] ; [1 2],[83.77586207 29.22413793] ; [2.22413793 0.77586207],0
s7,1,0.102792,2.661674,[166 201] ; [1 6],[163.87433155 203.12566845] ; [3.12566845 3.87433155],0
s2,1,0.136578,2.216101,[195 183] ; [2 6],[192.91709845 185.08290155] ; [4.08290155 3.91709845],0
a3,1,0.203354,1.618123,[271 112] ; [4 4],[269.37340153 113.62659847] ; [5.62659847 2.37340153],0
d4,1,0.212952,1.551241,[306  75] ; [5 3],[304.60411311  76.39588689] ; [6.39588689 1.60411311],0
a8,1,0.214102,1.54347,[ 44 304] ; [2 5],[ 45.09295775 302.90704225] ; [0.90704225 6.09295775],0
p7,1,0.276039,1.186491,[162 213] ; [5 3],[163.51174935 211.48825065] ; [3.48825065 4.51174935],0
s3,1,0.28088,1.162826,[214 164] ; [3 5],[212.50259067 165.49740933] ; [4.49740933 3.50259067],0
p11,1,0.320427,0.987204,[274 109] ; [7 1],[275.25063939 107.74936061] ; [5.74936061 2.25063939],0
d1,1,0.352903,0.862991,[207 176] ; [3 5],[205.70332481 177.29667519] ; [4.29667519 3.70332481],0
s8,1,0.389227,0.741357,[153 229] ; [2 6],[151.82051282 230.17948718] ; [3.17948718 4.82051282],0
v2,1,0.405891,0.690803,[190 173] ; [3 5],[188.83827493 174.16172507] ; [4.16172507 3.83827493],0
b2,1,0.411565,0.674276,[ 90 147] ; [1 4],[ 89.11983471 147.88016529] ; [1.88016529 3.11983471],0
b3,1,0.411565,0.674276,[ 90 147] ; [1 4],[ 89.11983471 147.88016529] ; [1.88016529 3.11983471],0
b1,1,0.448903,0.573419,[146 237] ; [2 6],[144.97186701 238.02813299] ; [3.02813299 4.97186701],0
p10,1,0.475915,0.508209,[278  99] ; [5 3],[277.11948052  99.88051948] ; [5.88051948 2.11948052],0
u3,1,0.489093,0.47852,[74 37] ; [2 2],[73.35652174 37.64347826] ; [2.64347826 1.35652174],0
p9,1,0.511383,0.431236,[294  84] ; [7 1],[294.76165803  83.23834197] ; [6.23834197 1.76165803],0
u2,1,0.537492,0.380207,[65 44] ; [3 1],[65.59292035 43.40707965] ; [2.40707965 1.59292035],0
a7,1,0.567014,0.327704,[274 108] ; [5 3],[273.27692308 108.72307692] ; [5.72307692 2.27692308],0
b5,1,0.576679,0.311635,[251 132] ; [6 2],[251.74168798 131.25831202] ; [5.25831202 2.74168798],0
v1,1,0.587679,0.293984,[175 196] ; [3 5],[174.24274406 196.75725594] ; [3.75725594 4.24274406],0
d3,1,0.599813,0.275278,[252 129] ; [6 2],[252.6940874 128.3059126] ; [5.3059126 2.6940874],0
s5,1,0.602779,0.270825,[106 259] ; [3 5],[106.66219839 258.33780161] ; [2.33780161 5.66219839],0
a6,1,0.639976,0.218773,[268 114] ; [5 3],[267.4 114.6] ; [5.6 2.4],0
n5,1,0.666265,0.186002,[257 122] ; [6 2],[257.56330749 121.43669251] ; [5.43669251 2.56330749],0
d5,1,0.723914,0.124773,[305  76] ; [6 2],[304.60411311  76.39588689] ; [6.39588689 1.60411311],0
p2,1,0.854501,0.033628,[276 107] ; [6 2],[276.23017903 106.76982097] ; [5.76982097 2.23017903],0
b4,1,0.865462,0.028705,[228 155] ; [5 3],[228.23273657 154.76726343] ; [4.76726343 3.23273657],0
v3,1,0.870394,0.02662,[125 235] ; [3 5],[125.2173913 234.7826087] ; [2.7826087 5.2173913],0
n4,1,0.885197,0.020847,[277 104] ; [6 2],[277.17994859 103.82005141] ; [5.82005141 2.17994859],0
s6,1,0.900144,0.015745,[245 134] ; [5 3],[244.83204134 134.16795866] ; [5.16795866 2.83204134],0
p6,1,0.916924,0.01088,[ 89 291] ; [2 6],[ 89.12371134 290.87628866] ; [1.87628866 6.12371134],0
p3,1,0.943962,0.004941,[139 244] ; [3 5],[139.09462916 243.90537084] ; [2.90537084 5.09462916],0
d2,1,0.952999,0.003474,[186 194] ; [4 4],[186.08247423 193.91752577] ; [3.91752577 4.08247423],0
