Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,135.650523,[201 103] ; [ 74 277],[127.63358779 176.36641221] ; [147.36641221 203.63358779],1
s2,1,0.0,133.122956,[226  79] ; [100 247],[152.5 152.5] ; [173.5 173.5],1
s3,1,0.0,74.480695,[224  78] ; [139 205],[169.6996904 132.3003096] ; [193.3003096 150.6996904],1
s6,1,0.0,66.522427,[247  53] ; [180 167],[197.99072643 102.00927357] ; [229.00927357 117.99072643],1
s5,1,0.0,41.296168,[127 167] ; [ 68 277],[ 89.71830986 204.28169014] ; [105.28169014 239.71830986],1
a3,1,0.0,32.912444,[246  58] ; [211 139],[212.42813456  91.57186544] ; [244.57186544 105.42813456],1
u1,1,4e-06,21.328117,[ 76 230] ; [ 39 312],[ 53.56164384 252.43835616] ; [ 61.43835616 289.56164384],1
p4,1,1.7e-05,18.497855,[207  98] ; [179 170],[180.01529052 124.98470948] ; [205.98470948 143.01529052],1
p6,1,2.2e-05,18.041314,[133 169] ; [ 97 249],[107.19135802 194.80864198] ; [122.80864198 223.19135802],1
n4,1,2.3e-05,17.911252,[252  52] ; [240 110],[228.69724771  75.30275229] ; [263.30275229  86.69724771],1
n5,1,5.6e-05,16.243401,[243  59] ; [231 117],[220.22769231  81.77230769] ; [253.77230769  94.22769231],1
p3,1,0.000197,13.863135,[166 139] ; [140 211],[142.27134146 162.72865854] ; [163.72865854 187.27134146],1
a2,1,0.000263,13.314443,[ 92 214] ; [ 63 288],[ 72.19178082 233.80821918] ; [ 82.80821918 268.19178082],1
a5,1,0.000284,13.172107,[242  64] ; [233 118],[221.23287671  84.76712329] ; [253.76712329  97.23287671],1
s4,1,0.000391,12.57686,[ 71 233] ; [ 44 302],[ 53.78461538 250.21538462] ; [ 61.21538462 284.78461538],1
v3,1,0.000559,11.907526,[129 170] ; [102 238],[108.08920188 190.91079812] ; [122.91079812 217.08920188],1
d2,1,0.001241,10.428641,[164 142] ; [143 206],[143.42290076 162.57709924] ; [163.57709924 185.42290076],0
p10,1,0.001317,10.319122,[263  40] ; [268  80],[247.14746544  55.85253456] ; [283.85253456  64.14746544],0
p7,1,0.001522,10.051912,[216  81] ; [210 135],[197.07476636  99.92523364] ; [228.92523364 116.07476636],0
p9,1,0.002007,9.542995,[273  30] ; [283  64],[259.18153846  43.81846154] ; [296.81846154  50.18153846],0
