Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.7e-05,17.641017,[ 2 22] ; [42 31],[10.88659794 13.11340206] ; [33.11340206 39.88659794],1
r3,1,0.000122,14.767009,[10 14] ; [60 13],[17.31958763  6.68041237] ; [52.68041237 20.31958763],1
p2,1,0.000323,12.933645,[ 7 16] ; [52 20],[14.28421053  8.71578947] ; [44.71578947 27.28421053],1
p9,1,0.002162,9.406245,[10 13] ; [55 16],[15.90425532  7.09574468] ; [49.09574468 21.90425532],0
r2,1,0.003264,8.653598,[11 12] ; [58 15],[16.53125  6.46875] ; [52.46875 20.53125],0
p8,1,0.007171,7.229615,[ 3 21] ; [30 40],[ 8.42553191 15.57446809] ; [24.57446809 45.42553191],0
u2,1,0.020946,5.331301,[ 2 13] ; [15 16],[5.54347826 9.45652174] ; [11.45652174 19.54347826],0
n6,1,0.049322,3.864369,[13 11] ; [55 18],[16.82474227  7.17525773] ; [51.17525773 21.82474227],0
a3,1,0.076523,3.137255,[ 9 15] ; [42 30],[12.75 11.25] ; [38.25 33.75],0
p7,1,0.077036,3.126357,[ 8 16] ; [39 33],[11.75 12.25] ; [35.25 36.75],0
u3,1,0.079523,3.074616,[ 2 13] ; [12 19],[ 4.56521739 10.43478261] ; [ 9.43478261 21.56521739],0
p11,1,0.082863,3.007827,[11 13] ; [48 25],[14.59793814  9.40206186] ; [44.40206186 28.59793814],0
p10,1,0.084126,2.983323,[ 9 14] ; [43 29],[12.58947368 10.41052632] ; [39.41052632 32.58947368],0
s5,1,0.084804,2.970334,[ 2 21] ; [18 52],[ 4.94623656 18.05376344] ; [15.05376344 54.94623656],0
s6,1,0.08606,2.946572,[ 7 17] ; [35 36],[10.61052632 13.38947368] ; [31.38947368 39.61052632],0
p6,1,0.101766,2.677648,[ 3 19] ; [22 48],[ 5.97826087 16.02173913] ; [19.02173913 50.97826087],0
d5,1,0.111416,2.534023,[10 14] ; [44 29],[13.36082474 10.63917526] ; [40.63917526 32.36082474],0
s7,1,0.131521,2.274457,[ 5 19] ; [26 43],[ 8. 16.] ; [23. 46.],0
s2,1,0.156786,2.00495,[ 6 18] ; [30 43],[ 8.90721649 15.09278351] ; [27.09278351 45.90721649],0
b3,1,0.157695,1.996189,[ 8 11] ; [11 34],[ 5.640625 13.359375] ; [13.359375 31.640625],0
b2,1,0.157695,1.996189,[ 8 11] ; [11 34],[ 5.640625 13.359375] ; [13.359375 31.640625],0
n2,1,0.160237,1.971989,[5 5] ; [25  9],[6.81818182 3.18181818] ; [23.18181818 10.81818182],0
p4,1,0.174404,1.844676,[ 8 16] ; [35 36],[10.86315789 13.13684211] ; [32.13684211 38.86315789],0
s3,1,0.176207,1.829323,[ 7 16] ; [33 38],[ 9.78723404 13.21276596] ; [30.21276596 40.78723404],0
n1,1,0.184413,1.761697,[6 4] ; [12 21],[4.18604651 5.81395349] ; [13.81395349 19.18604651],0
s8,1,0.1962,1.670436,[ 4 20] ; [22 51],[ 6.43298969 17.56701031] ; [19.56701031 53.43298969],0
v2,1,0.277631,1.178648,[ 6 17] ; [27 43],[ 8.16129032 14.83870968] ; [24.83870968 45.16129032],0
n3,1,0.307841,1.039916,[5 5] ; [23 11],[6.36363636 3.63636364] ; [21.63636364 12.36363636],0
s4,1,0.34929,0.876033,[ 6 18] ; [12 61],[ 4.45360825 19.54639175] ; [13.54639175 59.45360825],0
v1,1,0.356335,0.850767,[ 6 18] ; [25 46],[ 7.83157895 16.16842105] ; [23.16842105 47.83157895],0
a5,1,0.377224,0.779728,[10 14] ; [38 35],[11.87628866 12.12371134] ; [36.12371134 36.87628866],0
p5,1,0.402184,0.701786,[ 1 23] ; [ 7 66],[ 1.97938144 22.02061856] ; [ 6.02061856 66.97938144],0
n4,1,0.416085,0.661347,[17  7] ; [45 28],[15.34020619  8.65979381] ; [46.65979381 26.34020619],0
v3,1,0.451414,0.567099,[ 4 19] ; [18 54],[ 5.32631579 17.67368421] ; [16.67368421 55.32631579],0
p1,1,0.461276,0.542797,[ 4 20] ; [ 8 65],[ 2.96907216 21.03092784] ; [ 9.03092784 63.96907216],0
a4,1,0.491279,0.473725,[ 7 16] ; [28 45],[ 8.38541667 14.61458333] ; [26.61458333 46.38541667],0
a8,1,0.586775,0.29541,[ 1 23] ; [ 5 63],[ 1.56521739 22.43478261] ; [ 4.43478261 63.56521739],0
a2,1,0.614618,0.253504,[ 2 22] ; [ 4 69],[ 1.48453608 22.51546392] ; [ 4.51546392 68.48453608],0
d3,1,0.678346,0.171994,[ 9 15] ; [24 49],[ 8.16494845 15.83505155] ; [24.83505155 48.16494845],0
a6,1,0.682171,0.167692,[10 14] ; [27 46],[ 9.15463918 14.84536082] ; [27.84536082 45.15463918],0
n5,1,0.72093,0.127604,[18  6] ; [52 21],[17.31958763  6.68041237] ; [52.68041237 20.31958763],0
s1,1,0.726117,0.122707,[ 1 23] ; [ 2 71],[ 0.74226804 23.25773196] ; [ 2.25773196 70.74226804],0
p12,1,0.734861,0.114695,[ 1 23] ; [ 2 70],[ 0.75 23.25] ; [ 2.25 69.75],0
b1,1,0.770686,0.08496,[12 12] ; [39 34],[12.6185567 11.3814433] ; [38.3814433 34.6185567],0
d2,1,0.843403,0.039023,[10 13] ; [33 39],[10.41052632 12.58947368] ; [32.58947368 39.41052632],0
b4,1,0.857353,0.032308,[13 11] ; [38 35],[12.6185567 11.3814433] ; [38.3814433 34.6185567],0
p3,1,0.901264,0.015392,[ 8 16] ; [25 47],[ 8.25 15.75] ; [24.75 47.25],0
d1,1,0.93471,0.006711,[ 8 16] ; [25 48],[ 8.16494845 15.83505155] ; [24.83505155 48.16494845],0
d4,1,0.94519,0.004726,[14 10] ; [42 31],[13.8556701 10.1443299] ; [42.1443299 30.8556701],0
b5,1,0.953572,0.00339,[12 12] ; [37 36],[12.12371134 11.87628866] ; [36.87628866 36.12371134],0
a1,1,0.985929,0.000311,[ 2 22] ; [ 6 67],[ 1.97938144 22.02061856] ; [ 6.02061856 66.97938144],0
