Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,24.288651,[27 48] ; [ 4 79],[14.71518987 60.28481013] ; [16.28481013 66.71518987],1
p8,1,1.1e-05,19.314954,[44 32] ; [20 64],[30.4 45.6] ; [33.6 50.4],1
p3,1,0.001765,9.779348,[30 47] ; [14 69],[21.175 55.825] ; [22.825 60.175],0
p2,1,0.002365,9.242153,[62 14] ; [50 34],[53.2 22.8] ; [58.8 25.2],0
p4,1,0.00663,7.370449,[36 41] ; [22 62],[27.73913043 49.26086957] ; [30.26086957 53.73913043],0
n3,1,0.061657,3.492239,[18  4] ; [24 17],[14.66666667  7.33333333] ; [27.33333333 13.66666667],0
p1,1,0.123173,2.376504,[ 1 75] ; [ 5 79],[ 2.85 73.15] ; [ 3.15 80.85],0
r4,1,0.141985,2.156311,[61 16] ; [58 26],[56.91304348 20.08695652] ; [62.08695652 21.91304348],0
s6,1,0.149573,2.076605,[38 37] ; [33 51],[33.49056604 41.50943396] ; [37.50943396 46.49056604],0
s2,1,0.178913,1.806631,[28 49] ; [22 61],[24.0625 52.9375] ; [25.9375 57.0625],0
a1,1,0.201177,1.633806,[ 5 72] ; [ 2 82],[ 3.34782609 73.65217391] ; [ 3.65217391 80.34782609],0
b1,1,0.218903,1.511546,[30 47] ; [25 59],[26.30434783 50.69565217] ; [28.69565217 55.30434783],0
a5,1,0.22688,1.460317,[44 33] ; [40 44],[40.17391304 36.82608696] ; [43.82608696 40.17391304],0
p11,1,0.227859,1.454177,[52 25] ; [49 35],[48.30434783 28.69565217] ; [52.69565217 31.30434783],0
s3,1,0.229441,1.444323,[31 44] ; [27 57],[27.35849057 47.64150943] ; [30.64150943 53.35849057],0
a7,1,0.262043,1.257932,[47 29] ; [59 25],[50.35 25.65] ; [55.65 28.35],0
r3,1,0.274067,1.19628,[71  6] ; [73 11],[68.86956522  8.13043478] ; [75.13043478  8.86956522],0
u3,1,0.32164,0.982264,[15 17] ; [24 17],[17.09589041 14.90410959] ; [21.90410959 19.09589041],0
a2,1,0.342396,0.901438,[ 5 72] ; [ 9 75],[ 6.69565217 70.30434783] ; [ 7.30434783 76.69565217],0
v1,1,0.355507,0.853702,[29 45] ; [27 57],[26.2278481 47.7721519] ; [29.7721519 54.2278481],0
p10,1,0.365819,0.817817,[49 28] ; [47 36],[46.2 30.8] ; [49.8 33.2],0
u2,1,0.388437,0.743829,[17 16] ; [17 24],[15.16216216 17.83783784] ; [18.83783784 22.16216216],0
v4,1,0.398485,0.712893,[70  6] ; [74 10],[68.4  7.6] ; [75.6  8.4],0
d1,1,0.410568,0.677156,[29 48] ; [37 47],[31.56521739 45.43478261] ; [34.43478261 49.56521739],0
n1,1,0.423003,0.641956,[ 3 19] ; [ 9 32],[ 4.19047619 17.80952381] ; [ 7.80952381 33.19047619],0
a6,1,0.434772,0.610043,[43 34] ; [52 32],[45.43478261 31.56521739] ; [49.56521739 34.43478261],0
d5,1,0.436919,0.60436,[49 27] ; [59 25],[51.3 24.7] ; [56.7 27.3],0
s8,1,0.472736,0.515575,[11 65] ; [ 9 75],[ 9.5 66.5] ; [10.5 73.5],0
a3,1,0.494819,0.46603,[43 33] ; [43 41],[40.85 35.15] ; [45.15 38.85],0
s4,1,0.562506,0.335384,[12 65] ; [16 68],[13.39130435 63.60869565] ; [14.60869565 69.39130435],0
a8,1,0.565139,0.330884,[ 3 69] ; [ 2 78],[ 2.36842105 69.63157895] ; [ 2.63157895 77.36842105],0
v2,1,0.567227,0.327345,[35 38] ; [36 47],[33.22435897 39.77564103] ; [37.77564103 45.22435897],0
p12,1,0.579843,0.306488,[ 3 74] ; [ 2 82],[ 2.39130435 74.60869565] ; [ 2.60869565 81.39130435],0
a4,1,0.608903,0.261776,[22 55] ; [21 63],[20.56521739 56.43478261] ; [22.43478261 61.56521739],0
u1,1,0.608948,0.26171,[ 4 73] ; [ 6 78],[ 4.7826087 72.2173913] ; [ 5.2173913 78.7826087],0
n6,1,0.609738,0.260557,[50 26] ; [52 32],[48.45 27.55] ; [53.55 30.45],0
b4,1,0.628165,0.234557,[42 35] ; [49 35],[43.52173913 33.47826087] ; [47.47826087 36.52173913],0
r1,1,0.636296,0.22362,[51 26] ; [52 31],[49.56875 27.43125] ; [53.43125 29.56875],0
