Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.00022,13.65,[13 13] ; [77 14],[20.  6.] ; [70. 21.],1
p9,1,0.000852,11.125174,[15 12] ; [77 13],[21.23076923  5.76923077] ; [70.76923077 19.23076923],1
r4,1,0.001178,10.52523,[18  9] ; [85  8],[23.175  3.825] ; [79.825 13.175],0
n6,1,0.00433,8.140124,[17 10] ; [81 12],[22.05  4.95] ; [75.95 17.05],0
v4,1,0.005041,7.864823,[22  5] ; [90  3],[25.2  1.8] ; [86.8  6.2],0
b4,1,0.005448,7.72442,[ 9 18] ; [59 34],[15.3 11.7] ; [52.7 40.3],0
r3,1,0.008096,7.012147,[21  6] ; [87  5],[24.50420168  2.49579832] ; [83.49579832  8.50420168],0
n3,1,0.023808,5.108586,[7 5] ; [15  1],[9.42857143 2.57142857] ; [12.57142857  3.42857143],0
s1,1,0.027369,4.867403,[ 4 23] ; [ 3 87],[ 1.61538462 25.38461538] ; [ 5.38461538 84.61538462],0
p2,1,0.034541,4.467712,[16 11] ; [73 19],[20.19327731  6.80672269] ; [68.80672269 23.19327731],0
s8,1,0.043722,4.067247,[ 4 23] ; [32 59],[ 8.23728814 18.76271186] ; [27.76271186 63.23728814],0
v2,1,0.061163,3.50557,[ 9 18] ; [49 42],[13.27118644 13.72881356] ; [44.72881356 46.27118644],0
b1,1,0.077077,3.125481,[15 12] ; [34 59],[11.025 15.975] ; [37.975 55.025],0
a6,1,0.081851,3.02775,[14 13] ; [65 28],[17.775  9.225] ; [61.225 31.775],0
r1,1,0.100843,2.692155,[17 10] ; [73 20],[20.25  6.75] ; [69.75 23.25],0
a3,1,0.175856,1.832302,[11 14] ; [55 38],[13.98305085 11.01694915] ; [52.01694915 40.98305085],0
u3,1,0.176271,1.828789,[6 9] ; [23 15],[8.20754717 6.79245283] ; [20.79245283 17.20754717],0
p4,1,0.198835,1.650914,[10 16] ; [48 43],[12.88888889 13.11111111] ; [45.11111111 45.88888889],0
u2,1,0.211094,1.56391,[5 9] ; [21 17],[7. 7.] ; [19. 19.],0
n4,1,0.214087,1.543572,[15 12] ; [63 29],[17.69747899  9.30252101] ; [60.30252101 31.69747899],0
a2,1,0.215426,1.534581,[ 1 26] ; [11 82],[ 2.7 24.3] ; [ 9.3 83.7],0
s7,1,0.228038,1.453058,[ 9 18] ; [40 46],[11.7079646 15.2920354] ; [37.2920354 48.7079646],0
p8,1,0.233412,1.41995,[11 15] ; [50 40],[13.67241379 12.32758621] ; [47.32758621 42.67241379],0
s4,1,0.252431,1.309801,[ 3 24] ; [19 72],[ 5.03389831 21.96610169] ; [16.96610169 74.03389831],0
n5,1,0.264218,1.246521,[16 11] ; [65 27],[18.37815126  8.62184874] ; [62.62184874 29.37815126],0
s5,1,0.266269,1.23587,[ 5 21] ; [27 62],[ 7.23478261 18.76521739] ; [24.76521739 64.23478261],0
a4,1,0.314438,1.011943,[ 4 22] ; [23 70],[ 5.89915966 20.10084034] ; [21.10084034 71.89915966],0
p5,1,0.322355,0.979367,[ 2 24] ; [14 78],[ 3.52542373 22.47457627] ; [12.47457627 79.52542373],0
p6,1,0.348707,0.878157,[ 8 19] ; [36 55],[10.06779661 16.93220339] ; [33.93220339 57.06779661],0
d4,1,0.360999,0.834416,[13 14] ; [54 39],[15.075 11.925] ; [51.925 41.075],0
s6,1,0.414905,0.6647,[14 13] ; [54 35],[15.82758621 11.17241379] ; [52.17241379 36.82758621],0
n2,1,0.435678,0.607639,[11  1] ; [13  3],[10.28571429  1.71428571] ; [13.71428571  2.28571429],0
p3,1,0.456281,0.555003,[ 9 18] ; [38 54],[10.66386555 16.33613445] ; [36.33613445 55.66386555],0
a8,1,0.461251,0.542857,[ 4 20] ; [10 80],[ 2.94736842 21.05263158] ; [11.05263158 78.94736842],0
p7,1,0.517776,0.41832,[15 12] ; [55 33],[16.43478261 10.56521739] ; [53.56521739 34.43478261],0
n1,1,0.581206,0.304289,[6 5] ; [7 9],[5.2962963 5.7037037] ; [7.7037037 8.2962963],0
d2,1,0.628211,0.234495,[ 7 20] ; [20 73],[ 6.075 20.925] ; [20.925 72.075],0
b3,1,0.663521,0.189274,[4 9] ; [19 32],[4.671875 8.328125] ; [18.328125 32.671875],0
b2,1,0.663521,0.189274,[4 9] ; [19 32],[4.671875 8.328125] ; [18.328125 32.671875],0
r2,1,0.690823,0.158196,[24  3] ; [85  8],[24.525  2.475] ; [84.475  8.525],0
b5,1,0.692761,0.156113,[16 11] ; [59 34],[16.875 10.125] ; [58.125 34.875],0
p1,1,0.693984,0.154806,[ 4 23] ; [11 81],[ 3.40336134 23.59663866] ; [11.59663866 80.40336134],0
d3,1,0.708771,0.139507,[14 13] ; [52 41],[14.85 12.15] ; [51.15 41.85],0
s2,1,0.760848,0.092639,[12 15] ; [43 47],[12.69230769 14.30769231] ; [42.30769231 47.69230769],0
s3,1,0.769277,0.086037,[15 11] ; [49 41],[14.34482759 11.65517241] ; [49.65517241 40.34482759],0
v1,1,0.839018,0.04127,[12 15] ; [42 48],[12.46153846 14.53846154] ; [41.53846154 48.46153846],0
v3,1,0.84429,0.038576,[10 17] ; [36 56],[10.43697479 16.56302521] ; [35.56302521 56.43697479],0
a1,1,0.891229,0.0187,[ 1 26] ; [ 4 89],[ 1.125 25.875] ; [ 3.875 89.125],0
a5,1,0.911731,0.012289,[16 11] ; [54 39],[15.75 11.25] ; [54.25 38.75],0
