Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.9e-05,16.926435,[23  5] ; [ 3 13],[16.54545455 11.45454545] ; [9.45454545 6.54545455],1
s7,1,0.020123,5.401235,[19  8] ; [ 5 10],[15.42857143 11.57142857] ; [8.57142857 6.42857143],0
s8,1,0.023828,5.107143,[15 13] ; [ 3 13],[11.45454545 16.54545455] ; [6.54545455 9.45454545],0
p11,1,0.038182,4.296875,[21  7] ; [7 9],[17.81818182 10.18181818] ; [10.18181818  5.81818182],0
a3,1,0.038182,4.296875,[21  7] ; [7 9],[17.81818182 10.18181818] ; [10.18181818  5.81818182],0
n6,1,0.046758,3.954063,[20  7] ; [7 9],[16.95348837 10.04651163] ; [10.04651163  5.95348837],0
p9,1,0.050304,3.831293,[22  6] ; [8 8],[19.09090909  8.90909091] ; [10.90909091  5.09090909],0
p10,1,0.063177,3.451944,[21  7] ; [7 8],[18.23255814  9.76744186] ; [9.76744186 5.23255814],0
b4,1,0.098099,2.736173,[16 12] ; [ 5 11],[13.36363636 14.63636364] ; [7.63636364 8.36363636],0
p2,1,0.112724,2.515605,[23  5] ; [9 6],[20.8372093  7.1627907] ; [11.1627907  3.8372093],0
u3,1,0.13057,2.285714,[2 5] ; [6 3],[3.5 3.5] ; [4.5 4.5],0
v2,1,0.136583,2.216038,[16 12] ; [ 5 10],[13.6744186 14.3255814] ; [7.3255814 7.6744186],0
d3,1,0.160237,1.971989,[15 13] ; [12  4],[17.18181818 10.81818182] ; [9.81818182 6.18181818],0
v3,1,0.177883,1.815226,[ 9 19] ; [ 2 13],[ 7.1627907 20.8372093] ; [ 3.8372093 11.1627907],0
s4,1,0.198959,1.65,[ 7 21] ; [7 9],[ 8.90909091 19.09090909] ; [ 5.09090909 10.90909091],0
s6,1,0.198959,1.65,[21  7] ; [9 7],[19.09090909  8.90909091] ; [10.90909091  5.09090909],0
p6,1,0.236212,1.403061,[12 16] ; [ 4 12],[10.18181818 17.81818182] ; [ 5.81818182 10.18181818],0
n3,1,0.2524,1.309972,[5 8] ; [4 2],[6.15789474 6.84210526] ; [2.84210526 3.15789474],0
a5,1,0.276981,1.181845,[17 11] ; [7 9],[15.27272727 12.72727273] ; [8.72727273 7.27272727],0
a7,1,0.276981,1.181845,[11 17] ; [9 7],[12.72727273 15.27272727] ; [7.27272727 8.72727273],0
u2,1,0.280425,1.165029,[2 5] ; [5 4],[3.0625 3.9375] ; [3.9375 5.0625],0
a6,1,0.324583,0.970391,[15 13] ; [11  5],[16.54545455 11.45454545] ; [9.45454545 6.54545455],0
a4,1,0.337276,0.920759,[ 9 19] ; [ 3 13],[ 7.63636364 20.36363636] ; [ 4.36363636 11.63636364],0
n1,1,0.372374,0.795726,[ 2 11] ; [2 4],[ 2.73684211 10.26315789] ; [1.26315789 4.73684211],0
b2,1,0.430412,0.621711,[ 5 14] ; [1 7],[ 4.22222222 14.77777778] ; [1.77777778 6.22222222],0
b3,1,0.430412,0.621711,[ 5 14] ; [1 7],[ 4.22222222 14.77777778] ; [1.77777778 6.22222222],0
d4,1,0.469221,0.52381,[20  8] ; [13  3],[21.  7.] ; [12.  4.],0
p8,1,0.483869,0.490131,[10 18] ; [7 8],[11.06976744 16.93023256] ; [5.93023256 9.06976744],0
p7,1,0.508332,0.4375,[15 13] ; [9 5],[16. 12.] ; [8. 6.],0
s1,1,0.552098,0.353571,[ 2 26] ; [ 2 14],[ 2.54545455 25.45454545] ; [ 1.45454545 14.54545455],0
r2,1,0.570435,0.321955,[15 10] ; [11  5],[15.85365854  9.14634146] ; [10.14634146  5.85365854],0
b5,1,0.598469,0.277311,[18 10] ; [9 7],[17.18181818 10.81818182] ; [9.81818182 6.18181818],0
a1,1,0.620236,0.245536,[ 3 25] ; [ 1 15],[ 2.54545455 25.45454545] ; [ 1.45454545 14.54545455],0
r1,1,0.634153,0.226471,[ 7 21] ; [ 3 13],[ 6.36363636 21.63636364] ; [ 3.63636364 12.36363636],0
n2,1,0.636982,0.222711,[10  3] ; [4 2],[9.57894737 3.42105263] ; [4.42105263 1.57894737],0
p5,1,0.645981,0.211005,[ 1 27] ; [ 1 14],[ 1.30232558 26.69767442] ; [ 0.69767442 14.30232558],0
s5,1,0.663911,0.188808,[ 7 19] ; [ 5 10],[ 7.6097561 18.3902439] ; [ 4.3902439 10.6097561],0
p4,1,0.689691,0.15942,[14 14] ; [9 7],[14.63636364 13.36363636] ; [8.36363636 7.63636364],0
v1,1,0.734547,0.114977,[10 16] ; [7 9],[10.52380952 15.47619048] ; [6.47619048 9.52380952],0
s3,1,0.785671,0.07395,[22  6] ; [12  4],[21.63636364  6.36363636] ; [12.36363636  3.63636364],0
r3,1,0.785671,0.07395,[22  6] ; [12  4],[21.63636364  6.36363636] ; [12.36363636  3.63636364],0
d1,1,0.819524,0.052056,[13 15] ; [8 8],[13.36363636 14.63636364] ; [7.63636364 8.36363636],0
b1,1,0.819524,0.052056,[13 15] ; [8 8],[13.36363636 14.63636364] ; [7.63636364 8.36363636],0
p3,1,0.863711,0.029464,[13 15] ; [7 9],[12.72727273 15.27272727] ; [7.27272727 8.72727273],0
d2,1,0.906842,0.013694,[11 17] ; [ 6 10],[10.81818182 17.18181818] ; [6.18181818 9.81818182],0
d5,1,0.951226,0.003741,[19  9] ; [11  5],[19.09090909  8.90909091] ; [10.90909091  5.09090909],0
v4,1,1.0,0.0,[18  9] ; [10  5],[18.  9.] ; [10.  5.],0
