Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.002658,9.028572,[ 1 34] ; [11 27],[ 5.75342466 29.24657534] ; [ 6.24657534 31.75342466],0
a3,1,0.003635,8.457663,[13 22] ; [27 11],[19.17808219 15.82191781] ; [20.82191781 17.17808219],0
n5,1,0.00855,6.914486,[22 13] ; [33  4],[26.73611111  8.26388889] ; [28.26388889  8.73611111],0
a7,1,0.012148,6.289073,[19 16] ; [31  7],[23.97260274 11.02739726] ; [26.02739726 11.97260274],0
r4,1,0.014682,5.954217,[26  9] ; [36  2],[29.7260274  5.2739726] ; [32.2739726  5.7260274],0
p4,1,0.014696,5.952596,[16 19] ; [28 10],[21.09589041 13.90410959] ; [22.90410959 15.09589041],0
n4,1,0.0205,5.368798,[21 14] ; [32  6],[25.4109589  9.5890411] ; [27.5890411 10.4109589],0
v3,1,0.026347,4.933092,[13 22] ; [24 14],[17.73972603 17.26027397] ; [19.26027397 18.73972603],0
p9,1,0.040146,4.211694,[26  9] ; [35  3],[29.24657534  5.75342466] ; [31.75342466  6.24657534],0
s2,1,0.060613,3.520537,[18 17] ; [11 26],[14.09722222 20.90277778] ; [14.90277778 22.09722222],0
p6,1,0.061595,3.493898,[10 25] ; [19 19],[13.90410959 21.09589041] ; [15.09589041 22.90410959],0
d2,1,0.064215,3.425025,[ 4 31] ; [11 27],[ 7.19178082 27.80821918] ; [ 7.80821918 30.19178082],0
b2,1,0.090043,2.873597,[ 2 13] ; [11 18],[ 4.43181818 10.56818182] ; [ 8.56818182 20.43181818],0
b3,1,0.090043,2.873597,[ 2 13] ; [11 18],[ 4.43181818 10.56818182] ; [ 8.56818182 20.43181818],0
p10,1,0.103465,2.651305,[25 10] ; [33  5],[27.80821918  7.19178082] ; [30.19178082  7.80821918],0
r1,1,0.114254,2.49437,[24 11] ; [32  6],[26.84931507  8.15068493] ; [29.15068493  8.84931507],0
r2,1,0.128027,2.31627,[30  4] ; [37  1],[31.63888889  2.36111111] ; [35.36111111  2.63888889],0
p8,1,0.131132,2.279058,[15 20] ; [23 15],[18.21917808 16.78082192] ; [19.78082192 18.21917808],0
a5,1,0.138276,2.197037,[18 17] ; [26 12],[21.09589041 13.90410959] ; [22.90410959 15.09589041],0
p5,1,0.168606,1.895298,[ 2 33] ; [ 6 32],[ 3.83561644 31.16438356] ; [ 4.16438356 33.83561644],0
p1,1,0.168606,1.895298,[ 2 33] ; [ 6 32],[ 3.83561644 31.16438356] ; [ 4.16438356 33.83561644],0
n6,1,0.173411,1.853208,[26  9] ; [33  5],[28.28767123  6.71232877] ; [30.71232877  7.28767123],0
v1,1,0.17488,1.840602,[17 17] ; [25 13],[19.83333333 14.16666667] ; [22.16666667 15.83333333],0
p11,1,0.187228,1.739299,[25 10] ; [32  6],[27.32876712  7.67123288] ; [29.67123288  8.32876712],0
b4,1,0.204995,1.606424,[16 19] ; [23 15],[18.69863014 16.30136986] ; [20.30136986 17.69863014],0
p7,1,0.213728,1.54599,[21 14] ; [28 10],[23.49315068 11.50684932] ; [25.50684932 12.49315068],0
u3,1,0.218143,1.516544,[ 9 13] ; [7 4],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
r3,1,0.265254,1.241127,[32  3] ; [37  1],[33.08219178  1.91780822] ; [35.91780822  2.08219178],0
a6,1,0.318685,0.994334,[20 15] ; [26 12],[22.05479452 12.94520548] ; [23.94520548 14.05479452],0
d3,1,0.320138,0.988382,[14 21] ; [11 27],[11.98630137 23.01369863] ; [13.01369863 24.98630137],0
s3,1,0.348766,0.87794,[19 16] ; [16 21],[17.01388889 17.98611111] ; [17.98611111 19.01388889],0
a8,1,0.372533,0.795198,[ 4 30] ; [ 2 33],[ 2.95652174 31.04347826] ; [ 3.04347826 31.95652174],0
s7,1,0.410955,0.676036,[16 16] ; [14 21],[14.32835821 17.67164179] ; [15.67164179 19.32835821],0
d5,1,0.424996,0.63646,[18 17] ; [16 22],[16.30136986 18.69863014] ; [17.69863014 20.30136986],0
b1,1,0.441477,0.592442,[16 19] ; [14 24],[14.38356164 20.61643836] ; [15.61643836 22.38356164],0
p2,1,0.489548,0.477519,[29  6] ; [29  9],[27.80821918  7.19178082] ; [30.19178082  7.80821918],0
n1,1,0.494125,0.467532,[4 8] ; [3 3],[4.66666667 7.33333333] ; [2.33333333 3.66666667],0
n2,1,0.553516,0.351056,[12  1] ; [5 1],[11.63157895  1.36842105] ; [5.36842105 0.63157895],0
s8,1,0.599801,0.275296,[15 20] ; [14 24],[13.90410959 21.09589041] ; [15.09589041 22.90410959],0
u1,1,0.604919,0.267641,[ 1 34] ; [ 2 36],[ 1.43835616 33.56164384] ; [ 1.56164384 36.43835616],0
d1,1,0.604919,0.267641,[ 1 34] ; [ 2 36],[ 1.43835616 33.56164384] ; [ 1.56164384 36.43835616],0
s6,1,0.668032,0.183913,[21 13] ; [21 16],[20.11267606 13.88732394] ; [21.88732394 15.11267606],0
s5,1,0.703793,0.144556,[ 9 26] ; [11 26],[ 9.72222222 25.27777778] ; [10.27777778 26.72222222],0
v4,1,0.737368,0.112453,[32  2] ; [35  3],[31.63888889  2.36111111] ; [35.36111111  2.63888889],0
s4,1,0.90188,0.0152,[ 4 31] ; [ 4 34],[ 3.83561644 31.16438356] ; [ 4.16438356 33.83561644],0
b5,1,0.933193,0.007027,[19 16] ; [21 17],[19.17808219 15.82191781] ; [20.82191781 17.17808219],0
u2,1,1.0,0.0,[10 12] ; [5 6],[10. 12.] ; [5. 6.],0
