Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.003997,8.285304,[36 17] ; [ 7 15],[30.38666667 22.61333333] ; [12.61333333  9.38666667],0
p2,1,0.006947,7.286646,[44 12] ; [11 12],[38.98734177 17.01265823] ; [16.01265823  6.98734177],0
p8,1,0.049347,3.863498,[23 34] ; [ 4 19],[19.2375 37.7625] ; [ 7.7625 15.2375],0
p1,1,0.082295,3.018983,[ 3 54] ; [ 4 19],[ 4.9875 52.0125] ; [ 2.0125 20.9875],0
a7,1,0.083448,2.996441,[29 27] ; [ 7 16],[25.51898734 30.48101266] ; [10.48101266 12.51898734],0
b2,1,0.132147,2.267104,[12 19] ; [ 3 14],[ 9.6875 21.3125] ; [ 5.3125 11.6875],0
b3,1,0.132147,2.267104,[12 19] ; [ 3 14],[ 9.6875 21.3125] ; [ 5.3125 11.6875],0
n5,1,0.141598,2.160501,[37 19] ; [19  4],[39.69620253 16.30379747] ; [16.30379747  6.69620253],0
p12,1,0.144359,2.130867,[ 1 55] ; [ 2 21],[ 2.12658228 53.87341772] ; [ 0.87341772 22.12658228],0
a8,1,0.15909,1.982854,[ 1 50] ; [ 2 20],[ 2.09589041 48.90410959] ; [ 0.90410959 21.09589041],0
u1,1,0.161568,1.959488,[ 4 53] ; [ 4 19],[ 5.7 51.3] ; [ 2.3 20.7],0
b4,1,0.180433,1.79405,[33 24] ; [17  6],[35.625 21.375] ; [14.375  8.625],0
s5,1,0.222539,1.487923,[ 6 48] ; [ 5 18],[ 7.71428571 46.28571429] ; [ 3.28571429 19.71428571],0
p11,1,0.229689,1.442787,[34 23] ; [17  6],[36.3375 20.6625] ; [14.6625  8.3375],0
d3,1,0.241801,1.370064,[33 24] ; [10 13],[30.6375 26.3625] ; [12.3625 10.6375],0
a5,1,0.304402,1.054811,[30 27] ; [15  8],[32.0625 24.9375] ; [12.9375 10.0625],0
n2,1,0.319837,0.989611,[20  9] ; [4 4],[18.81081081 10.18918919] ; [5.18918919 2.81081081],0
s1,1,0.335337,0.928179,[ 2 55] ; [ 2 21],[ 2.85 54.15] ; [ 1.15 21.85],0
v1,1,0.342529,0.900941,[16 38] ; [ 9 13],[17.76315789 36.23684211] ; [ 7.23684211 14.76315789],0
s2,1,0.347298,0.883303,[17 40] ; [ 9 13],[18.75949367 38.24050633] ; [ 7.24050633 14.75949367],0
n4,1,0.35718,0.847785,[36 21] ; [17  6],[37.7625 19.2375] ; [15.2375  7.7625],0
d1,1,0.37509,0.786733,[26 31] ; [ 8 15],[24.225 32.775] ; [ 9.775 13.225],0
d4,1,0.378206,0.776524,[42 14] ; [15  8],[40.40506329 15.59493671] ; [16.59493671  6.40506329],0
u3,1,0.407016,0.6875,[ 9 15] ; [2 7],[ 8. 16.] ; [3. 6.],0
u2,1,0.407016,0.6875,[ 9 15] ; [2 7],[ 8. 16.] ; [3. 6.],0
p9,1,0.501763,0.451206,[36 19] ; [12  9],[34.73684211 20.26315789] ; [13.26315789  7.73684211],0
d5,1,0.517965,0.417944,[39 18] ; [14  9],[37.7625 19.2375] ; [15.2375  7.7625],0
p6,1,0.52013,0.413636,[14 42] ; [ 4 18],[12.92307692 43.07692308] ; [ 5.07692308 16.92307692],0
n3,1,0.532706,0.389227,[17 12] ; [5 2],[17.72222222 11.27777778] ; [4.27777778 2.72222222],0
v3,1,0.560239,0.339291,[16 41] ; [ 5 18],[14.9625 42.0375] ; [ 6.0375 16.9625],0
a2,1,0.646023,0.210951,[ 7 50] ; [ 2 21],[ 6.4125 50.5875] ; [ 2.5875 20.4125],0
s7,1,0.655151,0.199468,[21 33] ; [ 7 14],[20.16 33.84] ; [ 7.84 13.16],0
a3,1,0.76028,0.093094,[32 24] ; [14  9],[32.60759494 23.39240506] ; [13.39240506  9.60759494],0
p3,1,0.774748,0.081893,[20 36] ; [ 9 14],[20.55696203 35.44303797] ; [ 8.44303797 14.55696203],0
