Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,92.333215,[323   4] ; [17 11],[313.18309859  13.81690141] ; [26.81690141  1.18309859],1
r2,1,0.0,88.654652,[322   4] ; [18 11],[312.22535211  13.77464789] ; [27.77464789  1.22535211],1
r1,1,0.0,85.004962,[287  38] ; [ 7 24],[268.3988764  56.6011236] ; [25.6011236  5.3988764],1
a7,1,0.000159,14.26534,[244  81] ; [14 18],[234.87394958  90.12605042] ; [23.12605042  8.87394958],1
r3,1,0.001992,9.55714,[319   8] ; [27  4],[316.03910615  10.96089385] ; [29.96089385  1.03910615],0
n4,1,0.004449,8.090766,[270  55] ; [20 12],[264.00560224  60.99439776] ; [25.99439776  6.00560224],0
a2,1,0.006069,7.529786,[ 94 233] ; [ 2 30],[ 87.44289694 239.55710306] ; [ 8.55710306 23.44289694],0
n6,1,0.006724,7.345333,[282  41] ; [20  9],[277.11931818  45.88068182] ; [24.88068182  4.11931818],0
s6,1,0.007346,7.186277,[277  45] ; [21 10],[271.83002833  50.16997167] ; [26.16997167  4.83002833],0
s3,1,0.010349,6.573767,[283  40] ; [22  9],[278.29096045  44.70903955] ; [26.70903955  4.29096045],0
u1,1,0.010396,6.565685,[ 73 254] ; [ 1 31],[ 67.40389972 259.59610028] ; [ 6.59610028 25.40389972],0
s7,1,0.014512,5.974758,[218  94] ; [15 16],[211.94169096 100.05830904] ; [21.05830904  9.94169096],0
a5,1,0.016367,5.763053,[255  71] ; [19 13],[249.50837989  76.49162011] ; [24.49162011  7.50837989],0
n3,1,0.017867,5.609191,[47 15] ; [5 7],[43.56756757 18.43243243] ; [8.43243243 3.56756757],0
p10,1,0.018654,5.533705,[279  43] ; [22  9],[274.56657224  47.43342776] ; [26.43342776  4.56657224],0
n1,1,0.020201,5.394427,[32 28] ; [ 2 10],[28.33333333 31.66666667] ; [5.66666667 6.33333333],0
u2,1,0.026311,4.935478,[51 26] ; [3 7],[47.79310345 29.20689655] ; [6.20689655 3.79310345],0
s8,1,0.02666,4.912711,[207 118] ; [14 18],[201.19047619 123.80952381] ; [19.80952381 12.19047619],0
p9,1,0.029967,4.711169,[283  37] ; [24  8],[279.09090909  40.90909091] ; [27.90909091  4.09090909],0
d4,1,0.033461,4.522012,[285  38] ; [24  8],[281.14647887  41.85352113] ; [27.85352113  4.14647887],0
p8,1,0.035051,4.442669,[173 148] ; [11 21],[167.32011331 153.67988669] ; [16.67988669 15.32011331],0
a4,1,0.038273,4.292829,[154 172] ; [ 9 23],[148.4301676 177.5698324] ; [14.5698324 17.4301676],0
d1,1,0.044368,4.042504,[212 115] ; [15 17],[206.76601671 120.23398329] ; [20.23398329 11.76601671],0
p11,1,0.076777,3.131841,[259  68] ; [21 11],[255.04178273  71.95821727] ; [24.95821727  7.04178273],0
d2,1,0.080002,3.064868,[174 150] ; [12 20],[169.28089888 154.71910112] ; [16.71910112 15.28089888],0
b3,1,0.101365,2.683942,[ 94 120] ; [ 5 15],[ 90.53846154 123.46153846] ; [ 8.46153846 11.53846154],0
b2,1,0.101365,2.683942,[ 94 120] ; [ 5 15],[ 90.53846154 123.46153846] ; [ 8.46153846 11.53846154],0
p12,1,0.102338,2.668728,[ 42 281] ; [ 1 31],[ 39.12394366 283.87605634] ; [ 3.87605634 28.12394366],0
d3,1,0.116582,2.462653,[226  98] ; [18 14],[222.06741573 101.93258427] ; [21.93258427 10.06741573],0
p4,1,0.121374,2.399497,[215 107] ; [17 15],[211.02824859 110.97175141] ; [20.97175141 11.02824859],0
p6,1,0.122913,2.379808,[135 185] ; [ 9 23],[130.90909091 189.09090909] ; [13.09090909 18.90909091],0
p3,1,0.129083,2.3035,[176 146] ; [13 19],[171.91525424 150.08474576] ; [17.08474576 14.91525424],0
d5,1,0.129924,2.293408,[268  56] ; [23  9],[264.84269663  59.15730337] ; [26.15730337  5.84269663],0
