Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.3e-05,18.965777,[ 7 22] ; [36 12],[16.19480519 12.80519481] ; [26.80519481 21.19480519],1
b5,1,3.1e-05,17.34897,[ 7 22] ; [35 13],[15.81818182 13.18181818] ; [26.18181818 21.81818182],1
b1,1,0.001601,9.958872,[17 12] ; [11 37],[10.54545455 18.45454545] ; [17.45454545 30.54545455],0
u1,1,0.005762,7.623152,[ 1 28] ; [14 34],[ 5.64935065 23.35064935] ; [ 9.35064935 38.64935065],0
d3,1,0.007178,7.227969,[16 13] ; [40  8],[21.09090909  7.90909091] ; [34.90909091 13.09090909],0
a2,1,0.019607,5.446595,[ 2 27] ; [14 34],[ 6.02597403 22.97402597] ; [ 9.97402597 38.02597403],0
r4,1,0.04333,4.082481,[25  4] ; [47  1],[27.11688312  1.88311688] ; [44.88311688  3.11688312],0
s2,1,0.046616,3.959205,[20  9] ; [42  6],[23.35064935  5.64935065] ; [38.64935065  9.35064935],0
p9,1,0.057201,3.616739,[24  5] ; [45  2],[26.32894737  2.67105263] ; [42.67105263  4.32894737],0
n1,1,0.06176,3.489492,[6 7] ; [1 9],[3.95652174 9.04347826] ; [3.04347826 6.95652174],0
r1,1,0.073479,3.203541,[19 10] ; [40  8],[22.22077922  6.77922078] ; [36.77922078 11.22077922],0
u2,1,0.096401,2.764103,[6 3] ; [4 9],[4.09090909 4.90909091] ; [5.90909091 7.09090909],0
n6,1,0.107733,2.587162,[22  7] ; [43  5],[24.48051948  4.51948052] ; [40.51948052  7.48051948],0
r3,1,0.119137,2.42863,[26  3] ; [46  1],[27.47368421  1.52631579] ; [44.52631579  2.47368421],0
a5,1,0.120759,2.407455,[19 10] ; [39  9],[21.84415584  7.15584416] ; [36.15584416 11.84415584],0
p8,1,0.142251,2.153441,[18 10] ; [22 25],[14.93333333 13.06666667] ; [25.06666667 21.93333333],0
v2,1,0.179155,1.804617,[11 17] ; [26 21],[13.81333333 14.18666667] ; [23.18666667 23.81333333],0
p10,1,0.211948,1.55807,[23  6] ; [43  5],[24.85714286  4.14285714] ; [41.14285714  6.85714286],0
s3,1,0.217156,1.523068,[20  9] ; [39  9],[22.22077922  6.77922078] ; [36.77922078 11.22077922],0
p3,1,0.227816,1.454446,[18 11] ; [23 25],[15.44155844 13.55844156] ; [25.55844156 22.44155844],0
a4,1,0.227816,1.454446,[18 11] ; [23 25],[15.44155844 13.55844156] ; [25.55844156 22.44155844],0
p1,1,0.238444,1.389772,[ 5 24] ; [ 4 44],[ 3.38961039 25.61038961] ; [ 5.61038961 42.38961039],0
d2,1,0.302744,1.062069,[18 11] ; [24 24],[15.81818182 13.18181818] ; [26.18181818 21.81818182],0
d4,1,0.337042,0.921651,[23  6] ; [42  6],[24.48051948  4.51948052] ; [40.51948052  7.48051948],0
n3,1,0.340144,0.90989,[8 5] ; [8 2],[9.04347826 3.95652174] ; [6.95652174 3.04347826],0
