Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,39.726916,[ 24 354] ; [20 42],[ 37.8 340.2] ; [ 6.2 55.8],1
s5,1,0.0,26.432377,[118 247] ; [37 17],[135.02386635 229.97613365] ; [19.97613365 34.02386635],1
p8,1,1.1e-05,19.390511,[193 176] ; [51 11],[208.90023202 160.09976798] ; [35.09976798 26.90023202],1
p12,1,1.4e-05,18.813604,[ 29 346] ; [16 46],[ 38.61556064 336.38443936] ; [ 6.38443936 55.61556064],1
p3,1,2.4e-05,17.860256,[193 183] ; [49 12],[208.21967963 167.78032037] ; [33.78032037 27.21967963],1
p4,1,7.5e-05,15.692983,[242 132] ; [55  6],[255.35172414 118.64827586] ; [41.64827586 19.35172414],1
a1,1,7.5e-05,15.680408,[ 17 361] ; [11 51],[ 24.05454545 353.94545455] ; [ 3.94545455 58.05454545],1
n3,1,0.000443,12.343551,[58 16] ; [3 8],[53.10588235 20.89411765] ; [7.89411765 3.10588235],1
v1,1,0.002371,9.237314,[205 166] ; [45 14],[215.69767442 155.30232558] ; [34.30232558 24.69767442],0
p6,1,0.005134,7.831577,[151 220] ; [36 24],[160.9675174 210.0324826] ; [26.0324826 33.9675174],0
n5,1,0.005606,7.67283,[323  53] ; [61  1],[329.64383562  46.35616438] ; [54.35616438  7.64383562],0
s6,1,0.007658,7.111841,[248 124] ; [48  9],[256.67132867 115.32867133] ; [39.32867133 17.67132867],0
s7,1,0.009532,6.720356,[194 167] ; [43 17],[203.22327791 157.77672209] ; [33.77672209 26.22327791],0
p7,1,0.011058,6.45592,[239 131] ; [48 11],[247.52913753 122.47086247] ; [39.47086247 19.52913753],0
n1,1,0.024996,5.024159,[27 46] ; [8 3],[30.41666667 42.58333333] ; [4.58333333 6.41666667],0
s1,1,0.032363,4.57919,[ 10 361] ; [ 5 57],[ 12.852194 358.147806] ; [ 2.147806 59.852194],0
v3,1,0.037534,4.325999,[162 200] ; [35 24],[169.39192399 192.60807601] ; [27.60807601 31.39192399],0
s8,1,0.038963,4.262491,[190 185] ; [39 21],[197.4137931 177.5862069] ; [31.5862069 28.4137931],0
u4,1,0.040901,4.180132,[ 11 367] ; [ 5 56],[ 13.77676538 364.22323462] ; [ 2.22323462 58.77676538],0
p9,1,0.045194,4.011386,[320  52] ; [59  3],[324.85714286  47.14285714] ; [54.14285714  7.85714286],0
a3,1,0.045203,4.011066,[307  69] ; [57  5],[312.47488584  63.52511416] ; [51.52511416 10.47488584],0
b5,1,0.04855,3.890837,[233 145] ; [30 32],[225.94090909 152.05909091] ; [37.05909091 24.94090909],0
r2,1,0.05384,3.717651,[361   8] ; [57  4],[358.70232558  10.29767442] ; [59.29767442  1.70232558],0
s3,1,0.06342,3.445619,[212 158] ; [42 18],[218.55813953 151.44186047] ; [35.44186047 24.55813953],0
s2,1,0.078946,3.086464,[204 170] ; [40 20],[210.26728111 163.73271889] ; [33.73271889 26.26728111],0
p10,1,0.086438,2.939499,[313  62] ; [57  5],[317.50572082  57.49427918] ; [52.49427918  9.50572082],0
a2,1,0.127522,2.322415,[148 230] ; [18 44],[142.60909091 235.39090909] ; [23.39090909 38.60909091],0
b2,1,0.1318,2.271174,[ 91 152] ; [24 25],[ 95.70205479 147.29794521] ; [19.29794521 29.70205479],0
b3,1,0.1318,2.271174,[ 91 152] ; [24 25],[ 95.70205479 147.29794521] ; [19.29794521 29.70205479],0
r3,1,0.17068,1.876963,[360  16] ; [55  5],[357.88990826  18.11009174] ; [57.11009174  2.88990826],0
n6,1,0.175383,1.836316,[337  40] ; [57  3],[339.90389016  37.09610984] ; [54.09610984  5.90389016],0
a7,1,0.233122,1.421712,[288  89] ; [43 19],[284.25284738  92.74715262] ; [46.74715262 15.25284738],0
p11,1,0.24497,1.351767,[306  72] ; [54  8],[309.27272727  68.72727273] ; [50.72727273 11.27272727],0
v2,1,0.270623,1.213586,[234 135] ; [33 26],[230.19392523 138.80607477] ; [36.80607477 22.19392523],0
u3,1,0.327747,0.957779,[41 30] ; [4 1],[42.03947368 28.96052632] ; [2.96052632 2.03947368],0
b1,1,0.3292,0.952041,[146 232] ; [28 34],[149.48181818 228.51818182] ; [24.51818182 37.48181818],0
p2,1,0.346501,0.886231,[316  61] ; [54  7],[318.47031963  58.52968037] ; [51.52968037  9.47031963],0
d5,1,0.363094,0.827163,[370   6] ; [59  2],[369.11670481   6.88329519] ; [59.88329519  1.11670481],0
a4,1,0.364161,0.823493,[235 141] ; [35 27],[231.78082192 144.21917808] ; [38.21917808 23.78082192],0
s4,1,0.41043,0.677555,[ 54 318] ; [11 48],[ 56.10208817 315.89791183] ; [ 8.89791183 50.10208817],0
r4,1,0.422185,0.644224,[347  31] ; [55  7],[345.35454545  32.64545455] ; [56.64545455  5.35454545],0
n2,1,0.503117,0.448355,[55 20] ; [7 4],[54.06976744 20.93023256] ; [7.93023256 3.06976744],0
a6,1,0.541578,0.372623,[279  97] ; [43 18],[277.05263158  98.94736842] ; [44.94736842 16.05263158],0
b4,1,0.703926,0.144419,[222 156] ; [38 24],[223.36363636 154.63636364] ; [36.63636364 25.36363636],0
a5,1,0.73757,0.112274,[329  49] ; [53  9],[328.17272727  49.82727273] ; [53.82727273  8.17272727],0
d3,1,0.827031,0.047747,[330  47] ; [54  7],[330.52054795  46.47945205] ; [53.47945205  7.52054795],0
a8,1,0.872108,0.025915,[ 53 279] ; [ 8 45],[ 52.6025974 279.3974026] ; [ 8.3974026 44.6025974],0
d4,1,0.902355,0.015052,[368   7] ; [60  1],[368.11926606   6.88073394] ; [59.88073394  1.11926606],0
u1,1,0.904799,0.014304,[113 265] ; [19 43],[113.4 264.6] ; [18.6 43.4],0
d2,1,0.921218,0.009781,[286  88] ; [47 14],[286.30344828  87.69655172] ; [46.69655172 14.30344828],0
r1,1,0.935496,0.00655,[322  54] ; [52  9],[321.79405034  54.20594966] ; [52.20594966  8.79405034],0
u2,1,0.950029,0.003928,[41 29] ; [3 2],[41.06666667 28.93333333] ; [2.93333333 2.06666667],0
v4,1,0.989555,0.000171,[358  19] ; [57  3],[358.02059497  18.97940503] ; [56.97940503  3.02059497],0
