Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,33.898304,[192  53] ; [12 25],[177.23404255  67.76595745] ; [26.76595745 10.23404255],1
s3,1,0.0,28.446023,[183  59] ; [12 25],[169.13978495  72.86021505] ; [25.86021505 11.13978495],1
s7,1,1e-06,23.942689,[169  66] ; [11 25],[156.08856089  78.91143911] ; [23.91143911 12.08856089],1
s8,1,0.001296,10.34816,[151  93] ; [13 25],[141.90070922 102.09929078] ; [22.09929078 15.90070922],0
b5,1,0.00154,10.02987,[139 107] ; [11 27],[129.92957746 116.07042254] ; [20.07042254 17.92957746],0
p9,1,0.016272,5.773192,[221  21] ; [29  8],[216.84587814  25.15412186] ; [33.15412186  3.84587814],0
s4,1,0.023074,5.162913,[ 67 174] ; [ 4 34],[ 61.3297491 179.6702509] ; [ 9.6702509 28.3297491],0
d3,1,0.036102,4.392265,[182  63] ; [22 16],[176.60777385  68.39222615] ; [27.39222615 10.60777385],0
n5,1,0.100581,2.696299,[191  54] ; [25 13],[186.99646643  58.00353357] ; [29.00353357  8.99646643],0
r4,1,0.120403,2.412065,[235  11] ; [34  4],[233.00704225  12.99295775] ; [35.99295775  2.00704225],0
p4,1,0.134217,2.243041,[168  75] ; [21 16],[164.025  78.975] ; [24.975 12.025],0
a5,1,0.142114,2.154914,[200  46] ; [27 11],[196.62676056  49.37323944] ; [30.37323944  7.62676056],0
p12,1,0.152039,2.051671,[ 34 212] ; [ 2 35],[ 31.29328622 214.70671378] ; [ 4.70671378 32.29328622],0
a2,1,0.164886,1.928833,[ 72 174] ; [ 7 31],[ 68.42957746 177.57042254] ; [10.57042254 27.42957746],0
u3,1,0.183937,1.765521,[36 18] ; [5 6],[34.06153846 19.93846154] ; [6.93846154 4.06153846],0
b3,1,0.19822,1.655441,[62 85] ; [14 11],[64.95348837 82.04651163] ; [11.04651163 13.95348837],0
b2,1,0.19822,1.655441,[62 85] ; [14 11],[64.95348837 82.04651163] ; [11.04651163 13.95348837],0
b1,1,0.202536,1.623993,[ 90 156] ; [18 20],[ 93.54929577 152.45070423] ; [14.45070423 23.54929577],0
a7,1,0.204031,1.613284,[174  72] ; [23 15],[170.64084507  75.35915493] ; [26.35915493 11.64084507],0
p6,1,0.251563,1.314602,[116 126] ; [14 23],[112.75985663 129.24014337] ; [17.24014337 19.75985663],0
r1,1,0.251613,1.314326,[210  34] ; [30  8],[207.65957447  36.34042553] ; [32.34042553  5.65957447],0
v2,1,0.278379,1.174987,[142  98] ; [26 12],[145.03597122  94.96402878] ; [22.96402878 15.03597122],0
n6,1,0.314111,1.01331,[218  25] ; [32  6],[216.19217082  26.80782918] ; [33.80782918  4.19217082],0
a4,1,0.317704,0.998374,[125 121] ; [16 22],[122.13380282 123.86619718] ; [18.86619718 19.13380282],0
a8,1,0.354202,0.858346,[ 33 191] ; [ 3 31],[ 31.25581395 192.74418605] ; [ 4.74418605 29.25581395],0
p11,1,0.386485,0.749972,[192  54] ; [32  6],[194.02816901  51.97183099] ; [29.97183099  8.02816901],0
v4,1,0.4111,0.675616,[238   7] ; [35  2],[237.18085106   7.81914894] ; [35.81914894  1.18085106],0
r2,1,0.434763,0.610066,[237   7] ; [36  2],[236.21276596   7.78723404] ; [36.78723404  1.21276596],0
p2,1,0.459724,0.546567,[207  39] ; [32  4],[208.4893617  37.5106383] ; [30.5106383  5.4893617],0
a3,1,0.462783,0.539156,[192  53] ; [27 10],[190.26595745  54.73404255] ; [28.73404255  8.26595745],0
u1,1,0.481336,0.495834,[ 58 188] ; [ 7 31],[ 56.3028169 189.6971831] ; [ 8.6971831 29.3028169],0
n2,1,0.496116,0.463235,[46 10] ; [5 2],[45.33333333 10.66666667] ; [5.66666667 1.33333333],0
d4,1,0.497144,0.461029,[215  29] ; [32  6],[213.71631206  30.28368794] ; [33.28368794  4.71631206],0
v1,1,0.51852,0.416837,[149  95] ; [24 12],[150.75714286  93.24285714] ; [22.24285714 13.75714286],0
p8,1,0.562617,0.335193,[143  99] ; [20 17],[141.38351254 100.61648746] ; [21.61648746 15.38351254],0
b4,1,0.602458,0.271305,[151  95] ; [25 13],[152.45070423  93.54929577] ; [23.54929577 14.45070423],0
n1,1,0.688202,0.161039,[27 28] ; [4 3],[27.5 27.5] ; [3.5 3.5],0
p1,1,0.71972,0.128761,[ 28 216] ; [ 5 32],[ 28.65480427 215.34519573] ; [ 4.34519573 32.65480427],0
n4,1,0.732965,0.116406,[186  58] ; [28 10],[185.16312057  58.83687943] ; [28.83687943  9.16312057],0
