Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5e-06,20.926339,[19 13] ; [ 1 27],[10.66666667 21.33333333] ; [ 9.33333333 18.66666667],1
d4,1,0.00596,7.56248,[27  5] ; [15 14],[22.03278689  9.96721311] ; [19.96721311  9.03278689],0
d5,1,0.007667,7.109655,[24  8] ; [12 17],[18.8852459 13.1147541] ; [17.1147541 11.8852459],0
p11,1,0.009044,6.81402,[17 15] ; [ 6 23],[12.06557377 19.93442623] ; [10.93442623 18.06557377],0
p10,1,0.009209,6.78179,[16 16] ; [ 5 23],[11.2 20.8] ; [ 9.8 18.2],0
p9,1,0.010274,6.586841,[18 13] ; [ 7 21],[13.13559322 17.86440678] ; [11.86440678 16.13559322],0
p2,1,0.012995,6.169854,[16 15] ; [ 6 23],[11.36666667 19.63333333] ; [10.63333333 18.36666667],0
p1,1,0.015184,5.895019,[ 1 31] ; [ 7 22],[ 4.19672131 27.80327869] ; [ 3.80327869 25.19672131],0
s6,1,0.019585,5.448525,[13 19] ; [ 4 25],[ 8.91803279 23.08196721] ; [ 8.08196721 20.91803279],0
n3,1,0.019935,5.417605,[8 3] ; [ 4 11],[5.07692308 5.92307692] ; [6.92307692 8.07692308],0
a7,1,0.026538,4.920638,[19 13] ; [ 9 20],[14.68852459 17.31147541] ; [13.31147541 15.68852459],0
a1,1,0.031597,4.620248,[ 1 31] ; [ 6 23],[ 3.67213115 28.32786885] ; [ 3.32786885 25.67213115],0
r2,1,0.036342,4.380964,[22  8] ; [13 15],[18.10344828 11.89655172] ; [16.89655172 11.10344828],0
n6,1,0.041462,4.157029,[17 14] ; [ 8 20],[13.13559322 17.86440678] ; [11.86440678 16.13559322],0
b4,1,0.058677,3.574391,[24  8] ; [15 14],[20.45901639 11.54098361] ; [18.54098361 10.45901639],0
r1,1,0.073524,3.202547,[16 16] ; [ 8 21],[12.59016393 19.40983607] ; [11.40983607 17.59016393],0
n5,1,0.081455,3.035625,[15 17] ; [20  9],[18.36065574 13.63934426] ; [16.63934426 12.36065574],0
b5,1,0.094322,2.799014,[19 13] ; [11 18],[15.73770492 16.26229508] ; [14.26229508 14.73770492],0
v3,1,0.104957,2.628562,[ 2 29] ; [ 6 23],[ 4.13333333 26.86666667] ; [ 3.86666667 25.13333333],0
s2,1,0.10541,2.621718,[10 22] ; [ 4 25],[ 7.3442623 24.6557377] ; [ 6.6557377 22.3442623],0
d1,1,0.132551,2.262375,[16 16] ; [ 9 20],[13.1147541 18.8852459] ; [11.8852459 17.1147541],0
u2,1,0.161178,1.963141,[4 9] ; [ 1 11],[ 2.6 10.4] ; [2.4 9.6],0
s1,1,0.178602,1.809216,[ 2 30] ; [ 5 24],[ 3.67213115 28.32786885] ; [ 3.32786885 25.67213115],0
n2,1,0.193931,1.6875,[7 5] ; [ 5 10],[5.33333333 6.66666667] ; [6.66666667 8.33333333],0
s5,1,0.203772,1.615128,[ 7 24] ; [ 3 26],[ 5.16666667 25.83333333] ; [ 4.83333333 24.16666667],0
p8,1,0.225082,1.471671,[ 7 24] ; [ 3 25],[ 5.25423729 25.74576271] ; [ 4.74576271 23.25423729],0
p4,1,0.260415,1.26655,[12 20] ; [ 7 22],[ 9.96721311 22.03278689] ; [ 9.03278689 19.96721311],0
s7,1,0.273124,1.200988,[ 8 22] ; [ 4 23],[ 6.31578947 23.68421053] ; [ 5.68421053 21.31578947],0
n4,1,0.30615,1.047212,[18 14] ; [20  9],[19.93442623 12.06557377] ; [18.06557377 10.93442623],0
s3,1,0.328782,0.953689,[13 19] ; [ 8 20],[11.2 20.8] ; [ 9.8 18.2],0
a4,1,0.360241,0.837054,[ 9 23] ; [11 17],[10.66666667 21.33333333] ; [ 9.33333333 18.66666667],0
d3,1,0.372844,0.794165,[18 14] ; [13 16],[16.26229508 15.73770492] ; [14.73770492 14.26229508],0
a6,1,0.384987,0.754717,[13 19] ; [15 14],[14.68852459 17.31147541] ; [13.31147541 15.68852459],0
d2,1,0.427186,0.630462,[17 15] ; [12 16],[15.46666667 16.53333333] ; [13.53333333 14.46666667],0
a8,1,0.464774,0.534374,[ 4 27] ; [ 2 26],[ 3.15254237 27.84745763] ; [ 2.84745763 25.15254237],0
b1,1,0.499833,0.455292,[16 16] ; [17 12],[17.31147541 14.68852459] ; [15.68852459 13.31147541],0
a5,1,0.547975,0.360957,[19 13] ; [15 14],[17.83606557 14.16393443] ; [16.16393443 12.83606557],0
n1,1,0.795012,0.0675,[5 7] ; [7 8],[5.33333333 6.66666667] ; [6.66666667 8.33333333],0
p3,1,0.818623,0.052586,[ 8 24] ; [ 8 21],[ 8.39344262 23.60655738] ; [ 7.60655738 21.39344262],0
s4,1,0.86478,0.029,[ 5 27] ; [ 5 24],[ 5.24590164 26.75409836] ; [ 4.75409836 24.24590164],0
v1,1,0.876201,0.024269,[ 8 23] ; [ 8 21],[ 8.26666667 22.73333333] ; [ 7.73333333 21.26666667],0
p5,1,0.889987,0.019133,[ 2 30] ; [ 2 26],[ 2.13333333 29.86666667] ; [ 1.86666667 26.13333333],0
a2,1,0.898924,0.016134,[ 3 29] ; [ 3 26],[ 3.14754098 28.85245902] ; [ 2.85245902 26.14754098],0
a3,1,0.915865,0.011161,[19 13] ; [17 11],[19.2 12.8] ; [16.8 11.2],0
p7,1,0.962616,0.002197,[ 9 23] ; [ 8 21],[ 8.91803279 23.08196721] ; [ 8.08196721 20.91803279],0
b3,1,0.974697,0.001006,[ 7 12] ; [ 8 14],[ 6.95121951 12.04878049] ; [ 8.04878049 13.95121951],0
b2,1,0.974697,0.001006,[ 7 12] ; [ 8 14],[ 6.95121951 12.04878049] ; [ 8.04878049 13.95121951],0
