Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.014306,6.0,[22 34] ; [27 15],[28. 28.] ; [21. 21.],0
s3,1,0.018637,5.535302,[33 24] ; [33  8],[38.3877551 18.6122449] ; [27.6122449 13.3877551],0
s8,1,0.019568,5.450055,[17 41] ; [22 20],[22.62 35.38] ; [16.38 25.62],0
a8,1,0.02333,5.143787,[ 4 46] ; [10 29],[ 7.86516854 42.13483146] ; [ 6.13483146 32.86516854],0
r2,1,0.030682,4.670681,[49  9] ; [41  1],[52.2  5.8] ; [37.8  4.2],0
p2,1,0.038414,4.286579,[31 27] ; [31 11],[35.96 22.04] ; [26.04 15.96],0
u4,1,0.077343,3.119869,[ 1 57] ; [ 4 38],[ 2.9 55.1] ; [ 2.1 39.9],0
s4,1,0.080063,3.063621,[17 40] ; [ 6 35],[13.37755102 43.62244898] ; [ 9.62244898 31.37755102],0
v4,1,0.089778,2.878343,[49  9] ; [40  2],[51.62  6.38] ; [37.38  4.62],0
n1,1,0.095069,2.786378,[ 7 12] ; [11  6],[9.5 9.5] ; [8.5 8.5],0
a4,1,0.095856,2.773177,[20 38] ; [21 20],[24.02020202 33.97979798] ; [16.97979798 24.02020202],0
n4,1,0.112502,2.518713,[35 23] ; [31 10],[38.66666667 19.33333333] ; [27.33333333 13.66666667],0
d4,1,0.137198,2.209105,[44 14] ; [36  5],[46.86868687 11.13131313] ; [33.13131313  7.86868687],0
d5,1,0.178282,1.811891,[43 15] ; [35  6],[45.6969697 12.3030303] ; [32.3030303  8.6969697],0
r3,1,0.207597,1.588104,[51  7] ; [40  2],[52.78  5.22] ; [38.22  3.78],0
a3,1,0.217084,1.523546,[31 27] ; [27 14],[33.97979798 24.02020202] ; [24.02020202 16.97979798],0
n5,1,0.217237,1.522528,[34 24] ; [29 12],[36.90909091 21.09090909] ; [26.09090909 14.90909091],0
d3,1,0.217237,1.522528,[34 24] ; [29 12],[36.90909091 21.09090909] ; [26.09090909 14.90909091],0
r4,1,0.224114,1.477833,[44 14] ; [36  6],[46.4 11.6] ; [33.6  8.4],0
p6,1,0.224768,1.473667,[13 45] ; [14 28],[15.66 42.34] ; [11.34 30.66],0
d1,1,0.266006,1.237229,[28 30] ; [25 17],[30.74 27.26] ; [22.26 19.74],0
a6,1,0.280003,1.167073,[29 29] ; [25 16],[31.63636364 26.36363636] ; [22.36363636 18.63636364],0
a5,1,0.286461,1.136182,[34 24] ; [29 13],[36.54 21.46] ; [26.46 15.54],0
r1,1,0.323759,0.973699,[42 16] ; [34  8],[44.08 13.92] ; [31.92 10.08],0
p11,1,0.326677,0.962027,[26 32] ; [23 19],[28.42 29.58] ; [20.58 21.42],0
n6,1,0.372321,0.795902,[43 15] ; [27 14],[41.01010101 16.98989899] ; [28.98989899 12.01010101],0
s5,1,0.402175,0.701815,[15 42] ; [14 27],[16.86734694 40.13265306] ; [12.13265306 28.86734694],0
v3,1,0.425104,0.636161,[21 36] ; [11 27],[19.2 37.8] ; [12.8 25.2],0
v2,1,0.431959,0.61755,[26 31] ; [22 19],[27.91836735 29.08163265] ; [20.08163265 20.91836735],0
p7,1,0.465397,0.532885,[24 34] ; [20 21],[25.77777778 32.22222222] ; [18.22222222 22.77777778],0
u3,1,0.494525,0.466667,[19  8] ; [9 6],[18.  9.] ; [10.  5.],0
u2,1,0.507335,0.43956,[14 12] ; [6 8],[13. 13.] ; [7. 7.],0
p8,1,0.540079,0.375393,[20 38] ; [17 25],[21.46 36.54] ; [15.54 26.46],0
b1,1,0.564934,0.331233,[31 27] ; [20 22],[29.58 28.42] ; [21.42 20.58],0
p3,1,0.615261,0.252584,[25 33] ; [16 26],[23.78 34.22] ; [17.22 24.78],0
p1,1,0.63267,0.228457,[ 4 54] ; [ 4 38],[ 4.64 53.36] ; [ 3.36 38.64],0
p5,1,0.63267,0.228457,[ 4 54] ; [ 4 38],[ 4.64 53.36] ; [ 3.36 38.64],0
n3,1,0.636831,0.22291,[12  7] ; [12  5],[12.66666667  6.33333333] ; [11.33333333  5.66666667],0
d2,1,0.647132,0.209536,[31 27] ; [20 21],[29.87878788 28.12121212] ; [21.12121212 19.87878788],0
v1,1,0.697691,0.150885,[26 32] ; [20 21],[26.94949495 31.05050505] ; [19.05050505 21.94949495],0
s2,1,0.736381,0.113333,[32 25] ; [25 17],[32.81818182 24.18181818] ; [24.18181818 17.81818182],0
b2,1,0.774139,0.082349,[10 26] ; [ 9 20],[10.52307692 25.47692308] ; [ 8.47692308 20.52307692],0
b3,1,0.774139,0.082349,[10 26] ; [ 9 20],[10.52307692 25.47692308] ; [ 8.47692308 20.52307692],0
p4,1,0.782213,0.076417,[32 26] ; [22 20],[31.32 26.68] ; [22.68 19.32],0
b5,1,0.790794,0.070373,[40 18] ; [30 12],[40.6 17.4] ; [29.4 12.6],0
u1,1,0.83944,0.041051,[12 46] ; [ 8 34],[11.6 46.4] ; [ 8.4 33.6],0
b4,1,0.846927,0.037265,[37 21] ; [26 16],[36.54 21.46] ; [26.46 15.54],0
a2,1,0.869973,0.026796,[13 45] ; [10 32],[13.34 44.66] ; [ 9.66 32.34],0
n2,1,0.887931,0.019859,[13  6] ; [12  5],[13.19444444  5.80555556] ; [11.80555556  5.19444444],0
a7,1,0.904674,0.014342,[38 20] ; [28 14],[38.28 19.72] ; [27.72 14.28],0
a1,1,0.961999,0.00227,[ 4 54] ; [ 3 39],[ 4.06 53.94] ; [ 2.94 39.06],0
s1,1,0.961999,0.00227,[ 4 54] ; [ 3 39],[ 4.06 53.94] ; [ 2.94 39.06],0
