Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,79.337671,[111  20] ; [ 5 39],[86.83428571 44.16571429] ; [29.16571429 14.83428571],1
v4,1,0.0,36.907365,[119  11] ; [22 22],[105.34482759  24.65517241] ; [35.65517241  8.34482759],1
p2,1,0.0,27.077085,[87 44] ; [ 9 34],[72.27586207 58.72413793] ; [23.72413793 19.27586207],1
s6,1,0.0,25.379223,[83 46] ; [ 9 35],[68.60115607 60.39884393] ; [23.39884393 20.60115607],1
r2,1,7e-06,20.066024,[120  10] ; [27 15],[111.10465116  18.89534884] ; [35.89534884  6.10465116],1
s2,1,7.3e-05,15.736924,[62 69] ; [ 6 38],[50.90285714 80.09714286] ; [17.09714286 26.90285714],1
r1,1,8.2e-05,15.519061,[95 34] ; [18 26],[84.26011561 44.73988439] ; [28.73988439 15.26011561],1
v2,1,0.000161,14.238678,[54 70] ; [ 5 38],[43.80838323 80.19161677] ; [15.19161677 27.80838323],1
n6,1,0.000358,12.740709,[89 40] ; [17 27],[79.04046243 49.95953757] ; [26.95953757 17.04046243],1
a1,1,0.000432,12.387891,[  5 126] ; [ 9 35],[ 10.48 120.52] ; [ 3.52 40.48],1
b5,1,0.000828,11.177857,[88 43] ; [17 27],[78.6 52.4] ; [26.4 17.6],1
d5,1,0.001435,10.160639,[103  27] ; [24 20],[94.88505747 35.11494253] ; [32.11494253 11.88505747],0
p4,1,0.002032,9.52019,[55 75] ; [ 7 36],[46.58959538 83.41040462] ; [15.41040462 27.58959538],0
s3,1,0.002076,9.481039,[70 61] ; [11 31],[61.33526012 69.66473988] ; [19.66473988 22.33526012],0
a7,1,0.002182,9.38987,[93 38] ; [20 24],[84.58857143 46.41142857] ; [28.41142857 15.58857143],0
p7,1,0.004818,7.946486,[53 78] ; [ 7 35],[45.43352601 85.56647399] ; [14.56647399 27.43352601],0
p9,1,0.00617,7.499974,[74 52] ; [14 27],[66.39520958 59.60479042] ; [21.60479042 19.39520958],0
s5,1,0.006802,7.324614,[37 89] ; [ 4 40],[30.38823529 95.61176471] ; [10.61176471 33.38823529],0
s7,1,0.007198,7.22292,[45 76] ; [ 6 35],[38.09259259 82.90740741] ; [12.90740741 28.09259259],0
d4,1,0.009092,6.804674,[102  27] ; [26 18],[95.44508671 33.55491329] ; [32.55491329 11.44508671],0
s8,1,0.00935,6.754708,[41 90] ; [ 5 39],[34.43428571 96.56571429] ; [11.56571429 32.43428571],0
b2,1,0.010472,6.55276,[13 51] ; [13 15],[18.08695652 45.91304348] ; [ 7.91304348 20.08695652],0
b3,1,0.010472,6.55276,[13 51] ; [13 15],[18.08695652 45.91304348] ; [ 7.91304348 20.08695652],0
n3,1,0.037681,4.319363,[32 17] ; [10 15],[27.81081081 21.18918919] ; [14.18918919 10.81081081],0
d3,1,0.040219,4.208638,[82 48] ; [20 24],[76.20689655 53.79310345] ; [25.79310345 18.20689655],0
p10,1,0.058108,3.590577,[62 64] ; [14 29],[56.66272189 69.33727811] ; [19.33727811 23.66272189],0
