Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.697363,[ 9 31] ; [42 15],[21.03092784 18.96907216] ; [29.96907216 27.03092784],1
n1,1,0.015344,5.876538,[ 4 17] ; [13 11],[ 7.93333333 13.06666667] ; [ 9.06666667 14.93333333],0
u3,1,0.023879,5.103397,[11  7] ; [ 6 17],[ 7.46341463 10.53658537] ; [ 9.53658537 13.46341463],0
s7,1,0.050374,3.828954,[ 4 33] ; [14 36],[ 7.65517241 29.34482759] ; [10.34482759 39.65517241],0
v1,1,0.051095,3.805157,[ 8 32] ; [22 35],[12.37113402 27.62886598] ; [17.62886598 39.37113402],0
b3,1,0.075507,3.159052,[ 4 18] ; [15 22],[ 7.08474576 14.91525424] ; [11.91525424 25.08474576],0
b2,1,0.075507,3.159052,[ 4 18] ; [15 22],[ 7.08474576 14.91525424] ; [11.91525424 25.08474576],0
v3,1,0.086496,2.938405,[ 8 31] ; [20 34],[11.74193548 27.25806452] ; [16.25806452 37.74193548],0
s1,1,0.10372,2.647388,[ 6 34] ; [ 3 54],[ 3.71134021 36.28865979] ; [ 5.28865979 51.71134021],0
p4,1,0.12104,2.403809,[17 23] ; [15 40],[13.47368421 26.52631579] ; [18.52631579 36.47368421],0
d4,1,0.122821,2.380975,[31  8] ; [37 20],[27.625 11.375] ; [40.375 16.625],0
a1,1,0.149714,2.075162,[ 2 38] ; [ 8 49],[ 4.12371134 35.87628866] ; [ 5.87628866 51.12371134],0
v4,1,0.170014,1.882819,[31  8] ; [38 19],[28.03125 10.96875] ; [40.96875 16.03125],0
s8,1,0.217114,1.523342,[ 4 35] ; [11 45],[ 6.15789474 32.84210526] ; [ 8.84210526 47.15789474],0
n6,1,0.236756,1.399806,[19 21] ; [34 23],[21.8556701 18.1443299] ; [31.1443299 25.8556701],0
u2,1,0.242908,1.363636,[9 9] ; [ 7 15],[ 7.2 10.8] ; [ 8.8 13.2],0
b1,1,0.244239,1.355961,[22 18] ; [38 19],[24.74226804 15.25773196] ; [35.25773196 21.74226804],0
r3,1,0.289986,1.119687,[30 10] ; [37 20],[27.62886598 12.37113402] ; [39.37113402 17.62886598],0
p7,1,0.298599,1.080442,[17 23] ; [18 38],[14.58333333 25.41666667] ; [20.41666667 35.58333333],0
p1,1,0.330068,0.948632,[ 2 38] ; [ 6 51],[ 3.29896907 36.70103093] ; [ 4.70103093 52.29896907],0
s4,1,0.426269,0.632967,[ 9 31] ; [ 9 47],[ 7.5 32.5] ; [10.5 45.5],0
a2,1,0.450352,0.569765,[ 6 34] ; [12 45],[ 7.42268041 32.57731959] ; [10.57731959 46.42268041],0
p8,1,0.501446,0.451875,[12 27] ; [14 43],[10.5625 28.4375] ; [15.4375 41.5625],0
b5,1,0.51967,0.414548,[23 17] ; [29 28],[21.44329897 18.55670103] ; [30.55670103 26.44329897],0
b4,1,0.51967,0.414548,[23 17] ; [29 28],[21.44329897 18.55670103] ; [30.55670103 26.44329897],0
a7,1,0.531084,0.392318,[25 15] ; [32 25],[23.50515464 16.49484536] ; [33.49484536 23.50515464],0
d5,1,0.540612,0.374407,[29 11] ; [38 19],[27.62886598 12.37113402] ; [39.37113402 17.62886598],0
a3,1,0.575559,0.313469,[22 18] ; [34 22],[23.33333333 16.66666667] ; [32.66666667 23.33333333],0
p2,1,0.582788,0.301748,[16 24] ; [26 31],[17.31958763 22.68041237] ; [24.68041237 32.31958763],0
r4,1,0.582788,0.301748,[24 16] ; [31 26],[22.68041237 17.31958763] ; [32.31958763 24.68041237],0
n2,1,0.603602,0.269597,[11 10] ; [15 10],[11.86956522  9.13043478] ; [14.13043478 10.86956522],0
s5,1,0.630052,0.23199,[ 7 32] ; [ 8 48],[ 6.15789474 32.84210526] ; [ 8.84210526 47.15789474],0
a4,1,0.668929,0.182857,[14 26] ; [22 34],[15. 25.] ; [21. 35.],0
r1,1,0.672017,0.179252,[25 15] ; [38 19],[25.97938144 14.02061856] ; [37.02061856 19.97938144],0
a6,1,0.688938,0.160238,[22 18] ; [29 28],[21.03092784 18.96907216] ; [29.96907216 27.03092784],0
