Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,38.886358,[125  33] ; [43 61],[101.3129771  56.6870229] ; [66.6870229 37.3129771],1
a4,1,0.0,33.343598,[86 71] ; [20 85],[63.51908397 93.48091603] ; [42.48091603 62.51908397],1
d5,1,0.0,31.63251,[134  25] ; [55 50],[113.82954545  45.17045455] ; [75.17045455 29.82954545],1
d1,1,0.0,26.029615,[90 69] ; [26 79],[69.86363636 89.13636364] ; [46.13636364 58.86363636],1
d2,1,4e-06,21.43289,[83 74] ; [25 79],[64.96551724 92.03448276] ; [43.03448276 60.96551724],1
u1,1,5.5e-05,16.280591,[ 29 130] ; [  2 103],[ 18.67045455 140.32954545] ; [12.32954545 92.67045455],1
a6,1,0.000259,13.3452,[118  41] ; [55 50],[104.19318182  54.80681818] ; [68.80681818 36.19318182],1
d4,1,0.000401,12.527028,[130  29] ; [64 39],[117.73282443  41.26717557] ; [76.26717557 26.73282443],1
n4,1,0.000436,12.370201,[120  38] ; [58 47],[106.93536122  51.06463878] ; [71.06463878 33.93536122],1
r1,1,0.000476,12.208054,[118  40] ; [56 48],[104.93129771  53.06870229] ; [69.06870229 34.93129771],1
d3,1,0.000519,12.047901,[109  50] ; [49 55],[95.52091255 63.47908745] ; [62.47908745 41.52091255],1
p10,1,0.00747,7.156342,[101  56] ; [49 54],[90.57692308 66.42307692] ; [59.42307692 43.57692308],0
s7,1,0.009029,6.817127,[ 42 109] ; [14 87],[ 33.55555556 117.44444444] ; [22.44444444 78.55555556],0
p9,1,0.022882,5.177433,[108  48] ; [57 46],[99.38223938 56.61776062] ; [65.61776062 37.38223938],0
r2,1,0.030004,4.709091,[138  16] ; [84 21],[132.  22.] ; [90. 15.],0
s8,1,0.034892,4.450437,[ 34 124] ; [12 93],[ 27.63498099 130.36501901] ; [18.36501901 86.63498099],0
r4,1,0.065925,3.381663,[121  38] ; [69 36],[114.43181818  44.56818182] ; [75.56818182 29.43181818],0
n5,1,0.076889,3.129472,[106  51] ; [59 45],[99.25287356 57.74712644] ; [65.74712644 38.25287356],0
a7,1,0.122489,2.385207,[106  52] ; [60 44],[100.10687023  57.89312977] ; [65.89312977 38.10687023],0
p1,1,0.153539,2.036729,[ 13 145] ; [  4 101],[ 10.21292776 147.78707224] ; [ 6.78707224 98.21292776],0
p12,1,0.160357,1.970858,[  6 152] ; [  1 104],[  4.20532319 153.79467681] ; [  2.79467681 102.20532319],0
s1,1,0.181538,1.78499,[  2 154] ; [  4 101],[  3.5862069 152.4137931] ; [  2.4137931 102.5862069],0
p11,1,0.207842,1.586395,[106  53] ; [62 43],[101.18181818  57.81818182] ; [66.81818182 38.18181818],0
p4,1,0.21538,1.534889,[ 54 104] ; [28 76],[ 49.45038168 108.54961832] ; [32.54961832 71.45038168],0
s3,1,0.21886,1.511829,[ 32 125] ; [28 76],[ 36.09195402 120.90804598] ; [23.90804598 80.09195402],0
p3,1,0.248146,1.333712,[ 46 111] ; [24 81],[ 41.94656489 115.05343511] ; [28.05343511 76.94656489],0
n6,1,0.257894,1.280027,[117  41] ; [71 34],[112.94296578  45.05703422] ; [75.05703422 29.94296578],0
r3,1,0.261364,1.261518,[135  22] ; [84 20],[131.73563218  25.26436782] ; [87.26436782 16.73563218],0
p5,1,0.280296,1.165654,[ 11 147] ; [  4 101],[  9.01140684 148.98859316] ; [ 5.98859316 99.01140684],0
a1,1,0.285565,1.140412,[ 11 148] ; [  4 101],[  9.03409091 149.96590909] ; [ 5.96590909 99.03409091],0
n2,1,0.339647,0.911762,[37 19] ; [22 17],[34.77894737 21.22105263] ; [24.22105263 14.77894737],0
v4,1,0.417775,0.656566,[132  24] ; [84 20],[129.6  26.4] ; [86.4 17.6],0
b3,1,0.421472,0.646206,[45 58] ; [20 34],[42.6433121 60.3566879] ; [22.3566879 31.6433121],0
b2,1,0.421472,0.646206,[45 58] ; [20 34],[42.6433121 60.3566879] ; [22.3566879 31.6433121],0
u2,1,0.423602,0.6403,[15 18] ; [33 28],[16.85106383 16.14893617] ; [31.14893617 29.85106383],0
s5,1,0.448066,0.575539,[ 27 128] ; [14 87],[ 24.82421875 130.17578125] ; [16.17578125 84.82421875],0
p6,1,0.449082,0.572967,[ 22 135] ; [18 85],[ 24.15384615 132.84615385] ; [15.84615385 87.15384615],0
b5,1,0.48303,0.492014,[90 69] ; [64 41],[92.75 66.25] ; [61.25 43.75],0
v2,1,0.497048,0.461235,[70 85] ; [40 58],[67.39130435 87.60869565] ; [42.60869565 55.39130435],0
s6,1,0.511747,0.430493,[62 96] ; [37 68],[59.47528517 98.52471483] ; [39.52471483 65.47528517],0
u3,1,0.581106,0.30445,[15 19] ; [31 31],[16.29166667 17.70833333] ; [29.70833333 32.29166667],0
v1,1,0.639258,0.219714,[58 98] ; [35 67],[56.23255814 99.76744186] ; [36.76744186 65.23255814],0
u4,1,0.766738,0.087998,[  1 158] ; [  1 104],[  1.20454545 157.79545455] ; [  0.79545455 104.20454545],0
b4,1,0.803353,0.062006,[96 63] ; [65 40],[96.96590909 62.03409091] ; [64.03409091 40.96590909],0
n3,1,0.831484,0.045283,[34 18] ; [27 13],[34.47826087 17.52173913] ; [26.52173913 13.47826087],0
v3,1,0.853252,0.034214,[ 44 108] ; [29 75],[ 43.34375 108.65625] ; [29.65625 74.34375],0
b1,1,0.868602,0.027369,[65 94] ; [44 61],[65.64772727 93.35227273] ; [43.35227273 61.64772727],0
p7,1,0.926491,0.008512,[ 54 103] ; [36 67],[ 54.34615385 102.65384615] ; [35.65384615 67.34615385],0
n1,1,0.932286,0.00722,[18 36] ; [13 27],[17.80851064 36.19148936] ; [13.19148936 26.80851064],0
a8,1,0.935086,0.006634,[ 15 127] ; [11 90],[ 15.19341564 126.80658436] ; [10.80658436 90.19341564],0
s4,1,0.940704,0.005533,[ 16 141] ; [11 94],[ 16.17938931 140.82061069] ; [10.82061069 94.17938931],0
p2,1,0.973767,0.001081,[99 58] ; [66 39],[98.8740458 58.1259542] ; [66.1259542 38.8740458],0
