Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.020921,5.333333,[1 5] ; [5 1],[3. 3.] ; [3. 3.],0
b3,1,0.020921,5.333333,[1 5] ; [5 1],[3. 3.] ; [3. 3.],0
a6,1,0.020921,5.333333,[5 1] ; [1 5],[3. 3.] ; [3. 3.],0
b2,1,0.020921,5.333333,[1 5] ; [5 1],[3. 3.] ; [3. 3.],0
s3,1,0.078983,3.085714,[2 4] ; [5 1],[3.5 2.5] ; [3.5 2.5],0
p10,1,0.078983,3.085714,[2 4] ; [5 1],[3.5 2.5] ; [3.5 2.5],0
n5,1,0.078983,3.085714,[5 1] ; [2 4],[3.5 2.5] ; [3.5 2.5],0
p9,1,0.078983,3.085714,[2 4] ; [5 1],[3.5 2.5] ; [3.5 2.5],0
p7,1,0.078983,3.085714,[1 5] ; [4 2],[2.5 3.5] ; [2.5 3.5],0
s6,1,0.136844,2.213095,[2 3] ; [5 1],[3.18181818 1.81818182] ; [3.81818182 2.18181818],0
p8,1,0.136844,2.213095,[1 5] ; [3 2],[2.18181818 3.81818182] ; [1.81818182 3.18181818],0
p11,1,0.220671,1.5,[3 3] ; [5 1],[4. 2.] ; [4. 2.],0
p6,1,0.220671,1.5,[1 5] ; [3 3],[2. 4.] ; [2. 4.],0
b5,1,0.220671,1.5,[3 3] ; [1 5],[2. 4.] ; [2. 4.],0
d3,1,0.248213,1.333333,[4 2] ; [2 4],[3. 3.] ; [3. 3.],0
s8,1,0.504985,0.444444,[1 5] ; [2 4],[1.5 4.5] ; [1.5 4.5],0
r1,1,0.504985,0.444444,[5 1] ; [4 2],[4.5 1.5] ; [4.5 1.5],0
p5,1,0.504985,0.444444,[1 5] ; [2 4],[1.5 4.5] ; [1.5 4.5],0
a5,1,0.504985,0.444444,[4 2] ; [5 1],[4.5 1.5] ; [4.5 1.5],0
p1,1,0.504985,0.444444,[2 4] ; [1 5],[1.5 4.5] ; [1.5 4.5],0
v1,1,0.504985,0.444444,[1 5] ; [2 4],[1.5 4.5] ; [1.5 4.5],0
p4,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
p3,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
p2,1,0.558185,0.342857,[3 3] ; [4 2],[3.5 2.5] ; [3.5 2.5],0
b1,1,0.558185,0.342857,[4 2] ; [3 3],[3.5 2.5] ; [3.5 2.5],0
n6,1,0.558185,0.342857,[3 3] ; [4 2],[3.5 2.5] ; [3.5 2.5],0
n4,1,0.558185,0.342857,[4 2] ; [3 3],[3.5 2.5] ; [3.5 2.5],0
r4,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
n1,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
n2,1,0.709388,0.138889,[1 1] ; [1 2],[0.8 1.2] ; [1.2 1.8],0
r2,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
d5,1,1.0,0.0,[5 1] ; [5 1],[5. 1.] ; [5. 1.],0
d1,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
a8,1,1.0,0.0,[1 5] ; [1 5],[1. 5.] ; [1. 5.],0
a7,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
a4,1,1.0,0.0,[2 4] ; [2 4],[2. 4.] ; [2. 4.],0
