Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,30.324364,[109 133] ; [61 14],[129.77917981 112.22082019] ; [40.22082019 34.77917981],1
s2,1,1e-06,23.772117,[ 81 160] ; [49 26],[ 99.14556962 141.85443038] ; [30.85443038 44.14556962],1
s8,1,6e-06,20.621585,[ 54 189] ; [37 38],[ 69.53773585 173.46226415] ; [21.46226415 53.53773585],1
s7,1,1.1e-05,19.246991,[ 66 164] ; [42 32],[ 81.71052632 148.28947368] ; [26.28947368 47.71052632],1
s4,1,1.3e-05,18.952823,[ 27 215] ; [24 50],[ 39.05696203 202.94303797] ; [11.94303797 62.05696203],1
s3,1,0.000331,12.884858,[104 137] ; [49 24],[117.42993631 123.57006369] ; [35.57006369 37.42993631],1
p12,1,0.001032,10.768904,[  5 237] ; [ 8 67],[  9.92429022 232.07570978] ; [ 3.07570978 71.92429022],0
d4,1,0.007157,7.233175,[175  66] ; [65  9],[183.61904762  57.38095238] ; [56.38095238 17.61904762],0
d2,1,0.011069,6.454168,[ 98 143] ; [42 31],[107.4522293 133.5477707] ; [32.5477707 40.4522293],0
p6,1,0.015832,5.821487,[ 33 207] ; [19 55],[ 39.74522293 200.25477707] ; [12.25477707 61.74522293],0
d5,1,0.016943,5.702229,[165  76] ; [62 13],[173.12341772  67.87658228] ; [53.87658228 21.12341772],0
a5,1,0.023676,5.118244,[143 100] ; [55 20],[151.30188679  91.69811321] ; [46.69811321 28.30188679],0
n6,1,0.023686,5.117472,[170  71] ; [62 12],[177.4984127  63.5015873] ; [54.5015873 19.4984127],0
p10,1,0.027532,4.857111,[147  93] ; [55 18],[154.88817891  85.11182109] ; [47.11182109 25.88817891],0
a2,1,0.028907,4.773172,[ 43 200] ; [22 53],[ 49.66981132 193.33018868] ; [15.33018868 59.66981132],0
p4,1,0.048759,3.883637,[ 60 182] ; [27 47],[ 66.62658228 175.37341772] ; [20.37341772 53.62658228],0
v4,1,0.050877,3.812304,[202  38] ; [68  5],[207.02875399  32.97124601] ; [62.97124601 10.02875399],0
p1,1,0.051322,3.797739,[  7 235] ; [ 6 69],[  9.92429022 232.07570978] ; [ 3.07570978 71.92429022],0
p7,1,0.055429,3.669136,[ 75 162] ; [32 41],[ 81.80322581 155.19677419] ; [25.19677419 47.80322581],0
a4,1,0.073702,3.198587,[ 94 147] ; [38 37],[100.67088608 140.32911392] ; [31.32911392 43.67088608],0
r4,1,0.09758,2.744658,[178  65] ; [62 13],[183.39622642  59.60377358] ; [56.60377358 18.39622642],0
r3,1,0.099485,2.713778,[207  34] ; [68  5],[211.06687898  29.93312102] ; [63.93312102  9.06687898],0
r2,1,0.119043,2.429873,[206  33] ; [67  5],[209.79742765  29.20257235] ; [63.20257235  8.79742765],0
a3,1,0.122572,2.384139,[153  89] ; [54 20],[158.52531646  83.47468354] ; [48.47468354 25.52531646],0
u1,1,0.165779,1.920708,[ 30 213] ; [14 61],[ 33.62264151 209.37735849] ; [10.37735849 64.62264151],0
p2,1,0.170956,1.874538,[150  92] ; [53 22],[154.97160883  87.02839117] ; [48.02839117 26.97160883],0
p9,1,0.189153,1.724206,[160  78] ; [55 18],[164.53376206  73.46623794] ; [50.46623794 22.53376206],0
s1,1,0.203098,1.619954,[ 11 228] ; [ 1 73],[  9.1629393 229.8370607] ; [ 2.8370607 71.1629393],0
r1,1,0.230269,1.439199,[169  73] ; [57 17],[173.07594937  68.92405063] ; [52.92405063 21.07594937],0
v1,1,0.262847,1.253699,[ 87 151] ; [32 41],[ 91.06752412 146.93247588] ; [27.93247588 45.06752412],0
d1,1,0.300645,1.071329,[113 130] ; [40 35],[116.91509434 126.08490566] ; [36.08490566 38.91509434],0
u4,1,0.383486,0.759497,[  3 240] ; [ 2 73],[  3.82075472 239.17924528] ; [ 1.17924528 73.82075472],0
b1,1,0.464395,0.535282,[ 89 154] ; [24 51],[ 86.3490566 156.6509434] ; [26.6509434 48.3490566],0
p11,1,0.474708,0.510997,[160  83] ; [46 29],[157.41509434  85.58490566] ; [48.58490566 26.41509434],0
p5,1,0.492262,0.471578,[  6 235] ; [ 3 72],[  6.86392405 234.13607595] ; [ 2.13607595 72.86392405],0
b5,1,0.545318,0.365772,[152  91] ; [44 31],[149.77358491  93.22641509] ; [46.22641509 28.77358491],0
a7,1,0.56353,0.333629,[154  87] ; [50 24],[156.07619048  84.92380952] ; [47.92380952 26.07619048],0
u3,1,0.587197,0.294743,[45 44] ; [12  9],[46.11818182 42.88181818] ; [10.88181818 10.11818182],0
v2,1,0.590546,0.289492,[102 128] ; [35 38],[103.99339934 126.00660066] ; [33.00660066 39.99339934],0
n2,1,0.633746,0.227015,[61 34] ; [18  8],[62.02479339 32.97520661] ; [16.97520661  9.02479339],0
b4,1,0.688744,0.160448,[146  97] ; [47 28],[147.48113208  95.51886792] ; [45.51886792 29.48113208],0
a6,1,0.727056,0.121832,[157  85] ; [47 28],[155.73501577  86.26498423] ; [48.26498423 26.73501577],0
a8,1,0.728339,0.120642,[ 28 201] ; [ 9 56],[ 28.81972789 200.18027211] ; [ 8.18027211 56.81972789],0
v3,1,0.75478,0.097558,[ 65 168] ; [19 54],[ 63.96078431 169.03921569] ; [20.03921569 52.96078431],0
b3,1,0.813321,0.055764,[49 93] ; [15 31],[48.34042553 93.65957447] ; [15.65957447 30.34042553],0
b2,1,0.813321,0.055764,[49 93] ; [15 31],[48.34042553 93.65957447] ; [15.65957447 30.34042553],0
