Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,132.637377,[19 67] ; [225  33],[61. 25.] ; [183.  75.],1
p2,1,0.0,39.3127,[48 39] ; [225  34],[68.64450867 18.35549133] ; [204.35549133  54.64450867],1
p11,1,0.0,34.933898,[40 47] ; [206  54],[61.67723343 25.32276657] ; [184.32276657  75.67723343],1
v4,1,0.0,29.909559,[62 24] ; [244  16],[76.05780347  9.94219653] ; [229.94219653  30.05780347],1
r3,1,0.0,27.581272,[61 26] ; [238  20],[75.4 11.6] ; [223.6  34.4],1
s6,1,0.0,26.284531,[29 57] ; [166  88],[49.32352941 36.67647059] ; [145.67647059 108.32352941],1
r4,1,0.0,25.746632,[52 35] ; [222  38],[68.69740634 18.30259366] ; [205.30259366  54.69740634],1
n6,1,3e-06,21.545779,[50 36] ; [214  45],[65.80869565 20.19130435] ; [198.19130435  60.80869565],1
s8,1,9e-06,19.672575,[12 74] ; [104 156],[28.83236994 57.16763006] ; [ 87.16763006 172.83236994],1
p4,1,0.000154,14.32664,[30 57] ; [150 109],[45.26011561 41.73988439] ; [134.73988439 124.26011561],1
p8,1,0.000258,13.351238,[25 61] ; [134 125],[39.63478261 46.36521739] ; [119.36521739 139.63478261],1
s2,1,0.000362,12.71928,[22 64] ; [123 136],[36.14492754 49.85507246] ; [108.85507246 150.14492754],1
p3,1,0.001111,10.632945,[21 65] ; [115 145],[33.80346821 52.19653179] ; [102.19653179 157.80346821],0
s5,1,0.00118,10.521664,[13 73] ; [ 84 167],[24.7537092 61.2462908] ; [ 72.2462908 178.7537092],0
s7,1,0.004517,8.063337,[21 62] ; [107 143],[31.9039039 51.0960961] ; [ 96.0960961 153.9039039],0
d4,1,0.006012,7.546823,[55 32] ; [203  57],[64.68587896 22.31412104] ; [193.31412104  66.68587896],0
r2,1,0.0071,7.247399,[69 17] ; [233  23],[75.94152047 10.05847953] ; [226.05847953  29.94152047],0
p7,1,0.00731,7.195146,[37 50] ; [149 103],[47.73451327 39.26548673] ; [138.26548673 113.73451327],0
v1,1,0.007484,7.153051,[18 69] ; [ 92 162],[28.06451613 58.93548387] ; [ 81.93548387 172.06451613],0
