Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.00733,7.190217,[ 2 22] ; [2 1],[ 3.55555556 20.44444444] ; [0.44444444 2.55555556],0
b4,1,0.026777,4.905119,[35 18] ; [2 6],[32.14754098 20.85245902] ; [4.85245902 3.14754098],0
s1,1,0.028378,4.804985,[ 5 48] ; [3 5],[ 6.95081967 46.04918033] ; [1.04918033 6.95081967],0
a7,1,0.033243,4.533235,[28 25] ; [1 7],[25.19672131 27.80327869] ; [3.80327869 4.19672131],0
a6,1,0.04196,4.136826,[27 26] ; [1 7],[24.32786885 28.67213115] ; [3.67213115 4.32786885],0
n2,1,0.062617,3.466667,[12  8] ; [1 5],[10. 10.] ; [3. 3.],0
p3,1,0.07337,3.205961,[11 42] ; [4 4],[13.03278689 39.96721311] ; [1.96721311 6.03278689],0
d4,1,0.094834,2.790333,[36 17] ; [3 5],[33.8852459 19.1147541] ; [5.1147541 2.8852459],0
s7,1,0.098398,2.731313,[ 8 41] ; [3 4],[ 9.625 39.375] ; [1.375 5.625],0
b1,1,0.142199,2.153997,[25 28] ; [6 2],[26.93442623 26.06557377] ; [4.06557377 3.93442623],0
v2,1,0.210629,1.567098,[18 34] ; [1 7],[16.46666667 35.53333333] ; [2.53333333 5.46666667],0
v1,1,0.231147,1.433791,[15 37] ; [4 4],[16.46666667 35.53333333] ; [2.53333333 5.46666667],0
r3,1,0.239938,1.380961,[31 21] ; [3 5],[29.46666667 22.53333333] ; [4.53333333 3.46666667],0
n4,1,0.265863,1.237966,[37 16] ; [4 4],[35.62295082 17.37704918] ; [5.37704918 2.62295082],0
r4,1,0.394247,0.725803,[14 39] ; [1 7],[13.03278689 39.96721311] ; [1.96721311 6.03278689],0
n6,1,0.416662,0.659711,[24 27] ; [5 3],[25.06779661 25.93220339] ; [3.93220339 4.06779661],0
v3,1,0.450778,0.568694,[13 40] ; [1 7],[12.16393443 40.83606557] ; [1.83606557 6.16393443],0
b5,1,0.541793,0.372227,[27 26] ; [5 3],[27.80327869 25.19672131] ; [4.19672131 3.80327869],0
b3,1,0.550029,0.357265,[11 22] ; [1 4],[10.42105263 22.57894737] ; [1.57894737 3.42105263],0
b2,1,0.550029,0.357265,[11 22] ; [1 4],[10.42105263 22.57894737] ; [1.57894737 3.42105263],0
p9,1,0.580398,0.305591,[24 26] ; [3 5],[23.27586207 26.72413793] ; [3.72413793 4.27586207],0
s6,1,0.594926,0.282717,[15 38] ; [3 5],[15.63934426 37.36065574] ; [2.36065574 5.63934426],0
n1,1,0.61193,0.257374,[ 9 11] ; [2 4],[ 8.46153846 11.53846154] ; [2.53846154 3.46153846],0
d1,1,0.614728,0.253348,[18 35] ; [2 6],[17.37704918 35.62295082] ; [2.62295082 5.37704918],0
s3,1,0.639073,0.219956,[17 34] ; [2 6],[16.42372881 34.57627119] ; [2.57627119 5.42372881],0
p4,1,0.677235,0.173254,[16 37] ; [3 5],[16.50819672 36.49180328] ; [2.49180328 5.50819672],0
p11,1,0.67952,0.170667,[24 29] ; [3 5],[23.45901639 29.54098361] ; [3.54098361 4.45901639],0
a3,1,0.720604,0.127915,[29 23] ; [5 3],[29.46666667 22.53333333] ; [4.53333333 3.46666667],0
d3,1,0.725945,0.122868,[23 30] ; [4 4],[23.45901639 29.54098361] ; [3.54098361 4.45901639],0
d5,1,0.725945,0.122868,[30 23] ; [4 4],[29.54098361 23.45901639] ; [4.45901639 3.54098361],0
s8,1,0.749637,0.101836,[ 9 44] ; [1 7],[ 8.68852459 44.31147541] ; [1.31147541 6.68852459],0
r2,1,0.759636,0.093611,[26 25] ; [4 3],[26.37931034 24.62068966] ; [3.62068966 3.37931034],0
p7,1,0.760632,0.092812,[17 36] ; [3 5],[17.37704918 35.62295082] ; [2.62295082 5.37704918],0
p1,1,0.786055,0.073678,[ 5 48] ; [1 7],[ 5.21311475 47.78688525] ; [0.78688525 7.21311475],0
a4,1,0.788281,0.072115,[17 35] ; [3 5],[17.33333333 34.66666667] ; [2.66666667 5.33333333],0
a5,1,0.802927,0.06228,[29 24] ; [4 4],[28.67213115 24.32786885] ; [4.32786885 3.67213115],0
n3,1,0.829399,0.046429,[11  9] ; [3 3],[10.76923077  9.23076923] ; [3.23076923 2.76923077],0
d2,1,0.876787,0.024038,[21 31] ; [3 5],[20.8 31.2] ; [3.2 4.8],0
s2,1,0.904703,0.014333,[12 40] ; [2 6],[12.13333333 39.86666667] ; [1.86666667 6.13333333],0
p8,1,0.904703,0.014333,[12 40] ; [2 6],[12.13333333 39.86666667] ; [1.86666667 6.13333333],0
p10,1,0.926295,0.008558,[20 31] ; [3 5],[19.88135593 31.11864407] ; [3.11864407 4.88135593],0
n5,1,0.927776,0.008216,[34 19] ; [5 3],[33.8852459 19.1147541] ; [5.1147541 2.8852459],0
p2,1,0.958469,0.002712,[20 32] ; [3 5],[19.93333333 32.06666667] ; [3.06666667 4.93333333],0
r1,1,0.989763,0.000165,[20 33] ; [3 5],[19.98360656 33.01639344] ; [3.01639344 4.98360656],0
