Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,35.178247,[ 31 210] ; [61 98],[ 55.43 185.57] ; [ 36.57 122.43],1
s5,1,0.0,32.128769,[ 21 217] ; [ 49 109],[ 42.07070707 195.92929293] ; [ 27.92929293 130.07070707],1
p4,1,0.0,26.536053,[ 91 148] ; [103  57],[116.20551378 122.79448622] ; [77.79448622 82.20551378],1
s7,1,2e-06,22.498119,[ 38 189] ; [59 95],[ 57.79265092 169.20734908] ; [ 39.20734908 114.79265092],1
s2,1,4e-06,21.318346,[ 18 222] ; [ 38 121],[ 33.68421053 206.31578947] ; [ 22.31578947 136.68421053],1
v1,1,3.7e-05,16.997729,[ 91 148] ; [94 65],[111.09296482 127.90703518] ; [73.90703518 85.09296482],1
p10,1,0.000392,12.571754,[150  88] ; [126  32],[165.87878788  72.12121212] ; [110.12121212  47.87878788],1
r4,1,0.000717,11.445045,[179  62] ; [141  19],[192.319202  48.680798] ; [127.680798  32.319202],1
p6,1,0.001397,10.209647,[ 54 182] ; [60 99],[ 68.11139241 167.88860759] ; [ 45.88860759 113.11139241],0
p9,1,0.001523,10.050703,[160  75] ; [131  28],[173.56598985  61.43401015] ; [117.43401015  41.56598985],0
a5,1,0.002512,9.131806,[149  92] ; [122  38],[162.87032419  78.12967581] ; [108.12967581  51.87032419],0
p3,1,0.002672,9.019025,[ 81 159] ; [78 82],[ 95.4 144.6] ; [63.6 96.4],0
p7,1,0.003073,8.763801,[110 128] ; [97 61],[124.40909091 113.59090909] ; [82.59090909 75.40909091],0
d3,1,0.005758,7.624406,[141  98] ; [116  44],[153.94235589  85.05764411] ; [103.05764411  56.94235589],0
d5,1,0.007543,7.138923,[177  63] ; [136  24],[187.8  52.2] ; [125.2  34.8],0
s4,1,0.007551,7.137086,[ 19 222] ; [ 26 131],[ 27.24874372 213.75125628] ; [ 17.75125628 139.24874372],0
n6,1,0.009189,6.785714,[177  62] ; [136  24],[187.48621554  51.51378446] ; [125.51378446  34.48621554],0
