Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,104.040615,[255 128] ; [ 33 136],[199.82608696 183.17391304] ; [88.17391304 80.82608696],1
s3,1,0.0,97.123728,[265 113] ; [ 42 127],[212.14990859 165.85009141] ; [94.85009141 74.14990859],1
s7,1,0.0,56.37987,[222 145] ; [ 41 122],[182.11509434 184.88490566] ; [80.88490566 82.11509434],1
s5,1,0.0,53.740422,[165 212] ; [ 19 147],[127.74953959 249.25046041] ; [ 56.25046041 109.74953959],1
s8,1,0.0,49.393735,[207 177] ; [ 37 133],[169.12635379 214.87364621] ; [74.87364621 95.12635379],1
r4,1,0.000153,14.340948,[370  16] ; [148  22],[359.61870504  26.38129496] ; [158.38129496  11.61870504],1
s4,1,0.000432,12.387481,[ 77 302] ; [ 14 156],[ 62.82149362 316.17850638] ; [ 28.17850638 141.82149362],1
p12,1,0.002959,8.832782,[ 44 342] ; [  6 163],[ 34.77477477 351.22522523] ; [ 15.22522523 153.77477477],0
p4,1,0.003266,8.652331,[258 126] ; [92 78],[242.59927798 141.40072202] ; [107.40072202  62.59927798],0
u1,1,0.004634,8.017007,[104 282] ; [ 27 143],[ 90.94604317 295.05395683] ; [ 40.05395683 129.94604317],0
p9,1,0.005632,7.66447,[339  42] ; [133  33],[328.76051188  52.23948812] ; [143.23948812  22.76051188],0
r1,1,0.005844,7.597836,[328  56] ; [128  41],[316.6437613  67.3562387] ; [139.3562387  29.6437613],0
p5,1,0.006171,7.499533,[ 54 330] ; [ 10 158],[ 44.52173913 339.47826087] ; [ 19.47826087 148.52173913],0
n5,1,0.01082,6.494678,[311  74] ; [120  49],[299.52166065  85.47833935] ; [131.47833935  37.52166065],0
v1,1,0.015419,5.867947,[220 156] ; [79 88],[207.04235727 168.95764273] ; [91.95764273 75.04235727],0
u2,1,0.027878,4.83558,[62 38] ; [25 32],[55.41401274 44.58598726] ; [31.58598726 25.41401274],0
d4,1,0.03333,4.52877,[334  52] ; [135  35],[325.60071942  60.39928058] ; [143.39928058  26.60071942],0
p6,1,0.03369,4.510376,[157 225] ; [ 53 115],[145.85454545 236.14545455] ; [ 64.14545455 103.85454545],0
u3,1,0.038015,4.30434,[66 34] ; [28 29],[59.87261146 40.12738854] ; [34.12738854 22.87261146],0
r2,1,0.041594,4.151657,[371  11] ; [156  11],[366.69216758  15.30783242] ; [160.30783242   6.69216758],0
a5,1,0.051195,3.801884,[298  88] ; [118  52],[288.8057554  97.1942446] ; [127.1942446  42.8057554],0
u4,1,0.053925,3.715018,[ 13 373] ; [  1 169],[  9.71942446 376.28057554] ; [  4.28057554 165.71942446],0
p7,1,0.063318,3.448283,[247 127] ; [97 71],[237.37269373 136.62730627] ; [106.62730627  61.37269373],0
p10,1,0.068864,3.309902,[329  52] ; [134  33],[321.90328467  59.09671533] ; [141.09671533  25.90328467],0
s1,1,0.084399,2.978093,[ 15 365] ; [  2 167],[ 11.76684882 368.23315118] ; [  5.23315118 163.76684882],0
a3,1,0.087678,2.916505,[284 100] ; [113  56],[275.67450271 108.32549729] ; [121.32549729  47.67450271],0
b4,1,0.088575,2.900077,[243 143] ; [94 76],[233.96043165 152.03956835] ; [103.03956835  66.96043165],0
a4,1,0.103128,2.656494,[180 204] ; [ 67 103],[171.20577617 212.79422383] ; [75.79422383 94.20577617],0
d5,1,0.124259,2.362801,[327  59] ; [135  35],[320.74100719  65.25899281] ; [141.25899281  28.74100719],0
n4,1,0.124583,2.358735,[314  71] ; [129  41],[307.30630631  77.69369369] ; [135.69369369  34.30630631],0
d2,1,0.129375,2.299985,[199 186] ; [76 94],[190.76576577 194.23423423] ; [84.23423423 85.76576577],0
r3,1,0.132164,2.266895,[376   9] ; [161   8],[373.18592058  11.81407942] ; [163.81407942   5.18592058],0
v4,1,0.132164,2.266895,[376   9] ; [161   8],[373.18592058  11.81407942] ; [163.81407942   5.18592058],0
a2,1,0.149304,2.079348,[121 265] ; [ 43 127],[113.85611511 272.14388489] ; [ 50.14388489 119.85611511],0
p3,1,0.185559,1.752533,[204 182] ; [79 90],[196.82522523 189.17477477] ; [86.17477477 82.82522523],0
a1,1,0.240231,1.379236,[ 20 366] ; [  5 165],[ 17.35611511 368.64388489] ; [  7.64388489 162.35611511],0
b5,1,0.242048,1.368626,[256 130] ; [104  66],[249.92805755 136.07194245] ; [110.07194245  59.92805755],0
v3,1,0.285766,1.139463,[155 220] ; [ 59 103],[149.44134078 225.55865922] ; [64.55865922 97.44134078],0
p8,1,0.327349,0.959355,[210 171] ; [85 83],[204.72677596 176.27322404] ; [90.27322404 77.72677596],0
b3,1,0.335668,0.926905,[ 82 147] ; [41 58],[ 85.875 143.125] ; [37.125 61.875],0
