Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,24.347559,[35 11] ; [39 78],[20.88343558 25.11656442] ; [53.11656442 63.88343558],1
p4,1,5e-06,20.921074,[36 10] ; [45 72],[22.85889571 23.14110429] ; [58.14110429 58.85889571],1
p7,1,0.000125,14.714415,[36  9] ; [54 62],[25.1552795 19.8447205] ; [64.8447205 51.1552795],1
p1,1,0.000173,14.101058,[ 9 36] ; [  3 112],[ 3.375 41.625] ; [  8.625 106.375],1
n6,1,0.003004,8.805082,[36  9] ; [64 53],[27.77777778 17.22222222] ; [72.22222222 44.77777778],0
s7,1,0.009335,6.757616,[25 20] ; [36 73],[17.82467532 27.17532468] ; [43.17532468 65.82467532],0
a2,1,0.00979,6.6727,[17 29] ; [21 96],[10.72392638 35.27607362] ; [27.27607362 89.72392638],0
p9,1,0.014269,6.00454,[40  6] ; [79 37],[33.79012346 12.20987654] ; [85.20987654 30.79012346],0
p10,1,0.016424,5.756933,[38  8] ; [74 43],[31.60736196 14.39263804] ; [80.39263804 36.60736196],0
a4,1,0.019543,5.452276,[29 17] ; [50 67],[22.29447853 23.70552147] ; [56.70552147 60.29447853],0
s4,1,0.020609,5.359535,[15 31] ; [19 98],[ 9.59509202 36.40490798] ; [24.40490798 92.59509202],0
s8,1,0.023505,5.130781,[22 23] ; [35 82],[15.83333333 29.16666667] ; [41.16666667 75.83333333],0
s5,1,0.028541,4.795062,[18 24] ; [28 85],[12.46451613 29.53548387] ; [33.53548387 79.46451613],0
r4,1,0.032072,4.594628,[44  2] ; [97 20],[39.79141104  6.20858896] ; [101.20858896  15.79141104],0
d1,1,0.038886,4.265846,[34 12] ; [66 51],[28.2208589 17.7791411] ; [71.7791411 45.2208589],0
n4,1,0.052759,3.751528,[27 19] ; [49 68],[21.44785276 24.55214724] ; [54.55214724 62.44785276],0
p12,1,0.062967,3.457448,[ 5 41] ; [  4 112],[ 2.55555556 43.44444444] ; [  6.44444444 109.55555556],0
b1,1,0.078409,3.097566,[23 23] ; [41 76],[18.06134969 27.93865031] ; [45.93865031 71.06134969],0
u3,1,0.087864,2.913073,[8 1] ; [18 13],[5.85 3.15] ; [20.15 10.85],0
d2,1,0.090797,2.860193,[28 18] ; [54 63],[23.14110429 22.85889571] ; [58.85889571 58.14110429],0
u2,1,0.100493,2.697709,[7 2] ; [15 17],[4.82926829 4.17073171] ; [17.17073171 14.82926829],0
s6,1,0.101677,2.679044,[33 12] ; [69 47],[28.50931677 16.49068323] ; [73.49068323 42.50931677],0
r2,1,0.110257,2.550534,[44  1] ; [103  11],[41.60377358  3.39622642] ; [105.39622642   8.60377358],0
d3,1,0.125257,2.350328,[38  8] ; [83 34],[34.14723926 11.85276074] ; [86.85276074 30.14723926],0
v4,1,0.133748,2.248448,[44  2] ; [101  14],[41.42857143  4.57142857] ; [103.57142857  11.42857143],0
u1,1,0.205689,1.601509,[10 36] ; [ 16 101],[ 7.33742331 38.66257669] ; [18.66257669 98.33742331],0
p2,1,0.210266,1.569597,[38  8] ; [85 31],[34.92592593 11.07407407] ; [88.07407407 27.92592593],0
p8,1,0.253868,1.30189,[23 23] ; [47 70],[19.75460123 26.24539877] ; [50.24539877 66.75460123],0
d4,1,0.260643,1.26534,[42  4] ; [99 18],[39.79141104  6.20858896] ; [101.20858896  15.79141104],0
s2,1,0.295999,1.092133,[24 22] ; [50 66],[21.01234568 24.98765432] ; [52.98765432 63.01234568],0
a3,1,0.302535,1.062988,[37  9] ; [85 32],[34.42944785 11.57055215] ; [87.57055215 29.42944785],0
b4,1,0.320598,0.986506,[31 15] ; [69 48],[28.2208589 17.7791411] ; [71.7791411 45.2208589],0
b5,1,0.3519,0.866594,[30 16] ; [67 50],[27.37423313 18.62576687] ; [69.62576687 47.37423313],0
s1,1,0.37914,0.773489,[ 3 43] ; [  4 113],[ 1.97546012 44.02453988] ; [  5.02453988 111.97546012],0
n3,1,0.38673,0.749199,[12  3] ; [21 10],[10.76086957  4.23913043] ; [22.23913043  8.76086957],0
v1,1,0.406998,0.687552,[21 24] ; [45 69],[18.67924528 26.32075472] ; [47.32075472 66.67924528],0
p11,1,0.407698,0.685503,[33 13] ; [76 41],[30.7607362 15.2392638] ; [78.2392638 38.7607362],0
d5,1,0.448341,0.574843,[40  6] ; [96 21],[38.3803681  7.6196319] ; [97.6196319 19.3803681],0
a8,1,0.485724,0.485984,[ 2 42] ; [ 8 96],[ 2.97297297 41.02702703] ; [ 7.02702703 96.97297297],0
a6,1,0.487754,0.481477,[34 12] ; [80 37],[32.17177914 13.82822086] ; [81.82822086 35.17177914],0
b2,1,0.495133,0.465352,[11 18] ; [20 45],[ 9.56382979 19.43617021] ; [21.43617021 43.56382979],0
b3,1,0.495133,0.465352,[11 18] ; [20 45],[ 9.56382979 19.43617021] ; [21.43617021 43.56382979],0
v3,1,0.504688,0.445064,[12 33] ; [35 74],[13.73376623 31.26623377] ; [33.26623377 75.73376623],0
a7,1,0.528742,0.396808,[36 10] ; [86 31],[34.42944785 11.57055215] ; [87.57055215 29.42944785],0
a1,1,0.549844,0.357596,[ 3 43] ; [  5 112],[ 2.25766871 43.74233129] ; [  5.74233129 111.25766871],0
s3,1,0.690067,0.159012,[24 22] ; [56 59],[22.85714286 23.14285714] ; [57.14285714 57.85714286],0
r1,1,0.816084,0.054096,[38  8] ; [94 22],[37.48148148  8.51851852] ; [94.51851852 21.48148148],0
n2,1,0.838766,0.041401,[10  5] ; [21 12],[9.6875 5.3125] ; [21.3125 11.6875],0
n1,1,0.85732,0.032323,[ 4 11] ; [ 8 25],[ 3.75 11.25] ; [ 8.25 24.75],0
p5,1,0.907495,0.013502,[ 3 43] ; [  7 109],[ 2.83950617 43.16049383] ; [  7.16049383 108.83950617],0
v2,1,0.945522,0.004669,[25 20] ; [61 50],[24.80769231 20.19230769] ; [61.19230769 49.80769231],0
