Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000362,12.719604,[5 2] ; [ 5 36],[1.45833333 5.54166667] ; [ 8.54166667 32.45833333],1
p7,1,0.005789,7.614829,[5 2] ; [ 9 34],[1.96 5.04] ; [12.04 30.96],0
s3,1,0.019023,5.499439,[6 1] ; [16 26],[3.14285714 3.85714286] ; [18.85714286 23.14285714],0
p3,1,0.026829,4.901789,[4 3] ; [ 8 35],[1.68 5.32] ; [10.32 32.68],0
p2,1,0.035224,4.434293,[5 2] ; [13 30],[2.52 4.48] ; [15.48 27.52],0
s8,1,0.036612,4.368375,[3 4] ; [ 5 38],[1.12 5.88] ; [ 6.88 36.12],0
s6,1,0.057883,3.597017,[4 2] ; [12 31],[1.95918367 4.04081633] ; [14.04081633 28.95918367],0
p4,1,0.064059,3.429046,[4 3] ; [10 33],[1.96 5.04] ; [12.04 30.96],0
s5,1,0.111434,2.533761,[3 4] ; [ 7 35],[1.42857143 5.57142857] ; [ 8.57142857 33.42857143],0
b5,1,0.11492,2.485222,[5 2] ; [17 26],[3.08 3.92] ; [18.92 24.08],0
a6,1,0.11492,2.485222,[5 2] ; [17 26],[3.08 3.92] ; [18.92 24.08],0
p9,1,0.127432,2.323513,[5 2] ; [17 25],[3.14285714 3.85714286] ; [18.85714286 23.14285714],0
s2,1,0.150869,2.06344,[3 4] ; [ 8 35],[1.54 5.46] ; [ 9.46 33.54],0
b4,1,0.208872,1.579227,[3 4] ; [29 14],[4.48 2.52] ; [27.52 15.48],0
n4,1,0.208872,1.579227,[3 4] ; [29 14],[4.48 2.52] ; [27.52 15.48],0
b1,1,0.22144,1.495017,[5 2] ; [20 23],[3.5 3.5] ; [21.5 21.5],0
p10,1,0.281356,1.160526,[4 3] ; [15 27],[2.71428571 4.28571429] ; [16.28571429 25.71428571],0
n2,1,0.294644,1.09828,[2 1] ; [ 7 13],[1.17391304 1.82608696] ; [ 7.82608696 12.17391304],0
a4,1,0.311374,1.024837,[1 6] ; [14 28],[2.14285714 4.85714286] ; [12.85714286 29.14285714],0
u2,1,0.315286,1.008403,[2 2] ; [ 5 15],[1.16666667 2.83333333] ; [ 5.83333333 14.16666667],0
n3,1,0.328864,0.953366,[2 1] ; [ 7 12],[1.22727273 1.77272727] ; [ 7.77272727 11.22727273],0
a8,1,0.360475,0.836237,[2 5] ; [ 6 35],[1.16666667 5.83333333] ; [ 6.83333333 34.16666667],0
d3,1,0.375209,0.78634,[2 5] ; [20 23],[3.08 3.92] ; [18.92 24.08],0
u3,1,0.407626,0.685714,[1 3] ; [ 2 18],[0.5 3.5] ; [ 2.5 17.5],0
d4,1,0.42345,0.640721,[4 3] ; [31 12],[4.9 2.1] ; [30.1 12.9],0
r4,1,0.42345,0.640721,[3 4] ; [12 31],[2.1 4.9] ; [12.9 30.1],0
b2,1,0.430955,0.620248,[2 1] ; [12 16],[1.35483871 1.64516129] ; [12.64516129 15.35483871],0
b3,1,0.430955,0.620248,[2 1] ; [12 16],[1.35483871 1.64516129] ; [12.64516129 15.35483871],0
v2,1,0.447699,0.576471,[3 4] ; [12 30],[2.14285714 4.85714286] ; [12.85714286 29.14285714],0
r1,1,0.505693,0.442968,[2 5] ; [18 25],[2.8 4.2] ; [17.2 25.8],0
s1,1,0.508599,0.436949,[1 6] ; [ 3 40],[0.56 6.44] ; [ 3.44 39.56],0
p11,1,0.523569,0.406856,[4 3] ; [19 24],[3.22 3.78] ; [19.78 23.22],0
a3,1,0.559013,0.341416,[3 4] ; [23 19],[3.71428571 3.28571429] ; [22.28571429 19.71428571],0
n1,1,0.589962,0.290404,[1 2] ; [10 10],[1.43478261 1.56521739] ; [ 9.56521739 10.43478261],0
a7,1,0.601596,0.272596,[4 3] ; [20 23],[3.36 3.64] ; [20.64 22.36],0
d2,1,0.640738,0.217778,[4 3] ; [20 22],[3.42857143 3.57142857] ; [20.57142857 21.42857143],0
n6,1,0.726339,0.1225,[3 4] ; [21 21],[3.42857143 3.57142857] ; [20.57142857 21.42857143],0
a5,1,0.768999,0.086251,[4 3] ; [22 21],[3.64 3.36] ; [22.36 20.64],0
n5,1,0.775268,0.081505,[4 3] ; [27 16],[4.34 2.66] ; [26.66 16.34],0
d5,1,0.775268,0.081505,[4 3] ; [27 16],[4.34 2.66] ; [26.66 16.34],0
s4,1,0.840954,0.04027,[1 6] ; [ 5 38],[0.84 6.16] ; [ 5.16 37.84],0
v3,1,0.85879,0.031654,[1 5] ; [ 6 37],[0.85714286 5.14285714] ; [ 6.14285714 36.85714286],0
r2,1,0.958908,0.002655,[4 3] ; [23 18],[3.9375 3.0625] ; [23.0625 17.9375],0
s7,1,0.959948,0.002522,[1 5] ; [ 7 33],[1.04347826 4.95652174] ; [ 6.95652174 33.04347826],0
d1,1,0.960484,0.002455,[3 4] ; [18 25],[2.94 4.06] ; [18.06 24.94],0
p1,1,0.981258,0.000552,[1 6] ; [ 6 37],[0.98 6.02] ; [ 6.02 36.98],0
