Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.2e-05,15.295667,[25 71] ; [18  9],[33.56097561 62.43902439] ; [ 9.43902439 17.56097561],1
s3,1,0.000132,14.609466,[23 73] ; [17 10],[31.2195122 64.7804878] ; [ 8.7804878 18.2195122],1
r3,1,0.023604,5.123527,[68 27] ; [25  2],[72.41803279 22.58196721] ; [20.58196721  6.41803279],0
p7,1,0.034338,4.477809,[38 57] ; [17 10],[42.82786885 52.17213115] ; [12.17213115 14.82786885],0
p11,1,0.062662,3.4655,[38 59] ; [16 11],[42.24193548 54.75806452] ; [11.75806452 15.24193548],0
n2,1,0.089076,2.890991,[21 20] ; [6 1],[23.0625 17.9375] ; [3.9375 3.0625],0
d4,1,0.095513,2.77891,[62 34] ; [22  5],[65.56097561 30.43902439] ; [18.43902439  8.56097561],0
p8,1,0.109272,2.564719,[24 72] ; [11 16],[27.31707317 68.68292683] ; [ 7.68292683 19.31707317],0
p3,1,0.109272,2.564719,[24 72] ; [11 16],[27.31707317 68.68292683] ; [ 7.68292683 19.31707317],0
s8,1,0.128311,2.312821,[ 8 88] ; [ 5 22],[10.14634146 85.85365854] ; [ 2.85365854 24.14634146],0
b1,1,0.141547,2.16106,[55 42] ; [11 16],[51.62903226 45.37096774] ; [14.37096774 12.62903226],0
u1,1,0.219381,1.508416,[ 7 90] ; [ 4 23],[ 8.60483871 88.39516129] ; [ 2.39516129 24.60483871],0
a3,1,0.233232,1.421043,[48 48] ; [17 10],[50.73170732 45.26829268] ; [14.26829268 12.73170732],0
r4,1,0.240554,1.377347,[60 37] ; [20  7],[62.58064516 34.41935484] ; [17.41935484  9.58064516],0
v1,1,0.250102,1.322733,[25 72] ; [10 17],[27.37903226 69.62096774] ; [ 7.62096774 19.37903226],0
p1,1,0.285651,1.140006,[10 87] ; [ 1 26],[ 8.60483871 88.39516129] ; [ 2.39516129 24.60483871],0
a8,1,0.288938,1.124565,[ 5 85] ; [ 3 23],[ 6.20689655 83.79310345] ; [ 1.79310345 24.20689655],0
p6,1,0.290762,1.11609,[13 81] ; [ 6 21],[14.76033058 79.23966942] ; [ 4.23966942 22.76033058],0
a4,1,0.299114,1.078138,[31 64] ; [ 6 21],[28.81147541 66.18852459] ; [ 8.18852459 18.81147541],0
b4,1,0.299587,1.07603,[61 36] ; [14 13],[58.66935484 38.33064516] ; [16.33064516 10.66935484],0
p4,1,0.304196,1.055707,[32 63] ; [12 15],[34.26229508 60.73770492] ; [ 9.73770492 17.26229508],0
r1,1,0.307917,1.039588,[61 35] ; [20  7],[63.2195122 32.7804878] ; [17.7804878  9.2195122],0
d3,1,0.320548,0.986708,[47 50] ; [16 11],[49.28225806 47.71774194] ; [13.71774194 13.28225806],0
n1,1,0.330992,0.945014,[13 27] ; [1 6],[11.91489362 28.08510638] ; [2.08510638 4.91489362],0
n4,1,0.369283,0.806076,[59 37] ; [14 13],[56.97560976 39.02439024] ; [16.02439024 10.97560976],0
n6,1,0.411952,0.67316,[55 40] ; [18  9],[56.8442623 38.1557377] ; [16.1557377 10.8442623],0
v2,1,0.450552,0.569263,[34 61] ; [11 14],[35.625 59.375] ; [ 9.375 15.625],0
s1,1,0.490257,0.475962,[ 7 87] ; [ 1 26],[ 6.21487603 87.78512397] ; [ 1.78512397 25.21487603],0
s4,1,0.504714,0.44501,[12 85] ; [ 2 24],[11.04065041 85.95934959] ; [ 2.95934959 23.04065041],0
p2,1,0.513901,0.426117,[47 50] ; [15 12],[48.5 48.5] ; [13.5 13.5],0
n5,1,0.515728,0.422429,[53 43] ; [13 14],[51.51219512 44.48780488] ; [14.48780488 12.51219512],0
v3,1,0.624861,0.239095,[21 73] ; [ 7 19],[21.93333333 72.06666667] ; [ 6.06666667 19.93333333],0
v4,1,0.625707,0.237928,[74 22] ; [22  5],[74.92682927 21.07317073] ; [21.07317073  5.92682927],0
u3,1,0.688144,0.161102,[23 26] ; [4 6],[22.42372881 26.57627119] ; [4.57627119 5.42372881],0
d1,1,0.692223,0.156689,[39 58] ; [12 15],[39.89516129 57.10483871] ; [11.10483871 15.89516129],0
