Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,80.765217,[ 4 82] ; [156 102],[40. 46.] ; [120. 138.],1
d3,1,0.0,68.220993,[17 68] ; [183  75],[49.56268222 35.43731778] ; [150.43731778 107.56268222],1
d5,1,0.0,48.225713,[36 50] ; [209  49],[61.25 24.75] ; [183.75  74.25],1
r1,1,1e-06,24.672541,[40 45] ; [195  62],[58.40643275 26.59356725] ; [176.59356725  80.40643275],1
a5,1,0.000179,14.043202,[40 46] ; [178  80],[54.5 31.5] ; [163.5  94.5],1
a7,1,0.000191,13.914174,[42 44] ; [183  75],[56.25 29.75] ; [168.75  89.25],1
r3,1,0.00027,13.269341,[63 22] ; [232  26],[73.10495627 11.89504373] ; [221.89504373  36.10495627],1
a3,1,0.000305,13.041362,[39 45] ; [175  81],[52.87058824 31.12941176] ; [161.12941176  94.87058824],1
u2,1,0.000569,11.875417,[15 32] ; [52 30],[24.41085271 22.58914729] ; [42.58914729 39.41085271],1
p10,1,0.001213,10.469917,[45 37] ; [189  67],[56.76923077 25.23076923] ; [177.23076923  78.76923077],0
d2,1,0.002592,9.074172,[25 61] ; [122 134],[36.96491228 49.03508772] ; [110.03508772 145.96491228],0
s5,1,0.003313,8.626294,[11 74] ; [ 73 180],[21.12426036 63.87573964] ; [ 62.87573964 190.12426036],0
u3,1,0.003908,8.325918,[16 31] ; [49 32],[23.8671875 23.1328125] ; [41.1328125 39.8671875],0
p9,1,0.004142,8.220389,[52 31] ; [200  55],[61.8816568 21.1183432] ; [190.1183432  64.8816568],0
r4,1,0.00443,8.098781,[59 27] ; [214  44],[68.25 17.75] ; [204.75  53.25],0
a4,1,0.008815,6.860002,[24 60] ; [115 142],[34.24046921 49.75953079] ; [104.75953079 152.24046921],0
p2,1,0.009507,6.724969,[54 31] ; [199  57],[63.06451613 21.93548387] ; [189.93548387  66.06451613],0
s2,1,0.010378,6.568894,[22 64] ; [105 151],[31.93567251 54.06432749] ; [ 95.06432749 160.93567251],0
s6,1,0.01095,6.473377,[35 50] ; [145 109],[45.13274336 39.86725664] ; [134.86725664 119.13274336],0
a2,1,0.015119,5.902539,[ 8 78] ; [ 54 204],[15.5 70.5] ; [ 46.5 211.5],0
s1,1,0.016952,5.701289,[ 9 74] ; [ 10 246],[ 4.6519174 78.3480826] ; [ 14.3480826 241.6519174],0
p1,1,0.021675,5.27171,[13 72] ; [ 18 238],[ 7.72727273 77.27272727] ; [ 23.27272727 232.72727273],0
a6,1,0.029978,4.710543,[44 42] ; [166  92],[52.5 33.5] ; [157.5 100.5],0
s7,1,0.041332,4.162337,[22 60] ; [ 96 148],[29.6809816 52.3190184] ; [ 88.3190184 155.6809816],0
r2,1,0.056972,3.623422,[71 15] ; [230  25],[75.91202346 10.08797654] ; [225.08797654  29.91202346],0
p4,1,0.061631,3.492938,[35 51] ; [134 122],[42.49707602 43.50292398] ; [126.50292398 129.49707602],0
b4,1,0.068901,3.309016,[41 45] ; [152 106],[48.25 37.75] ; [144.75 113.25],0
n4,1,0.071116,3.257074,[55 30] ; [193  65],[61.45772595 23.54227405] ; [186.54227405  71.45772595],0
p11,1,0.10745,2.591337,[53 33] ; [183  75],[59. 27.] ; [177.  81.],0
v4,1,0.111235,2.536582,[71 14] ; [232  26],[75.08746356  9.91253644] ; [227.91253644  30.08746356],0
p8,1,0.125122,2.352006,[30 53] ; [118 140],[36.02346041 46.97653959] ; [111.97653959 146.02346041],0
p7,1,0.154781,2.024491,[39 45] ; [139 112],[44.63283582 39.36716418] ; [133.36716418 117.63283582],0
n3,1,0.156847,2.004362,[20  8] ; [38 30],[16.91666667 11.08333333] ; [41.08333333 26.91666667],0
b2,1,0.158702,1.986547,[17 39] ; [64 92],[21.39622642 34.60377358] ; [59.60377358 96.39622642],0
b3,1,0.158702,1.986547,[17 39] ; [64 92],[21.39622642 34.60377358] ; [59.60377358 96.39622642],0
s8,1,0.176173,1.829613,[23 62] ; [ 90 167],[28.08479532 56.91520468] ; [ 84.91520468 172.08479532],0
p6,1,0.184896,1.757823,[19 66] ; [ 76 179],[23.75 61.25] ; [ 71.25 183.75],0
